species	simulated_ext_prob_in_100_years
Abditomys latidens	0.02280000
Abeomelomys sevia	0.00400000
Abrawayaomys chebezi	0.01870000
Abrawayaomys ruschii	0.00400000
Abrocoma bennettii	0.00220000
Abrocoma boliviensis	0.12700000
Abrocoma budini	0.01890000
Abrocoma cinerea	0.00370000
Abrocoma famatina	0.02040000
Abrocoma shistacea	0.00390000
Abrocoma uspallata	0.01760000
Abrocoma vaccarum	0.02090000
Abrothrix andinus	0.00250000
Abrothrix illutea	0.00250000
Abrothrix jelskii	0.00290000
Abrothrix lanosus	0.00350000
Abrothrix longipilis	0.00350000
Abrothrix olivaceus	0.00420000
Abrothrix sanborni	0.01180000
Acerodon celebensis	0.01950000
Acerodon humilis	0.03400000
Acerodon jubatus	0.03290000
Acerodon leucotis	0.01950000
Acerodon mackloti	0.01770000
Acinonyx jubatus	0.01850000
Acomys airensis	0.00360000
Acomys cahirinus	0.00360000
Acomys cilicicus	0.02150000
Acomys cineraceus	0.00380000
Acomys dimidiatus	0.00430000
Acomys ignitus	0.00360000
Acomys johannis	0.00340000
Acomys kempi	0.00310000
Acomys louisae	0.00360000
Acomys minous	0.02310000
Acomys mullah	0.00250000
Acomys muzei	0.00290000
Acomys nesiotes	0.02050000
Acomys ngurui	0.00390000
Acomys percivali	0.00290000
Acomys russatus	0.00370000
Acomys selousi	0.00270000
Acomys seurati	0.00390000
Acomys spinosissimus	0.00320000
Acomys wilsoni	0.00390000
Aconaemys fuscus	0.00340000
Aconaemys porteri	0.02090000
Aconaemys sagei	0.02120000
Acrobates pygmaeus	0.00510000
Addax nasomaculatus	0.12730000
Aegialomys galapagoensis	0.02080000
Aegialomys xanthaeolus	0.00290000
Aepeomys lugens	0.00320000
Aepeomys reigi	0.01830000
Aepyceros melampus	0.00360000
Aepyprymnus rufescens	0.00440000
Aeretes melanopterus	0.01310000
Aeromys tephromelas	0.02020000
Aeromys thomasi	0.00240000
Aethalops aequalis	0.00330000
Aethalops alecto	0.00280000
Aethomys bocagei	0.00380000
Aethomys chrysophilus	0.00350000
Aethomys hindei	0.00320000
Aethomys ineptus	0.00370000
Aethomys kaiseri	0.00320000
