status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
VU->CR	0.00149876	0.00081208	0.00119911	0.00074231	0.00122344	0.00106495	0.00140012	0.00113396	0.00070554	0.00088596	0.00115675	0.00126183	0.00104839	0.00126425	0.00135586	0.00112781	0.00126319	0.00133722	0.00102343	0.00098780	0.00073172	0.00150080	0.00071217	0.00102739	0.00142144	0.00113924	0.00094502	0.00076834	0.00088257	0.00152208	0.00138205	0.00121555	0.00122421	0.00102946	0.00115204	0.00145850	0.00125659	0.00072591	0.00149056	0.00098964	0.00078464	0.00142227	0.00084693	0.00144973	0.00081011	0.00167815	0.00194460	0.00122573	0.00178781	0.00065001	0.00064409	0.00104500	0.00080405	0.00116251	0.00071618	0.00129557	0.00088519	0.00108007	0.00123538	0.00144267	0.00123022	0.00090792	0.00075315	0.00058865	0.00151188	0.00108729	0.00148382	0.00095417	0.00074076	0.00132976	0.00169876	0.00082697	0.00092393	0.00150241	0.00098948	0.00074843	0.00133030	0.00094453	0.00196183	0.00141942	0.00129158	0.00090016	0.00148210	0.00159486	0.00138096	0.00065198	0.00097828	0.00149084	0.00141582	0.00097658	0.00100267	0.00110367	0.00145516	0.00112552	0.00119285	0.00104729	0.00068179	0.00151345	0.00150287	0.00104638
VU->DD	0.00030563	0.00010157	0.00021988	0.00018292	0.00013152	0.00018660	0.00025307	0.00016960	0.00043305	0.00072697	0.00013797	0.00049150	0.00014513	0.00004086	0.00006442	0.00024868	0.00021025	0.00003258	0.00010034	0.00011147	0.00013271	0.00014410	0.00011148	0.00031534	0.00018089	0.00025197	0.00010061	0.00002765	0.00017957	0.00038971	0.00011673	0.00042887	0.00006367	0.00004571	0.00011678	0.00005490	0.00042548	0.00010254	0.00002973	0.00020740	0.00007094	0.00019700	0.00019873	0.00007581	0.00018590	0.00013063	0.00039220	0.00006128	0.00018299	0.00008648	0.00022674	0.00022508	0.00074993	0.00027361	0.00024276	0.00002947	0.00012988	0.00007130	0.00017937	0.00022210	0.00006935	0.00010939	0.00015246	0.00010996	0.00010814	0.00029171	0.00007224	0.00003684	0.00012931	0.00027433	0.00009948	0.00002949	0.00006874	0.00018482	0.00031096	0.00010215	0.00016775	0.00021768	0.00020043	0.00033319	0.00019202	0.00049412	0.00024905	0.00010343	0.00034342	0.00026252	0.00007226	0.00013993	0.00009659	0.00013608	0.00006709	0.00020116	0.00016206	0.00028132	0.00019048	0.00008672	0.00010136	0.00007802	0.00023541	0.00026205
EN->LC	0.00031039	0.00040215	0.00058918	0.00014239	0.00025898	0.00029528	0.00021852	0.00045114	0.00033491	0.00060074	0.00042894	0.00014312	0.00033730	0.00053987	0.00005468	0.00027035	0.00040039	0.00051065	0.00022227	0.00014230	0.00022467	0.00027937	0.00048384	0.00041897	0.00027156	0.00067754	0.00010886	0.00021226	0.00019892	0.00017782	0.00034814	0.00035750	0.00065485	0.00027536	0.00026498	0.00010158	0.00034208	0.00017253	0.00009832	0.00050906	0.00049611	0.00027015	0.00016484	0.00025878	0.00026881	0.00034468	0.00017148	0.00029031	0.00018419	0.00016710	0.00013386	0.00035489	0.00021388	0.00023803	0.00067105	0.00053276	0.00061698	0.00027861	0.00034570	0.00055438	0.00069253	0.00018572	0.00002721	0.00082311	0.00015904	0.00031123	0.00016789	0.00029421	0.00023439	0.00026771	0.00029311	0.00017940	0.00012159	0.00014124	0.00009935	0.00009616	0.00017902	0.00014363	0.00067497	0.00004736	0.00008689	0.00010861	0.00032364	0.00016106	0.00012949	0.00044076	0.00088844	0.00038085	0.00087150	0.00010037	0.00020508	0.00032386	0.00012893	0.00022475	0.00025686	0.00014776	0.00017617	0.00013979	0.00019162	0.00046040
EN->NT	0.00288817	0.00228130	0.00318847	0.00208132	0.00382756	0.00330663	0.00289077	0.00231800	0.00310213	0.00263713	0.00181315	0.00268263	0.00264229	0.00161824	0.00205132	0.00301243	0.00229894	0.00295612	0.00262348	0.00205904	0.00182483	0.00297264	0.00206181	0.00278772	0.00233380	0.00290358	0.00288248	0.00184453	0.00401932	0.00188249	0.00217192	0.00208309	0.00168278	0.00325059	0.00244856	0.00365920	0.00253150	0.00183268	0.00283333	0.00297387	0.00171660	0.00276127	0.00249383	0.00338976	0.00256529	0.00232639	0.00229300	0.00182446	0.00413140	0.00207606	0.00222711	0.00228494	0.00218801	0.00309473	0.00225816	0.00280832	0.00226810	0.00284063	0.00229066	0.00232083	0.00252866	0.00250836	0.00268653	0.00159628	0.00314070	0.00174567	0.00254455	0.00302399	0.00218114	0.00214782	0.00215628	0.00192778	0.00250226	0.00220015	0.00243747	0.00243399	0.00280702	0.00246528	0.00228310	0.00249788	0.00253117	0.00150064	0.00162874	0.00292420	0.00346375	0.00226228	0.00212835	0.00204897	0.00167802	0.00270315	0.00266257	0.00349172	0.00162904	0.00183526	0.00214672	0.00230752	0.00327297	0.00233487	0.00263134	0.00201995
EN->VU	0.01066632	0.01169486	0.01371724	0.01190405	0.01191097	0.01185801	0.01015991	0.01057041	0.01172029	0.01048295	0.01127418	0.00958212	0.00989461	0.01056509	0.01067490	0.01085915	0.01053774	0.01158781	0.01152540	0.00938550	0.01090772	0.01250082	0.00976382	0.00920103	0.00898355	0.00980839	0.00952933	0.00871641	0.01002434	0.01145532	0.01056155	0.00991154	0.01087076	0.01269984	0.01014131	0.01049271	0.01302360	0.01066680	0.00870002	0.01122903	0.01088809	0.01045939	0.01150556	0.01307769	0.01066569	0.00969378	0.01070138	0.01033350	0.01008099	0.01069038	0.01113037	0.01158584	0.01245926	0.01135982	0.00904360	0.01172339	0.00997029	0.01069303	0.01327072	0.00859883	0.00910455	0.00926089	0.01026365	0.01213604	0.00733480	0.00906459	0.01092031	0.00891206	0.01159237	0.00994542	0.00953882	0.01001318	0.01281345	0.01038206	0.01136777	0.00993444	0.01245382	0.01003924	0.01208936	0.01034585	0.01089842	0.01035759	0.01062658	0.00811679	0.01111119	0.00869698	0.00941850	0.01102137	0.01129229	0.00997463	0.00932557	0.01062283	0.01023006	0.01067315	0.01217629	0.00833878	0.01108833	0.00973575	0.01040849	0.00950860
EN->CR	0.00830155	0.00795467	0.00624776	0.00692226	0.00904812	0.00913355	0.00674509	0.00713896	0.00827898	0.00732254	0.00854725	0.00861389	0.00623698	0.00652979	0.00823090	0.00810982	0.00774502	0.00836200	0.00809270	0.00687880	0.00966799	0.00756927	0.00647616	0.00778002	0.00729992	0.00748102	0.00704068	0.00858785	0.00839114	0.00739895	0.00722820	0.00845033	0.00781648	0.00847466	0.00769791	0.00816989	0.00820562	0.00841720	0.00529614	0.00838472	0.00752593	0.00695894	0.00803882	0.00789454	0.00792272	0.00829463	0.00716859	0.00757314	0.00783332	0.00768259	0.00859161	0.00651072	0.00565442	0.00729450	0.00710489	0.00769608	0.00753295	0.00799779	0.00724705	0.00883853	0.00609877	0.00879445	0.00755957	0.00772219	0.00727379	0.00814962	0.00705022	0.00693460	0.00750515	0.00646477	0.00597962	0.00677529	0.00612911	0.00762043	0.00631214	0.00650445	0.00690239	0.00802669	0.00833476	0.00768067	0.00708460	0.00691549	0.00829721	0.00716613	0.00624225	0.00819705	0.00663993	0.00895197	0.00854255	0.00682419	0.00786039	0.00746143	0.00850500	0.00990837	0.00655289	0.00679170	0.00763028	0.00778477	0.00766928	0.00657513
EN->DD	0.00047539	0.00005812	0.00032884	0.00023448	0.00032101	0.00014453	0.00003530	0.00015720	0.00017699	0.00017740	0.00002641	0.00002738	0.00001748	0.00017147	0.00027494	0.00007030	0.00045368	0.00042648	0.00022475	0.00003183	0.00041460	0.00000467	0.00012699	0.00001350	0.00063361	0.00012963	0.00000079	0.00003305	0.00009513	0.00006904	0.00028079	0.00015693	0.00010642	0.00016555	0.00004895	0.00030733	0.00005099	0.00032887	0.00013539	0.00026645	0.00017172	0.00012580	0.00006796	0.00002230	0.00002143	0.00025782	0.00003152	0.00000718	0.00000874	0.00011010	0.00034093	0.00004950	0.00007871	0.00047909	0.00004718	0.00005415	0.00029434	0.00008254	0.00038121	0.00016380	0.00003381	0.00018495	0.00011101	0.00003780	0.00015404	0.00003423	0.00001709	0.00009306	0.00017222	0.00008475	0.00011205	0.00013085	0.00009046	0.00021406	0.00013978	0.00013960	0.00001854	0.00003924	0.00011604	0.00005171	0.00034046	0.00012670	0.00021045	0.00002252	0.00018359	0.00032640	0.00012221	0.00001100	0.00020666	0.00001270	0.00043123	0.00013169	0.00015535	0.00038192	0.00004917	0.00007815	0.00010115	0.00014609	0.00000537	0.00011335
CR->LC	0.00044991	0.00006845	0.00037199	0.00070286	0.00007551	0.00056450	0.00073491	0.00088696	0.00021041	0.00026759	0.00021517	0.00009039	0.00000117	0.00013190	0.00004288	0.00021420	0.00101886	0.00024511	0.00025204	0.00035610	0.00024806	0.00000041	0.00005801	0.00011129	0.00001403	0.00086416	0.00042646	0.00040620	0.00024458	0.00049481	0.00021320	0.00024643	0.00110347	0.00013536	0.00040373	0.00011746	0.00012930	0.00020272	0.00033485	0.00075820	0.00001730	0.00003325	0.00014609	0.00070954	0.00024588	0.00000490	0.00046302	0.00006029	0.00077822	0.00016560	0.00054060	0.00000781	0.00004110	0.00078447	0.00019996	0.00034158	0.00021538	0.00066360	0.00007559	0.00001450	0.00048678	0.00008058	0.00101345	0.00059321	0.00125952	0.00019810	0.00088599	0.00046831	0.00010098	0.00003800	0.00000210	0.00041810	0.00001900	0.00086730	0.00097176	0.00031084	0.00001832	0.00014852	0.00008612	0.00030955	0.00003720	0.00028084	0.00013631	0.00009315	0.00009675	0.00009169	0.00104250	0.00007035	0.00041418	0.00015301	0.00081396	0.00041720	0.00007303	0.00049345	0.00024741	0.00069883	0.00021613	0.00001077	0.00037678	0.00021182
CR->NT	0.00125236	0.00050556	0.00046285	0.00033108	0.00120403	0.00341497	0.00167770	0.00050108	0.00150064	0.00060825	0.00048845	0.00102338	0.00099379	0.00201308	0.00192484	0.00042697	0.00052726	0.00204321	0.00085903	0.00162239	0.00243662	0.00128912	0.00064546	0.00086247	0.00045229	0.00069201	0.00095362	0.00124913	0.00138378	0.00090189	0.00097238	0.00091493	0.00115907	0.00160370	0.00047908	0.00032458	0.00066020	0.00102289	0.00101003	0.00023283	0.00100245	0.00054905	0.00285567	0.00087243	0.00020109	0.00033533	0.00053594	0.00041189	0.00153367	0.00051023	0.00078898	0.00189183	0.00022944	0.00044778	0.00045293	0.00110009	0.00070800	0.00188603	0.00190155	0.00034334	0.00044911	0.00059874	0.00037323	0.00029646	0.00128794	0.00041674	0.00148186	0.00034217	0.00128874	0.00109677	0.00112184	0.00078739	0.00173414	0.00100408	0.00068439	0.00090879	0.00164074	0.00073290	0.00073957	0.00033986	0.00065919	0.00043292	0.00060144	0.00031009	0.00122158	0.00048077	0.00140797	0.00083045	0.00366875	0.00096051	0.00092583	0.00128579	0.00072145	0.00061592	0.00056907	0.00048645	0.00118925	0.00147290	0.00195991	0.00174908
CR->VU	0.00188904	0.00349309	0.00229240	0.00211194	0.00286427	0.00361489	0.00509881	0.00378044	0.00529334	0.00308530	0.00340952	0.00244484	0.00279154	0.00244139	0.00286150	0.00399686	0.00326400	0.00443698	0.00322543	0.00163873	0.00224572	0.00402050	0.00199790	0.00477102	0.00404210	0.00356413	0.00527695	0.00384998	0.00208429	0.00289882	0.00221913	0.00311149	0.00325508	0.00331488	0.00540754	0.00280005	0.00302253	0.00406036	0.00194397	0.00358989	0.00448249	0.00143914	0.00467724	0.00292233	0.00165958	0.00490681	0.00267311	0.00393872	0.00391690	0.00194811	0.00181745	0.00218727	0.00480422	0.00118525	0.00261816	0.00245274	0.00276628	0.00311612	0.00249826	0.00478271	0.00349847	0.00186023	0.00211552	0.00258106	0.00540643	0.00339795	0.00312228	0.00407952	0.00349840	0.00293407	0.00378727	0.00183682	0.00464300	0.00302965	0.00443818	0.00257523	0.00196657	0.00247480	0.00229356	0.00336787	0.00335159	0.00242233	0.00326831	0.00365179	0.00360894	0.00252432	0.00379045	0.00316364	0.00277531	0.00410236	0.00523054	0.00284796	0.00305147	0.00344848	0.00346049	0.00271329	0.00199063	0.00312331	0.00276760	0.00346661
