species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Acinonyx jubatus	0.00019973	0.00017258	0.00022823	0.01970000
Ailuropoda melanoleuca	0.00021783	0.00018958	0.00024742	0.02150000
Ailurus fulgens	0.00040490	0.00036503	0.00044421	0.03970000
Aonyx capensis	0.00017040	0.00014512	0.00019564	0.01680000
Aonyx cinereus	0.00022107	0.00019180	0.00024871	0.02180000
Aonyx congicus	0.00015413	0.00013073	0.00017848	0.01520000
Arctictis binturong	0.00019050	0.00016398	0.00021779	0.01880000
Arctocephalus australis	0.00020973	0.00018245	0.00023898	0.02070000
Arctocephalus forsteri	0.00004406	0.00003158	0.00005684	0.00430000
Arctocephalus galapagoensis	0.00038790	0.00034892	0.00042636	0.03800000
Arctocephalus gazella	0.00004033	0.00002791	0.00005246	0.00390000
Arctocephalus philippii	0.00003990	0.00002751	0.00005227	0.00390000
Arctocephalus pusillus	0.00003485	0.00002430	0.00004674	0.00340000
Arctocephalus townsendi	0.00003802	0.00002693	0.00005032	0.00370000
Arctocephalus tropicalis	0.00003895	0.00002677	0.00005117	0.00380000
Arctogalidia trivirgata	0.00003311	0.00002249	0.00004446	0.00320000
Arctonyx albogularis	0.00003403	0.00002306	0.00004529	0.00330000
Arctonyx collaris	0.00021190	0.00018513	0.00024296	0.02090000
Arctonyx hoevenii	0.00003507	0.00002343	0.00004656	0.00340000
Atelocynus microtis	0.00015295	0.00012926	0.00017759	0.01510000
Atilax paludinosus	0.00004415	0.00003163	0.00005728	0.00430000
Bassaricyon alleni	0.00004098	0.00002926	0.00005392	0.00400000
Bassaricyon gabbii	0.00004503	0.00003223	0.00005810	0.00440000
Bassaricyon medius	0.00004291	0.00003049	0.00005577	0.00420000
Bassaricyon neblina	0.00014479	0.00012114	0.00016830	0.01430000
Bassariscus astutus	0.00004507	0.00003193	0.00005853	0.00440000
Bassariscus sumichrasti	0.00004194	0.00002891	0.00005445	0.00410000
