simulated_rates	estimated_rates_mean	estimated_rates_lower	estimated_rates_upper
0.0015639683237213865	0.00190653990815072	0.001111578950971365	0.002774477099511734
0.000527642902122871	0.0006522437066863346	0.00021914332987728097	0.0011176759927325824
0.004092931780672022	0.00430068392765321	0.0030933760882446986	0.00555302261447079
0.003965138169362342	0.005717402856086213	0.004374218799422187	0.0072207495127796836
0.00019939232145894362	0.00037278406212751085	6.682999656491042e-05	0.0007354571664050239
0.00020399389683881027	0.001292130991645395	6.495613351981193e-05	0.0030681868797877597
0.011330099264093162	0.016818646818359817	0.010761743836604734	0.023942360081470496
0.006979774638466687	0.007359566949623255	0.0033411162104774604	0.01171646844501749
0.0003294766160033937	0.0007239466091474713	4.847122032481548e-07	0.002193852965078813
0.0007660565486556544	0.0019976466258753546	0.00025935474951607474	0.00438223352762096
0.002245185126247239	0.00385362348226022	0.0012538193949140225	0.006775205201009252
0.0026673745206243185	0.0034648017150001303	0.0013381518100945503	0.006043134384127507
0.0010922797594644096	0.0014382386525967944	0.00010133032283761983	0.0030592082488316063
0.0007755410074007938	0.0010562325465975277	4.6591977744399355e-05	0.0024410230961775365
4.3380813778527096e-05	0.0005613953502795187	5.938138808307057e-06	0.0015981469938943723
0.0038015556733511304	0.007044103565749741	0.0036539655866551913	0.010677263361688978
0.00726123782468363	0.009260599219563338	0.0051830652233479935	0.01378185598336198
0.00034349119823765884	0.0032710004087387733	0.0009907052752810993	0.00585760281199713
6.237115793977948e-05	0.0005507007993882393	6.5766639949289975e-06	0.001675231202041694
0.0003515557653076099	0.0005448122034521792	1.1712247282258493e-06	0.0016477332029822137
0.009778065218541009	0.007677767196964509	0.0030602041851670717	0.012704510972100494
0.0018583918466830091	0.0033185615578870675	0.0007049980367343541	0.006578426233716112
0.0004155504246541204	0.0008014582128917265	9.721751574653281e-07	0.0025731588226644473
0.004175066185934445	0.006840135750267228	0.0026498555506414413	0.011613503042867691
0.0011376257769477461	0.0016005439738188821	6.562108136876698e-05	0.0037216049298383212
0.006705399873732946	0.006594209062521789	0.0037581911572201424	0.009515699325217843
0.0005228319620507307	0.0006439356930946251	2.7874227490375114e-05	0.0014518470193518656
0.004518589383809216	0.004397405113660396	0.0021542773791226057	0.006672598892067485
9.332619874578931e-05	0.0009431948075351619	6.742750730773785e-05	0.002079391493321783
0.002537936411030294	0.0016613373708691578	0.00040123294742974426	0.0031217954534100804
