status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
EN->NT	0.00277989	0.00201784	0.00275114	0.00191486	0.00258102	0.00232311	0.00172550	0.00188902	0.00221911	0.00254903	0.00245728	0.00166600	0.00265771	0.00291076	0.00283671	0.00231319	0.00302062	0.00337198	0.00239933	0.00231145	0.00337406	0.00226879	0.00244644	0.00198274	0.00295797	0.00248001	0.00152648	0.00189281	0.00219283	0.00197180	0.00416943	0.00214055	0.00223590	0.00219145	0.00289114	0.00205064	0.00232246	0.00189672	0.00165124	0.00334081	0.00227198	0.00158056	0.00183800	0.00225610	0.00312498	0.00311880	0.00221135	0.00239600	0.00293089	0.00291656	0.00277025	0.00225462	0.00215912	0.00404446	0.00238587	0.00158723	0.00189028	0.00235346	0.00399317	0.00300162	0.00285050	0.00308598	0.00246094	0.00260011	0.00271670	0.00232801	0.00189889	0.00241024	0.00260762	0.00265911	0.00289366	0.00152408	0.00253412	0.00215104	0.00258014	0.00254177	0.00336092	0.00254512	0.00231560	0.00157043	0.00252162	0.00286082	0.00246336	0.00254991	0.00273122	0.00329038	0.00190349	0.00130449	0.00253346	0.00160649	0.00290237	0.00188420	0.00245663	0.00350358	0.00295829	0.00206621	0.00223492	0.00183272	0.00208382	0.00182199
EN->VU	0.00961028	0.00966558	0.01064197	0.00841286	0.00927911	0.00904656	0.01064642	0.00925921	0.01293068	0.00739600	0.00911303	0.00869182	0.00945343	0.01021010	0.01039818	0.00861155	0.01284996	0.01242494	0.00841238	0.00933624	0.01153018	0.01058353	0.01001300	0.00963929	0.00892704	0.01257447	0.01088022	0.01023832	0.01092855	0.01098151	0.01138903	0.01123416	0.01060692	0.01206495	0.01246561	0.00927098	0.00998386	0.01110037	0.01184335	0.01174059	0.00736922	0.01077597	0.00994200	0.00926544	0.01050356	0.00984084	0.01166471	0.00858876	0.01142672	0.00992581	0.00728106	0.01203344	0.01113495	0.01032861	0.00986224	0.01049881	0.00811873	0.01107770	0.01210295	0.00774968	0.01131424	0.01107855	0.01145515	0.01291999	0.01128907	0.00980806	0.01210076	0.00836129	0.00778389	0.01109315	0.01018867	0.00990195	0.01106054	0.01156804	0.01163400	0.01102691	0.01034476	0.01115665	0.01121730	0.00946010	0.00883447	0.00839597	0.00977263	0.00970142	0.01184032	0.01132881	0.01159750	0.01135918	0.01072815	0.01038012	0.01027269	0.00955846	0.01025331	0.01159101	0.00908295	0.01035610	0.01313307	0.00845769	0.00781667	0.01087750
EN->CR	0.00716884	0.00732913	0.00935573	0.00832405	0.00775236	0.01105285	0.00741659	0.00684211	0.00743438	0.00604141	0.00765683	0.00873295	0.00854810	0.00893452	0.00796443	0.00809630	0.00650321	0.00808451	0.00817761	0.00818720	0.00912916	0.00899377	0.00662023	0.00704668	0.00820513	0.00702493	0.00718075	0.00774866	0.00858871	0.00710810	0.00806224	0.00824782	0.00807314	0.00718322	0.00720447	0.00802618	0.00588424	0.00737175	0.00728441	0.00789918	0.00843058	0.00967012	0.00767769	0.00703357	0.00842283	0.00626174	0.00779119	0.00802922	0.00919912	0.00697155	0.00636090	0.00845636	0.00764477	0.00587284	0.00504520	0.00616277	0.00704942	0.00787270	0.00830628	0.00850776	0.00910223	0.01001876	0.00913281	0.00781959	0.00712710	0.00826767	0.00818040	0.00574850	0.00865252	0.00976302	0.00626441	0.00858412	0.00706160	0.00937155	0.00643603	0.00822191	0.00895820	0.00648053	0.00860365	0.00676370	0.00641246	0.00590065	0.00839062	0.00862629	0.00801265	0.00561484	0.00765879	0.00806259	0.00889715	0.00997725	0.00678742	0.00680183	0.00904049	0.00641071	0.00736390	0.00666779	0.00843373	0.00878313	0.01076456	0.00718724
EN->DD	0.00002125	0.00026847	0.00001464	0.00004168	0.00005724	0.00015942	0.00005797	0.00009819	0.00031768	0.00001156	0.00004366	0.00001552	0.00007136	0.00007924	0.00002076	0.00035231	0.00024047	0.00001131	0.00004399	0.00002691	0.00008344	0.00044472	0.00012283	0.00047603	0.00009973	0.00011995	0.00067999	0.00033530	0.00002620	0.00004090	0.00023257	0.00004718	0.00003770	0.00021935	0.00011995	0.00004232	0.00003510	0.00014621	0.00001980	0.00009404	0.00014813	0.00004765	0.00035247	0.00009434	0.00001571	0.00003947	0.00034747	0.00015043	0.00001948	0.00002158	0.00011163	0.00005712	0.00018339	0.00000188	0.00003437	0.00009184	0.00019514	0.00007083	0.00003684	0.00013706	0.00006989	0.00004937	0.00000650	0.00003265	0.00052258	0.00002662	0.00007778	0.00031295	0.00003111	0.00006932	0.00007000	0.00005102	0.00009961	0.00010141	0.00013739	0.00004559	0.00001030	0.00004083	0.00028029	0.00007656	0.00034505	0.00002684	0.00008562	0.00018896	0.00002247	0.00007725	0.00011722	0.00005197	0.00002178	0.00033479	0.00020275	0.00000914	0.00005773	0.00004222	0.00008193	0.00007294	0.00009309	0.00027998	0.00004031	0.00002053
EN->EX	0.00004348	0.00000401	0.00000006	0.00015101	0.00024366	0.00024583	0.00019946	0.00007414	0.00012525	0.00033195	0.00022846	0.00006016	0.00053579	0.00000000	0.00038488	0.00017718	0.00045791	0.00002207	0.00003049	0.00001562	0.00000095	0.00006429	0.00022270	0.00006979	0.00010620	0.00010473	0.00014450	0.00000869	0.00011848	0.00004333	0.00019787	0.00011152	0.00016968	0.00004988	0.00019580	0.00012505	0.00005536	0.00000067	0.00011992	0.00046895	0.00034849	0.00030002	0.00033483	0.00003730	0.00060052	0.00005925	0.00003660	0.00014661	0.00012894	0.00008682	0.00009852	0.00005607	0.00011896	0.00005057	0.00004781	0.00009909	0.00000000	0.00004133	0.00004887	0.00020240	0.00011990	0.00027264	0.00000000	0.00003515	0.00011921	0.00000000	0.00001554	0.00002893	0.00016230	0.00004894	0.00001109	0.00024360	0.00032015	0.00004739	0.00011272	0.00008498	0.00018643	0.00019212	0.00029183	0.00029334	0.00020413	0.00000000	0.00006997	0.00029701	0.00003284	0.00002972	0.00050482	0.00010787	0.00014867	0.00071227	0.00009220	0.00006808	0.00005213	0.00033441	0.00011297	0.00007809	0.00024273	0.00004176	0.00010779	0.00000001
CR->LC	0.00031765	0.00014526	0.00000187	0.00022815	0.00039158	0.00007428	0.00000220	0.00017236	0.00004604	0.00078915	0.00011554	0.00022098	0.00016860	0.00002410	0.00006866	0.00054863	0.00020781	0.00008268	0.00028755	0.00047891	0.00055294	0.00021561	0.00004776	0.00024444	0.00144564	0.00026074	0.00015859	0.00036254	0.00020862	0.00000102	0.00060588	0.00005138	0.00001050	0.00040596	0.00037973	0.00066939	0.00040058	0.00011229	0.00003933	0.00006683	0.00028857	0.00018151	0.00021254	0.00034643	0.00005981	0.00074258	0.00022222	0.00028000	0.00014255	0.00003325	0.00041975	0.00003478	0.00018576	0.00060590	0.00021926	0.00006501	0.00026575	0.00000321	0.00027402	0.00023110	0.00040912	0.00063751	0.00001585	0.00015279	0.00043859	0.00018803	0.00127624	0.00018620	0.00008804	0.00009806	0.00000354	0.00000162	0.00000192	0.00022339	0.00029929	0.00000357	0.00012129	0.00015303	0.00016813	0.00017320	0.00051477	0.00000432	0.00020390	0.00041089	0.00007066	0.00009543	0.00022454	0.00020546	0.00041669	0.00030235	0.00023522	0.00034396	0.00083286	0.00003057	0.00023159	0.00040576	0.00007072	0.00018504	0.00054901	0.00006312
CR->NT	0.00258825	0.00121762	0.00074028	0.00038513	0.00065583	0.00132182	0.00096001	0.00031735	0.00140598	0.00072357	0.00046015	0.00074721	0.00067176	0.00100148	0.00075396	0.00073366	0.00083473	0.00071425	0.00104172	0.00043847	0.00048048	0.00130498	0.00148744	0.00102678	0.00069094	0.00109942	0.00051862	0.00160544	0.00168564	0.00106973	0.00105342	0.00077893	0.00204571	0.00051870	0.00113568	0.00054843	0.00254269	0.00088823	0.00101450	0.00090398	0.00079605	0.00135084	0.00102302	0.00030587	0.00065818	0.00068290	0.00054735	0.00178727	0.00145015	0.00211099	0.00063870	0.00079262	0.00115883	0.00116966	0.00078817	0.00113633	0.00115832	0.00041829	0.00205177	0.00090195	0.00019648	0.00118978	0.00016482	0.00026556	0.00093225	0.00068849	0.00109195	0.00092236	0.00124031	0.00060392	0.00043613	0.00107169	0.00194410	0.00093675	0.00193339	0.00067642	0.00067750	0.00027605	0.00161189	0.00117562	0.00034128	0.00028360	0.00196735	0.00102627	0.00111135	0.00047320	0.00164826	0.00121332	0.00232538	0.00056936	0.00057313	0.00114109	0.00074327	0.00112113	0.00129209	0.00072038	0.00065698	0.00028415	0.00112278	0.00035472
CR->VU	0.00223619	0.00342135	0.00238288	0.00364142	0.00371182	0.00317018	0.00309856	0.00315759	0.00305052	0.00450167	0.00287186	0.00139101	0.00287743	0.00256453	0.00160632	0.00281247	0.00486534	0.00284870	0.00296636	0.00274533	0.00246172	0.00262390	0.00395147	0.00319193	0.00366504	0.00318817	0.00416311	0.00602026	0.00340298	0.00348018	0.00205564	0.00432239	0.00442298	0.00332319	0.00372961	0.00189212	0.00117761	0.00533977	0.00379272	0.00196203	0.00382794	0.00496354	0.00167114	0.00256041	0.00224790	0.00219572	0.00260811	0.00334888	0.00245709	0.00513919	0.00375268	0.00369189	0.00297478	0.00244972	0.00313161	0.00331121	0.00241636	0.00397254	0.00294695	0.00310831	0.00296544	0.00365622	0.00324944	0.00186580	0.00291464	0.00247134	0.00346634	0.00199736	0.00299577	0.00126081	0.00229577	0.00224300	0.00252879	0.00395761	0.00315229	0.00445240	0.00243461	0.00475310	0.00328752	0.00312653	0.00203428	0.00273622	0.00292833	0.00229178	0.00507017	0.00279167	0.00271677	0.00339564	0.00314918	0.00257191	0.00132451	0.00323751	0.00341826	0.00303546	0.00390004	0.00263722	0.00304653	0.00416076	0.00382174	0.00529698
CR->EN	0.01153780	0.01378512	0.01566621	0.01130820	0.01195727	0.01644820	0.01571150	0.01409249	0.01537510	0.01409861	0.01225464	0.01336410	0.01681257	0.01385040	0.01510291	0.01394780	0.01144105	0.01269035	0.01355711	0.01442242	0.01790650	0.01436906	0.01431251	0.01394235	0.01489212	0.01330279	0.01023781	0.01027769	0.01404161	0.01438852	0.01515810	0.01325987	0.01722493	0.00970315	0.01666404	0.01093452	0.01295538	0.01303931	0.01406335	0.01077324	0.01582016	0.01223796	0.01233819	0.01289651	0.01344591	0.01417117	0.01635914	0.01194010	0.01339582	0.01062564	0.01510421	0.01196165	0.01048770	0.01176534	0.01280120	0.01287009	0.01336445	0.01186012	0.01144366	0.01486206	0.01364795	0.01436379	0.01239385	0.01356401	0.01379510	0.01359914	0.01803221	0.01148641	0.01050941	0.01544553	0.01672870	0.01321243	0.01287561	0.01505455	0.01140713	0.01101619	0.01269937	0.01097152	0.01021208	0.01126306	0.01330706	0.01419314	0.01520465	0.01229275	0.01710634	0.01337379	0.01228225	0.01772937	0.01553256	0.01164206	0.02084603	0.01084998	0.01164812	0.01570617	0.01640635	0.01083475	0.01267179	0.01146562	0.01598037	0.01773768
CR->DD	0.00024834	0.00040852	0.00014048	0.00028898	0.00040007	0.00012635	0.00011658	0.00008570	0.00011451	0.00031149	0.00007781	0.00004157	0.00175738	0.00003230	0.00018185	0.00012222	0.00000236	0.00018802	0.00015691	0.00020260	0.00009654	0.00023961	0.00037053	0.00024598	0.00020655	0.00005985	0.00081502	0.00017605	0.00003796	0.00017240	0.00004052	0.00011608	0.00041925	0.00007716	0.00021185	0.00001243	0.00019004	0.00006438	0.00005408	0.00004006	0.00026163	0.00000085	0.00050872	0.00064165	0.00015283	0.00015326	0.00029920	0.00014328	0.00067288	0.00015691	0.00004496	0.00038944	0.00003727	0.00033357	0.00004736	0.00036118	0.00003995	0.00030022	0.00015161	0.00010278	0.00007372	0.00011685	0.00052335	0.00018311	0.00028976	0.00007074	0.00039748	0.00009265	0.00019980	0.00008088	0.00024461	0.00043253	0.00023917	0.00000529	0.00003892	0.00037591	0.00019191	0.00041181	0.00086657	0.00030212	0.00026415	0.00044547	0.00003493	0.00014710	0.00012265	0.00013623	0.00045956	0.00004800	0.00133373	0.00031501	0.00014387	0.00049170	0.00023452	0.00034680	0.00014910	0.00015118	0.00006780	0.00029291	0.00008968	0.00024317
