species	2016	2012	2008	2004	2000	1994	1988	2018	2017	1996	2015	2013	2009	2019	2011	2010	2006	2007	2005	2002	2014	2001	2003
Scolopax celebensis	NT	NT	NT	NT	LR/nt	LR/nt	T																
Scolopax rochussenii	EN	EN	EN	EN	EN	VU	T			VU							EN						
Scolopax minor	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Gallinago solitaria	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Gallinago hardwickii	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Gallinago nemoricola	VU	VU	VU	VU	VU	VU	T			VU								VU					
Gallinago stenura	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Gallinago megala	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Gallinago media	NT	NT	NT	NT	LR/nt	LR/nt	NT		NT		NT						NT						
Gallinago gallinago	LC		NR	LC	LR/lc	NR	NR		LC										NR		LC		
Gallinago nigripennis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Gallinago macrodactyla	VU	VU	NT	NT	LR/nt	LR/lc	LR/lc									VU	NT						
Gallinago paraguaiae	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Gallinago andina	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Gallinago nobilis	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc						LC		NT								
Gallinago undulata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Gallinago jamesoni	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Gallinago stricklandii	NT	NT	NT	NT	LR/nt	LR/nt	NT										NT						
Gallinago imperialis	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc																
Lymnocryptes minimus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Coenocorypha pusilla	VU	VU	VU	VU	VU	VU	LR/lc			VU		VU					VU						
Limosa limosa	NT	NT	NT	LC	LR/lc	LR/lc	LR/lc										NT						
Limosa haemastica	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Limosa lapponica	NT	LC	LC	LC	LR/lc	LR/lc	LR/lc		NT		NT		LC										
Limosa fedoa	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Numenius minutus	LC	LC	LC	LC	LR/lc	LR/lc	NT						LC										
Numenius borealis	CR	CR	CR	CR	CR	CR	T	CR		CR	CR	CR	CR	CR									
Numenius phaeopus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Numenius tahitiensis	VU	VU	VU	VU	VU	VU	T			VU							VU						
Numenius tenuirostris	CR	CR	CR	CR	CR	CR	T	CR		CR	CR		CR			CR							
Numenius arquata	NT	NT	NT	LC	LR/lc	LR/lc	LR/lc		NT		NT												
Numenius americanus	LC	LC	LC	NT	LR/nt	LR/lc	LR/lc						LC				NT						
Numenius madagascariensis	EN	VU	LC	LC	LR/nt	LR/nt	LR/lc				EN		LC			VU							
Bartramia longicauda	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tringa erythropus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Tringa totanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc					LC	LC										
Tringa stagnatilis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tringa nebularia	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Tringa guttifer	EN	EN	EN	EN	EN	EN	T			EN							EN						
Tringa melanoleuca	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tringa flavipes	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC								LC		
Tringa solitaria	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Tringa ochropus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tringa glareola	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Xenus cinereus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC	LC									
Actitis hypoleucos	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Actitis macularius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tringa brevipes	NT	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC								NT		
Tringa incana	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tringa semipalmata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Prosobonia leucoptera	EX	EX	EX	EX	EX	EX	EX																
Arenaria interpres	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC	LC									
Arenaria melanocephala	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Limnodromus griseus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Limnodromus scolopaceus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Limnodromus semipalmatus	NT	NT	NT	NT	LR/nt	LR/nt	T										NT						
Calidris virgata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Calidris tenuirostris	EN	VU	LC	LC	LR/lc	LR/lc	LR/lc				EN		LC			VU							
Calidris canutus	NT	LC	LC	LC	LR/lc	LR/lc	LR/lc	NT	NT		NT		LC										
Calidris alba	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Calidris pusilla	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Calidris mauri	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Calidris minuta	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC	LC									
Calidris ruficollis	NT	LC	LC	LC	LR/lc	LR/lc	LR/lc				NT		LC										
Calidris temminckii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC	LC									
Calidris subminuta	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Calidris minutilla	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Calidris fuscicollis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Calidris bairdii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Calidris melanotos	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Calidris acuminata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Calidris maritima	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Calidris ptilocnemis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Calidris alpina	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC	LC									
Calidris ferruginea	NT	LC	LC	LC	LR/lc	LR/lc	LR/lc		NT		NT		LC										
Calidris himantopus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Calidris subruficollis	NT	NT	NT	NT	LR/nt	LR/lc	LR/lc		NT								NT						
Calidris pygmaea	CR	CR	CR	EN	VU	VU	T	CR	CR	VU	CR	CR	CR		CR	CR							
Calidris falcinellus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC	LC									
Calidris pugnax	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Steganopus tricolor	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Phalaropus lobatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Phalaropus fulicarius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Nycticryphes semicollaris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Actophilornis africanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Actophilornis albinucha	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc	NT			NT		LC										
Microparra capensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Irediparra gallinacea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Hydrophasianus chirurgus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Metopidius indicus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Jacana spinosa	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Jacana jacana	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Chionis albus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC		LC		LC										
Chionis minor	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pluvianellus socialis	NT	NT	NT	NT	LR/nt	LR/nt	NT										NT						
Burhinus senegalensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Burhinus vermiculatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Burhinus capensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Burhinus bistriatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Burhinus superciliaris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Burhinus grallarius	LC	LC	NT	NT	LR/nt	LR/lc	LR/lc											NT					
Esacus recurvirostris	NT	LC	LC	LC	LR/lc	LR/lc	LR/lc		NT			NT	LC										
Haematopus ostralegus		LC	LC	LC	LR/lc	LR/lc	LR/lc						LC	NT									
Haematopus meadewaldoi	EX	EX	EX	EX	EX	EX	T			EX													
Haematopus moquini	NT	NT	NT	NT	LR/nt	LR/nt	NT		LC		NT						NT						
Haematopus finschi		LC	LC	LC	LR/lc	LR/lc	LR/lc						LC	LC									
Haematopus palliatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Haematopus longirostris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Haematopus unicolor	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc					LC	LC										
Haematopus chathamensis	EN	EN	EN	EN	EN	EN	T										EN						
Haematopus fuliginosus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Haematopus leucopodus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Ibidorhyncha struthersii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Himantopus novaezelandiae	CR	CR	CR	CR	CR	CR	T			CR	CR	CR	CR				CR	CR					
Cladorhynchus leucocephalus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Recurvirostra avosetta	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC	LC									
Recurvirostra americana	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Recurvirostra novaehollandiae	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Recurvirostra andina	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pluvialis apricaria	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pluvialis fulva	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pluvialis dominica	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pluvialis squatarola	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC	LC	LC								
Charadrius hiaticula	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Charadrius semipalmatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Charadrius placidus	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Charadrius dubius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Charadrius wilsonia	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Charadrius vociferus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Charadrius thoracicus	VU	VU	VU	VU	LR/nt	VU	T			VU							VU						
Charadrius sanctaehelenae	VU	CR	CR	VU	EN	EN	T			EN	CR		CR			CR		CR					
Charadrius pecuarius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Charadrius forbesi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Charadrius melodus	NT	NT	NT	VU	VU	VU	T	NT		VU							NT		NT			NT	
Charadrius pallidus	NT	NT	NT	LC	LR/lc	LR/lc	LR/lc											NT					
Charadrius marginatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Charadrius ruficapillus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Charadrius peronii	NT	NT	NT	NT	LR/nt	LR/nt	NT										NT						
Charadrius javanicus	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc		NT														
Charadrius collaris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Charadrius bicinctus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc					LC	LC								LC		
Charadrius alticola	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Charadrius falklandicus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Charadrius mongolus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Charadrius leschenaultii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC	LC									
Charadrius asiaticus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Charadrius veredus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC		LC								
Charadrius montanus	NT	NT	NT	VU	VU	VU	LR/lc	NT	NT	VU							VU	VU					
Charadrius modestus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Thinornis cucullatus	VU	VU	NT	NT	LR/nt	VU	T			VU							NT				VU		
Thinornis novaeseelandiae	EN	EN	EN	EN	EN	EN	T			EN													
Erythrogonys cinctus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Eudromias morinellus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Oreopholus ruficollis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anarhynchus frontalis	VU	VU	VU	VU	VU	VU	LR/lc	VU		VU							VU						
Phegornis mitchellii	NT	NT	NT	NT	LR/nt	LR/nt	NT				NT						NT						
Peltohyas australis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Elseyornis melanops	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Vanellus vanellus	NT	LC	LC	LC	LR/lc	LR/lc	LR/lc				NT		LC										
Vanellus crassirostris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Vanellus malabaricus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Vanellus macropterus	CR	CR	CR	CR	CR	EX	T			EX	CR	CR	CR	CR			CR						
Vanellus tricolor	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Vanellus armatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Vanellus spinosus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Vanellus duvaucelii	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Vanellus tectus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Vanellus melanocephalus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Vanellus cinereus	LC	LC	LC	LC	LR/lc	LR/nt	LR/lc						LC										
Vanellus indicus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Vanellus albiceps	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC										
Vanellus senegallus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Vanellus lugubris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Vanellus melanopterus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Vanellus coronatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Vanellus superciliosus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC										
Vanellus gregarius	CR	CR	CR	CR	VU	VU	T	CR	CR	VU	CR	CR	CR			CR	CR						
Vanellus leucurus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Hoploxypterus cayanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Vanellus chilensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Vanellus resplendens	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dromas ardeola	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pluvianus aegyptius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Smutsornis africanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Rhinoptilus chalcopterus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Rhinoptilus cinctus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Rhinoptilus bitorquatus	CR	CR	CR	CR	CR	EN	T		CR	EN	CR	CR	CR			CR							
Cursorius rufus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cursorius temminckii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Cursorius coromandelicus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Glareola pratincola	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC										
Glareola maldivarum	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC		LC								
Glareola nordmanni	NT	NT	NT	DD	DD	LR/nt	LR/lc										NT	NT					
Glareola ocularis	VU	VU	VU	VU	LR/lc	LR/lc	LR/lc										VU	VU					
Glareola nuchalis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Glareola cinerea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Glareola lactea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Stiltia isabella	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Catharacta skua	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Catharacta chilensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Catharacta maccormicki	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Stercorarius pomarinus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Stercorarius parasiticus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Stercorarius longicaudus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Rynchops niger	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Rynchops flavirostris	NT	NT	NT	NT	LR/nt	LR/lc	LR/lc										NT						
Rynchops albicollis	VU	VU	VU	VU	VU	VU	LR/lc		VU	VU		VU					VU						
Larus scoresbii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC	LC				LC										
Larus pacificus	LC	LC	LC	LC	LR/lc	LR/nt	NT	LC					LC										
Larus belcheri	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus atlanticus	NT	VU	VU	VU	VU	VU	T	NT		VU		NT					VU						
Larus crassirostris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus modestus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus heermanni	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc	NT	NT							NT	NT						
Larus leucophthalmus	NT	NT	NT	NT	LR/nt	VU	T	LC		VU						NT	NT						
Larus hemprichii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus canus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC	LC									
Larus audouinii	LC	NT	NT	NT	LR/nt	LR/cd	T	LC			LC					NT	NT						
Larus delawarensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus californicus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus marinus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus dominicanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus glaucescens	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus occidentalis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus livens	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus hyperboreus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus armenicus	NT		LC	LC	LR/lc	LR/lc	LR/lc		NT		NT		LC			NR					LC		
Larus schistisagus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus fuscus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus ichthyaetus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus brunnicephalus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC				LC	LC										
Larus cirrocephalus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus hartlaubii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus bulleri	EN	EN	EN	VU	VU	LR/lc	LR/lc				EN						EN		EN				
Larus maculipennis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus ridibundus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC	LC				LC										
Larus genei	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC	LC				LC	LC									
Larus philadelphia	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Saundersilarus saundersi	VU	VU	VU	VU	VU	EN	T	VU		EN						VU	VU						
Larus serranus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Larus melanocephalus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC	LC									
Larus relictus	VU	VU	VU	VU	VU	LR/nt	T		VU								VU	VU					
Larus fuliginosus	VU	VU	VU	VU	VU	VU	NT	VU		VU						VU	VU						
Larus atricilla	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larus pipixcan	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Hydrocoloeus minutus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Pagophila eburnea	NT	NT	NT	LC	LR/lc	LR/lc	LR/lc	NT	NT							NT	NT		NT				
Rhodostethia rosea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Xema sabini	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC	LC				LC										
Creagrus furcatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Rissa tridactyla	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	VU	VU				LC	VU		LC							
Rissa brevirostris	VU	VU	VU	VU	VU	VU	LR/lc	VU	VU	VU	VU	VU				VU	VU						
Hydroprogne caspia	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC	LC		LC		LC	LC									
Sterna aurantia	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Thalasseus maximus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Thalasseus elegans	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc	NT								NT	NT						
Thalasseus bengalensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Thalasseus bergii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC			LC		LC										
Thalasseus bernsteini	CR	CR	CR	CR	CR	CR	T	CR		CR	CR	CR	CR			CR							
Thalasseus sandvicensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC	LC									
Sterna dougallii	LC	LC	LC	LC	LR/lc	LR/lc	NT	LC	LC				LC										
Sterna striata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	NT				LC	LC	NT									
Sterna sumatrana	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Sterna hirundinacea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Sterna hirundo	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Sterna paradisaea	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC			LC							
Sterna vittata	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC				LC	LC										
Sterna virgata	NT	NT	NT	NT	LR/nt	VU	T	NT		VU						NT	NT						
Sterna forsteri	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Sterna trudeaui	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Sternula albifrons	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Sternula saundersi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC	LC									
Sternula antillarum	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Sternula superciliaris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Sternula lorata	EN	EN	EN	NT	LR/nt	LR/lc	LR/lc	EN								EN	EN		EN				
Sternula nereis	VU	VU	VU	LC	LR/lc	VU	NT	VU		VU						VU							
Sternula balaenarum	VU	NT	NT	NT	LR/nt	LR/nt	T	VU			NT					NT	NT						
Sterna repressa	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC	LC									
Sterna acuticauda	EN	EN	NT	NT	LR/nt	VU	LR/lc			VU							NT						
Onychoprion aleuticus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	VU	VU		LC		LC										
Onychoprion lunatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Onychoprion anaethetus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC	LC									
Onychoprion fuscatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Chlidonias albostriatus	EN	EN	EN	EN	EN	VU	T			VU						EN		EN					
Chlidonias hybrida	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Chlidonias leucopterus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Chlidonias niger	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Phaetusa simplex	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Anous stolidus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Anous minutus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Anous tenuirostris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Gygis alba	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Gygis microrhyncha	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Larosterna inca	NT	NT	NT	NT	LR/lc	LR/lc	LR/lc	NT								NT	NT						
Alle alle	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Uria aalge	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Uria lomvia	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Alca torda	NT	LC	LC	LC	LR/lc	LR/lc	LR/lc	NT	NT		NT		LC										
Pinguinus impennis	EX	EX	EX	EX	EX	EX	EX																
Cepphus grylle	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Cepphus columba	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Cepphus carbo	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Brachyramphus marmoratus	EN	EN	EN	EN	VU	NR	NR	EN	EN							EN			EN				
Brachyramphus brevirostris	NT	CR	CR	CR	LR/lc	LR/lc	LR/lc	NT				CR	CR			CR			CR		NT		
Synthliboramphus craveri	VU	VU	VU	VU	VU	LR/nt	NT	VU								VU		VU	VU				
