species	2016	2012	2008	2004	2000	1994	1988	2018	2017	1996	2015	2013	2009	2019	2011	2010	2006	2007	2005	2002	2014	2001	2003
Penelope obscura	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Penelope pileata	VU	VU	NT	NT	LR/nt	LR/nt	NT					VU											
Penelope ochrogaster	VU	VU	VU	VU	EN	VU	T			VU													
Penelope jacucaca	VU	VU	VU	VU	LR/nt	LR/nt	T																
Pipile pipile	CR	CR	CR	CR	CR	CR	NR	CR	CR	CR		CR	CR			CR	CR						
Pipile cujubi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pipile jacutinga	EN	EN	EN	EN	VU	VU	T	EN		VU		EN											
Aburria aburri	NT	NT	NT	NT	LR/nt	LR/nt	LR/lc																
Chamaepetes unicolor	NT	NT	NT	NT	LR/nt	LR/nt	NT	LC															
Chamaepetes goudotii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Penelopina nigra	VU	VU	VU	NT	LR/nt	LR/lc	T											VU					
Oreophasis derbianus	EN	EN	EN	EN	EN	VU	T			VU		EN											
Nothocrax urumutum	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Mitu tomentosum	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Mitu salvini	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Mitu tuberosum	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Mitu mitu	EW	EW	EW	EW	EW	EW	T	EW		EW		EW				EW							
Pauxi pauxi	EN	EN	EN	VU	VU	EN	T			EN		EN											
Crax rubra	VU	VU	NT	NT	LR/nt	LR/lc	LR/lc						VU										
Crax alberti	CR	CR	CR	CR	CR	CR	T	CR		CR		CR	CR			CR							
Crax daubentoni	NT	NT	NT	NT	LR/nt	LR/lc	LR/lc							NT									
Crax alector	VU	VU	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Crax globulosa	EN	EN	VU	VU	VU	VU	T			VU		EN				EN	VU						
Crax blumenbachii	EN	EN	EN	EN	EN	CR	T			CR		EN											
Alectura lathami	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Aepypodius arfakianus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Aepypodius bruijnii	EN	EN	EN	VU	VU	VU	T			VU									VU				
Talegalla cuvieri	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Talegalla fuscirostris	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Talegalla jobiensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Macrocephalon maleo	EN	EN	EN	EN	VU	VU	T			VU		EN						EN		EN			
Megapodius nicobariensis	VU	VU	VU	VU	VU	VU	T			VU			VU										
Megapodius cumingii	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Megapodius bernsteinii	VU	VU	NT	NT	LR/nt	LR/nt	T								VU								
Megapodius freycinet	LC	LC	LC	LC	LR/lc	NR	NR					LC	LC										
Megapodius decollatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Megapodius eremita	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Megapodius layardi	VU	VU	VU	VU	VU	VU	LR/lc			VU								VU					
Megapodius laperouse	EN	EN	EN	EN	EN	VU	T			VU													
Megapodius pritchardii	EN	EN	EN	EN	CR	EN	T		EN	EN				VU									
Eulipoa wallacei	VU	VU	VU	VU	VU	VU	T			VU													
Leipoa ocellata	VU	VU	VU	VU	VU	VU	T			VU													
Lerwa lerwa	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Ammoperdix griseogularis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Ammoperdix heyi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tetraogallus caucasicus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tetraogallus caspius	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tetraogallus tibetanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tetraogallus altaicus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Tetraogallus himalayensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Tetraophasis obscurus	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Tetraophasis szechenyii	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Alectoris graeca	NT	NT	LC	LC	LR/lc	LR/lc	LR/lc	NT			NT		LC										
Alectoris chukar	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC	LC									
Alectoris philbyi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Alectoris magna	LC	LC	LC	LC	LR/lc	LR/nt	NT						LC										
Alectoris barbara	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Alectoris rufa	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Alectoris melanocephala	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Francolinus francolinus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Francolinus pictus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Francolinus pintadeanus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Francolinus pondicerianus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Francolinus gularis	VU	VU	VU	VU	VU	VU	T			VU		VU											
Peliperdix coqui	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc		LC				LC										
Peliperdix albogularis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Peliperdix schlegelii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Peliperdix lathami	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Dendroperdix sephaena	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Scleroptila streptophora	NT	NT	NT	LC	LR/lc	LR/lc	LR/lc											NT					
Scleroptila finschi	LC	LC	LC	LC	LR/lc	LR/lc	NT						LC										
Scleroptila afra	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Scleroptila levaillantii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Scleroptila gutturalis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Ptilopachus nahani	EN	EN	EN	EN	EN	DD	T		VU	DD									EN				
Pternistis hartlaubi	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pternistis bicalcaratus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pternistis clappertoni	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pternistis icterorhynchus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pternistis harwoodi	VU	VU	VU	VU	VU	VU	NT	NT		VU													
Pternistis adspersus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pternistis capensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Pternistis hildebrandti	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Pternistis natalensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pternistis ahantensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pternistis squamatus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pternistis griseostriatus	LC	LC	NT	VU	VU	VU	NT			VU		LC			NT		NT						
Pternistis leucoscepus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pternistis rufopictus	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pternistis afer	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Pternistis swainsonii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pternistis erckelii	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
Pternistis ochropectus	CR	CR	CR	CR	CR	CR	T	CR		CR	CR	CR	CR		CR	CR							
Pternistis nobilis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC				LC						
Pternistis jacksoni	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Pternistis camerunensis	EN	EN	EN	EN	EN	VU	T			VU													
Pternistis swierstrai	EN	EN	VU	VU	VU	VU	T			VU						EN							
Xenoperdix udzungwensis	EN	EN	EN	EN	VU	EN	NR			EN								EN					
Perdix perdix	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc				LC		LC										
Perdix dauurica	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Perdix hodgsoniae	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc						LC										
Margaroperdix madagarensis	LC	LC	LC	LC	LR/lc	LR/lc	LR/lc	LC					LC										
