status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
VU->CR	0.00180184	0.00081305	0.00138120	0.00074296	0.00119498	0.00104345	0.00140021	0.00110285	0.00062166	0.00093827	0.00118120	0.00155583	0.00090342	0.00126576	0.00141160	0.00141924	0.00153333	0.00168625	0.00111468	0.00080521	0.00072062	0.00157433	0.00063503	0.00104387	0.00171243	0.00102326	0.00104132	0.00078340	0.00072393	0.00159454	0.00162670	0.00099135	0.00108179	0.00109323	0.00132625	0.00170741	0.00124816	0.00056645	0.00148972	0.00113991	0.00072171	0.00157917	0.00069038	0.00155069	0.00071476	0.00163861	0.00223095	0.00114055	0.00206220	0.00071894	0.00060496	0.00108592	0.00071523	0.00097925	0.00058409	0.00111185	0.00078813	0.00097056	0.00122477	0.00154134	0.00136495	0.00076515	0.00063295	0.00068492	0.00169171	0.00115865	0.00163247	0.00095425	0.00081462	0.00153506	0.00178977	0.00094236	0.00081960	0.00172593	0.00087302	0.00064000	0.00153745	0.00099352	0.00194019	0.00145709	0.00118472	0.00083366	0.00148796	0.00165858	0.00156020	0.00065726	0.00105622	0.00182156	0.00154938	0.00108919	0.00098210	0.00122070	0.00154502	0.00103287	0.00117766	0.00109149	0.00062253	0.00153674	0.00168339	0.00100510
VU->DD	0.00540979	0.00386467	0.00417678	0.00511936	0.00339698	0.00439230	0.00477223	0.00326258	0.00498717	0.00512254	0.00356690	0.00620876	0.00499573	0.00282976	0.00382371	0.00520908	0.00320312	0.00399804	0.00431811	0.00462981	0.00466340	0.00395298	0.00338014	0.00502997	0.00511180	0.00540022	0.00506847	0.00441408	0.00371509	0.00453587	0.00442396	0.00477382	0.00377919	0.00413780	0.00491498	0.00383455	0.00429184	0.00342454	0.00274411	0.00477698	0.00507405	0.00513305	0.00498195	0.00436382	0.00369151	0.00537185	0.00531465	0.00541593	0.00439892	0.00455816	0.00378885	0.00416779	0.00636431	0.00422290	0.00537283	0.00388230	0.00387532	0.00341334	0.00518574	0.00438541	0.00397462	0.00366951	0.00497960	0.00437265	0.00501515	0.00553131	0.00494143	0.00408832	0.00448272	0.00419500	0.00358784	0.00340016	0.00264983	0.00465555	0.00429927	0.00387592	0.00370144	0.00469118	0.00432347	0.00430628	0.00410202	0.00470508	0.00446481	0.00464657	0.00478907	0.00479253	0.00407925	0.00411223	0.00438246	0.00434257	0.00454263	0.00374221	0.00595794	0.00421919	0.00363298	0.00267940	0.00459734	0.00365450	0.00492449	0.00473420
EN->LC	0.00176410	0.00109772	0.00200550	0.00095248	0.00093110	0.00122115	0.00099636	0.00154576	0.00112358	0.00138351	0.00149930	0.00095862	0.00123095	0.00130652	0.00038885	0.00090950	0.00130589	0.00147712	0.00127762	0.00086031	0.00130367	0.00096599	0.00122232	0.00107274	0.00136318	0.00149587	0.00072828	0.00082122	0.00109964	0.00082525	0.00094994	0.00131720	0.00130302	0.00104210	0.00107223	0.00053808	0.00113860	0.00107705	0.00103337	0.00099707	0.00093579	0.00097034	0.00076356	0.00095909	0.00100033	0.00133319	0.00073865	0.00182909	0.00081583	0.00075306	0.00085274	0.00111629	0.00059938	0.00151220	0.00136333	0.00130540	0.00170046	0.00088436	0.00122654	0.00132664	0.00202234	0.00116533	0.00036145	0.00214820	0.00095566	0.00092549	0.00069873	0.00080759	0.00066328	0.00108441	0.00106450	0.00101151	0.00077984	0.00076261	0.00052844	0.00113623	0.00092186	0.00072860	0.00150618	0.00055857	0.00052220	0.00068620	0.00114730	0.00073300	0.00058447	0.00104634	0.00181036	0.00102768	0.00169276	0.00068895	0.00079914	0.00159154	0.00064485	0.00066809	0.00093382	0.00092242	0.00086844	0.00100281	0.00097017	0.00106172
EN->NT	0.00281046	0.00233765	0.00299503	0.00201695	0.00348210	0.00314131	0.00272870	0.00218486	0.00291809	0.00263729	0.00169314	0.00245631	0.00251084	0.00150221	0.00193284	0.00289741	0.00221042	0.00274457	0.00247459	0.00194734	0.00173164	0.00259828	0.00197602	0.00266086	0.00212450	0.00271668	0.00289100	0.00174837	0.00402736	0.00174052	0.00202186	0.00198528	0.00152218	0.00316057	0.00232068	0.00349249	0.00239553	0.00172867	0.00263355	0.00280886	0.00160020	0.00263316	0.00248792	0.00321003	0.00227566	0.00220489	0.00210064	0.00179342	0.00398928	0.00194170	0.00209280	0.00231004	0.00196244	0.00297080	0.00219183	0.00270110	0.00215404	0.00276420	0.00221360	0.00217367	0.00240755	0.00238868	0.00271210	0.00150856	0.00305619	0.00164026	0.00238269	0.00286557	0.00206036	0.00203981	0.00200619	0.00182933	0.00242380	0.00213819	0.00230918	0.00219258	0.00260101	0.00235055	0.00209049	0.00235832	0.00241016	0.00140724	0.00155039	0.00277175	0.00356134	0.00212258	0.00197004	0.00196865	0.00151786	0.00259924	0.00264970	0.00316190	0.00154344	0.00181809	0.00204713	0.00210291	0.00317714	0.00223271	0.00252424	0.00187354
EN->VU	0.01196491	0.01275463	0.01441541	0.01234311	0.01375621	0.01209395	0.01157257	0.01178824	0.01227957	0.01148402	0.01243865	0.01059365	0.01111079	0.01166581	0.01189593	0.01208914	0.01167901	0.01282528	0.01283085	0.01016667	0.01174869	0.01391135	0.01137490	0.01044545	0.01031496	0.01160964	0.01069563	0.00984622	0.01112633	0.01279805	0.01149851	0.01118763	0.01273028	0.01405915	0.01069798	0.01166406	0.01448977	0.01183762	0.00947302	0.01173296	0.01254746	0.01149367	0.01310870	0.01456383	0.01124394	0.01086003	0.01207590	0.01170330	0.01141556	0.01165448	0.01254415	0.01285773	0.01384516	0.01207020	0.01036183	0.01298658	0.01115241	0.01151543	0.01358570	0.00948094	0.01027277	0.01044700	0.01127535	0.01317828	0.00867314	0.01081338	0.01314416	0.01006967	0.01272577	0.01120179	0.01066731	0.01173629	0.01385918	0.01172777	0.01271573	0.01167083	0.01349183	0.01079890	0.01366586	0.01171808	0.01214275	0.01173455	0.01159609	0.00926285	0.01245150	0.00967607	0.01050093	0.01256416	0.01261703	0.01124479	0.01031002	0.01210917	0.01124166	0.01209860	0.01357796	0.00965891	0.01204687	0.01077357	0.01207374	0.01089620
EN->CR	0.00623041	0.00595688	0.00476548	0.00530689	0.00681750	0.00708786	0.00531682	0.00531321	0.00649543	0.00611689	0.00677747	0.00702516	0.00446039	0.00473038	0.00639529	0.00635490	0.00581453	0.00644088	0.00639903	0.00512982	0.00764618	0.00588602	0.00487742	0.00552848	0.00568422	0.00570760	0.00520353	0.00671993	0.00698222	0.00605066	0.00541523	0.00659655	0.00613473	0.00656192	0.00560434	0.00648945	0.00684160	0.00649958	0.00404912	0.00657872	0.00515423	0.00521910	0.00600671	0.00598928	0.00621485	0.00641376	0.00596873	0.00595603	0.00605370	0.00598939	0.00702289	0.00525997	0.00444176	0.00543712	0.00539904	0.00642269	0.00610343	0.00646213	0.00541786	0.00716020	0.00466245	0.00679711	0.00598131	0.00614970	0.00533362	0.00642332	0.00533756	0.00530725	0.00594473	0.00503712	0.00439575	0.00503991	0.00466782	0.00603331	0.00472556	0.00498745	0.00556094	0.00638500	0.00648426	0.00600861	0.00545284	0.00567711	0.00640784	0.00605058	0.00439759	0.00609187	0.00511286	0.00747503	0.00700800	0.00528225	0.00647116	0.00621443	0.00712080	0.00827923	0.00521595	0.00512968	0.00593429	0.00626468	0.00624220	0.00482919
EN->DD	0.00160921	0.00082807	0.00151985	0.00081638	0.00124747	0.00104015	0.00064244	0.00091988	0.00106928	0.00105584	0.00082708	0.00046798	0.00100941	0.00132581	0.00141178	0.00094950	0.00158668	0.00197358	0.00101469	0.00100590	0.00154268	0.00098127	0.00142241	0.00089760	0.00158042	0.00121530	0.00062608	0.00072970	0.00100461	0.00086454	0.00210356	0.00082014	0.00097552	0.00089380	0.00140293	0.00102578	0.00085881	0.00076171	0.00075297	0.00160977	0.00102158	0.00066207	0.00057293	0.00078263	0.00146801	0.00156276	0.00078395	0.00056018	0.00079860	0.00130389	0.00138249	0.00083372	0.00082838	0.00186176	0.00120193	0.00065173	0.00091663	0.00104321	0.00220668	0.00161822	0.00101176	0.00136113	0.00108689	0.00078085	0.00133522	0.00077854	0.00059905	0.00101460	0.00082567	0.00112199	0.00120108	0.00064664	0.00098454	0.00093142	0.00129005	0.00124224	0.00152496	0.00083740	0.00112899	0.00058463	0.00129749	0.00158678	0.00110384	0.00133894	0.00138458	0.00155297	0.00076701	0.00035145	0.00115140	0.00051026	0.00169678	0.00070927	0.00118431	0.00220551	0.00113359	0.00076921	0.00092535	0.00079881	0.00069774	0.00081578
CR->LC	0.00047596	0.00007241	0.00039353	0.00074356	0.00007928	0.00059719	0.00077638	0.00093126	0.00022439	0.00028309	0.00023177	0.00009667	0.00000124	0.00013934	0.00004530	0.00023231	0.00107786	0.00025109	0.00026626	0.00037672	0.00026206	0.00000044	0.00006187	0.00011773	0.00001522	0.00091420	0.00045052	0.00043364	0.00027508	0.00052347	0.00022523	0.00026280	0.00116574	0.00014319	0.00042414	0.00012426	0.00013660	0.00021986	0.00035424	0.00080099	0.00001828	0.00003512	0.00015433	0.00074542	0.00025975	0.00000517	0.00048915	0.00006369	0.00081709	0.00017387	0.00057111	0.00000826	0.00004342	0.00082413	0.00021154	0.00035865	0.00023359	0.00074663	0.00007997	0.00001532	0.00051110	0.00008487	0.00106470	0.00063900	0.00133059	0.00022583	0.00093079	0.00049171	0.00010668	0.00004064	0.00000221	0.00044716	0.00002061	0.00091753	0.00105392	0.00032656	0.00001986	0.00016108	0.00009111	0.00032748	0.00003929	0.00029711	0.00014400	0.00009854	0.00010236	0.00009687	0.00110133	0.00007410	0.00043817	0.00016482	0.00088278	0.00044136	0.00007920	0.00052624	0.00025977	0.00073930	0.00023073	0.00001169	0.00038598	0.00022378
CR->NT	0.00096353	0.00022481	0.00014224	0.00013714	0.00088628	0.00285906	0.00145177	0.00032161	0.00097760	0.00045214	0.00028154	0.00013923	0.00060255	0.00165844	0.00100961	0.00025627	0.00033031	0.00178464	0.00067143	0.00133657	0.00204673	0.00080353	0.00038370	0.00047602	0.00028836	0.00041979	0.00087253	0.00079405	0.00093178	0.00066369	0.00083362	0.00042952	0.00044181	0.00112292	0.00023350	0.00019702	0.00046228	0.00062270	0.00068088	0.00009483	0.00066758	0.00032789	0.00239081	0.00058401	0.00007010	0.00017727	0.00029249	0.00009633	0.00131481	0.00030778	0.00064380	0.00145039	0.00011869	0.00033471	0.00038264	0.00089249	0.00051565	0.00137141	0.00132660	0.00021796	0.00028633	0.00031548	0.00016420	0.00019604	0.00093916	0.00018437	0.00135584	0.00026796	0.00090617	0.00077035	0.00088947	0.00024893	0.00137756	0.00073816	0.00037649	0.00065234	0.00117834	0.00057803	0.00037926	0.00012804	0.00050607	0.00032821	0.00034574	0.00015238	0.00089743	0.00034528	0.00106902	0.00056752	0.00289840	0.00047852	0.00064276	0.00099961	0.00039405	0.00043127	0.00043628	0.00026882	0.00079197	0.00108704	0.00165368	0.00137257
CR->VU	0.00114451	0.00284491	0.00165948	0.00143693	0.00180234	0.00260178	0.00393445	0.00234051	0.00441924	0.00193998	0.00219440	0.00153909	0.00159694	0.00158775	0.00203827	0.00338075	0.00227621	0.00363386	0.00215392	0.00121423	0.00159544	0.00325236	0.00129972	0.00395080	0.00284198	0.00262704	0.00418046	0.00287494	0.00116187	0.00238740	0.00175737	0.00182454	0.00262057	0.00245294	0.00449487	0.00195354	0.00193774	0.00327220	0.00128600	0.00262415	0.00315818	0.00103120	0.00317012	0.00223218	0.00111368	0.00362755	0.00206136	0.00315494	0.00315339	0.00116952	0.00120204	0.00135652	0.00372204	0.00043231	0.00153396	0.00166041	0.00197354	0.00217277	0.00146695	0.00348699	0.00239591	0.00104534	0.00143960	0.00199178	0.00468672	0.00264716	0.00180843	0.00331521	0.00261623	0.00193593	0.00289481	0.00113720	0.00353751	0.00219834	0.00333317	0.00164088	0.00116733	0.00153302	0.00181632	0.00234832	0.00261557	0.00132331	0.00225812	0.00281573	0.00251631	0.00171716	0.00233366	0.00235557	0.00207548	0.00346066	0.00409916	0.00193802	0.00244926	0.00236123	0.00275476	0.00203886	0.00145908	0.00240838	0.00202482	0.00246864
