species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Genetta tigrina	0.000409145	0.000052507	0.000831782	0.030000000
Genetta victoriae	0.000503545	0.000105239	0.000929590	0.040000000
Gulo gulo	0.000308019	0.000056464	0.000659184	0.020000000
Halichoerus grypus	0.000122041	0.000000147	0.000345335	0.000000000
Halichoerus grypus	0.000229060	0.000016270	0.000537465	0.010000000
Helarctos malayanus	0.001594620	0.000842268	0.002421568	0.140000000
Helogale hirtula	0.000399448	0.000054410	0.000781106	0.030000000
Helogale parvula	0.000434624	0.000069944	0.000828964	0.030000000
Hemigalus derbyanus	0.001143576	0.000526893	0.001832519	0.100000000
Herpailurus yagouaroundi	0.000388439	0.000080301	0.000771201	0.030000000
Herpestes auropunctatus	0.000409927	0.000090555	0.000813742	0.030000000
Herpestes brachyurus	0.000811123	0.000319880	0.001404639	0.070000000
Herpestes edwardsii	0.000404068	0.000078983	0.000784022	0.030000000
Herpestes flavescens	0.000211248	0.000006121	0.000511691	0.010000000
Herpestes fuscus	0.000697960	0.000226896	0.001220141	0.060000000
Herpestes ichneumon	0.000211198	0.000026719	0.000494620	0.010000000
Herpestes javanicus	0.000293095	0.000026876	0.000640225	0.020000000
Herpestes naso	0.000320662	0.000050040	0.000662181	0.020000000
Herpestes ochraceus	0.000229761	0.000020663	0.000516948	0.010000000
Herpestes pulverulentus	0.000306713	0.000030302	0.000673512	0.020000000
Herpestes sanguineus	0.000208989	0.000008933	0.000485511	0.010000000
Herpestes semitorquatus	0.001022308	0.000447771	0.001646947	0.090000000
Herpestes smithii	0.000391057	0.000064169	0.000772431	0.030000000
Herpestes urva	0.000437400	0.000091138	0.000846982	0.030000000
Herpestes vitticollis	0.000398581	0.000095493	0.000766257	0.030000000
Histriophoca fasciata	0.000294048	0.000025663	0.000644698	0.020000000
Hyaena hyaena	0.000837449	0.000342729	0.001405814	0.070000000
Hydrictis maculicollis	0.001285715	0.000629496	0.002088901	0.110000000
Hydrurga leptonyx	0.000314723	0.000058727	0.000640354	0.020000000
Ichneumia albicauda	0.000208529	0.000009279	0.000491748	0.010000000
Ictonyx libycus	0.000294163	0.000023722	0.000609578	0.020000000
Ictonyx striatus	0.000424476	0.000100740	0.000838256	0.030000000
Leopardus colocolo	0.000699402	0.000244169	0.001204276	0.060000000
Leopardus geoffroyi	0.000384321	0.000073538	0.000739088	0.030000000
Leopardus guigna	0.001577196	0.000823117	0.002418780	0.140000000
Leopardus guttulus	0.001701340	0.000897702	0.002562849	0.150000000
Leopardus jacobita	0.007328952	0.005416985	0.009391937	0.500000000
Leopardus pardalis	0.000302602	0.000036433	0.000617306	0.020000000
Leopardus tigrinus	0.001444610	0.000737626	0.002230098	0.130000000
Leopardus wiedii	0.000933301	0.000390866	0.001593752	0.080000000
Leptailurus serval	0.000219831	0.000008058	0.000494822	0.010000000
Leptonychotes weddellii	0.000374833	0.000066538	0.000779114	0.030000000
Liberiictis kuhni	0.003239966	0.002151222	0.004447949	0.280000000
Lobodon carcinophaga	0.000086429	0.000000069	0.000268941	0.000000000
Lontra canadensis	0.000294905	0.000040416	0.000633553	0.020000000
