species	rate_e_mean	rate_e_lower	rate_e_upper
All taxa combined	0.00121030	0.00120932	0.00121110
Abditomys latidens	0.00200680	0.00191357	0.00209833
Abeomelomys sevia	0.00020835	0.00018053	0.00023660
Abrawayaomys chebezi	0.00176901	0.00168245	0.00185480
Abrawayaomys ruschii	0.00018624	0.00016015	0.00021352
Abrocoma bennettii	0.00018845	0.00016297	0.00021649
Abrocoma boliviensis	0.02191112	0.02144284	0.02237425
Abrocoma budini	0.00194877	0.00185944	0.00204054
Abrocoma cinerea	0.00019221	0.00016608	0.00022089
Abrocoma famatina	0.00196631	0.00187868	0.00206297
Abrocoma shistacea	0.00020442	0.00017670	0.00023308
Abrocoma uspallata	0.00188770	0.00179812	0.00197565
Abrocoma vaccarum	0.00196117	0.00187007	0.00204997
Abrothrix andinus	0.00019938	0.00017301	0.00022790
Abrothrix illutea	0.00020836	0.00018101	0.00023769
Abrothrix jelskii	0.00021129	0.00018438	0.00024074
Abrothrix lanosus	0.00019933	0.00017287	0.00022776
Abrothrix longipilis	0.00023202	0.00020194	0.00026100
Abrothrix olivaceus	0.00020836	0.00017909	0.00023551
Abrothrix sanborni	0.00109112	0.00102262	0.00115647
Acerodon celebensis	0.00155430	0.00147442	0.00163576
Acerodon humilis	0.00358847	0.00345789	0.00371636
Acerodon jubatus	0.00323354	0.00311525	0.00335267
Acerodon leucotis	0.00152690	0.00144313	0.00160198
Acerodon mackloti	0.00150062	0.00141556	0.00157417
Acinonyx jubatus	0.00156962	0.00149159	0.00165318
Acomys airensis	0.00022851	0.00019984	0.00025914
Acomys cahirinus	0.00022383	0.00019527	0.00025468
Acomys cilicicus	0.00201630	0.00192341	0.00210977
Acomys cineraceus	0.00021155	0.00018308	0.00024046
Acomys dimidiatus	0.00020630	0.00017913	0.00023546
Acomys ignitus	0.00020232	0.00017465	0.00022987
Acomys johannis	0.00021654	0.00018656	0.00024450
Acomys kempi	0.00023176	0.00020357	0.00026275
Acomys louisae	0.00018537	0.00015826	0.00021145
Acomys minous	0.00204931	0.00195448	0.00214177
Acomys mullah	0.00022078	0.00019161	0.00024958
Acomys muzei	0.00019970	0.00017305	0.00022820
Acomys nesiotes	0.00202340	0.00193070	0.00211382
Acomys ngurui	0.00020324	0.00017531	0.00023140
Acomys percivali	0.00020026	0.00017236	0.00022781
Acomys russatus	0.00018230	0.00015615	0.00020862
Acomys selousi	0.00018404	0.00015673	0.00021031
Acomys seurati	0.00021263	0.00018576	0.00024318
Acomys spinosissimus	0.00018365	0.00015804	0.00021072
Acomys wilsoni	0.00018012	0.00015330	0.00020560
Aconaemys fuscus	0.00019407	0.00016629	0.00022152
Aconaemys porteri	0.00193426	0.00184358	0.00202578
Aconaemys sagei	0.00204984	0.00195669	0.00214365
Acrobates pygmaeus	0.00020038	0.00017374	0.00022980
Addax nasomaculatus	0.00862570	0.00839499	0.00884390
Aegialomys galapagoensis	0.00232236	0.00222296	0.00242034
Aegialomys xanthaeolus	0.00022487	0.00019628	0.00025564
Aepeomys lugens	0.00022565	0.00019670	0.00025572
Aepeomys reigi	0.00237160	0.00226945	0.00247059
Aepyceros melampus	0.00013779	0.00011546	0.00016147
Aepyprymnus rufescens	0.00020889	0.00018035	0.00023667
Aeretes melanopterus	0.00096024	0.00089786	0.00102034
Aeromys tephromelas	0.00166397	0.00157850	0.00174718
Aeromys thomasi	0.00015881	0.00013397	0.00018338
Aethalops aequalis	0.00021261	0.00018459	0.00024142
Aethalops alecto	0.00018615	0.00015963	0.00021255
Aethomys bocagei	0.00022234	0.00019366	0.00025173
Aethomys chrysophilus	0.00020565	0.00017740	0.00023340
Aethomys hindei	0.00023797	0.00020867	0.00026892
Aethomys ineptus	0.00017521	0.00014950	0.00020107
Aethomys kaiseri	0.00022702	0.00019832	0.00025647
Aethomys nyikae	0.00022672	0.00019676	0.00025586
Aethomys silindensis	0.00200489	0.00191283	0.00209597
Aethomys stannarius	0.00204824	0.00195487	0.00213806
Aethomys thomasi	0.00018616	0.00016066	0.00021425
Ailuropoda melanoleuca	0.00107458	0.00100865	0.00114070
Ailurops melanotis	0.01525150	0.01488786	0.01558884
Ailurops ursinus	0.00176983	0.00168627	0.00185750
Ailurus fulgens	0.00439456	0.00424773	0.00453578
Akodon aerosus	0.00020153	0.00017340	0.00022894
Akodon affinis	0.00020142	0.00017444	0.00023030
Akodon albiventer	0.00022208	0.00019381	0.00025273
Akodon azarae	0.00023862	0.00020908	0.00026976
Akodon boliviensis	0.00022745	0.00019920	0.00025734
Akodon budini	0.00019244	0.00016537	0.00021905
Akodon caenosus	0.00174719	0.00166174	0.00183577
Akodon cursor	0.00019222	0.00016528	0.00022003
Akodon dayi	0.00022860	0.00019838	0.00025746
Akodon dolores	0.00024139	0.00021251	0.00027363
Akodon fumeus	0.00020840	0.00018088	0.00023663
Akodon iniscatus	0.00019848	0.00017177	0.00022746
Akodon juninensis	0.00019436	0.00016694	0.00022109
Akodon kofordi	0.00022486	0.00019651	0.00025422
Akodon lindberghi	0.00201996	0.00192987	0.00211500
Akodon lutescens	0.00021140	0.00018328	0.00023994
Akodon mimus	0.00022652	0.00019608	0.00025467
Akodon molinae	0.00019821	0.00017158	0.00022599
Akodon mollis	0.00020114	0.00017383	0.00022921
Akodon montensis	0.00020198	0.00017411	0.00022940
Akodon mystax	0.00209791	0.00200442	0.00219275
Akodon orophilus	0.00020137	0.00017419	0.00023066
Akodon paranaensis	0.00019775	0.00016985	0.00022471
Akodon pervalens	0.00202179	0.00192981	0.00211702
Akodon philipmyersi	0.00204111	0.00194736	0.00213278
Akodon polopi	0.00017289	0.00014757	0.00019855
Akodon reigi	0.00021977	0.00019099	0.00024954
Akodon sanctipaulensis	0.00206527	0.00196719	0.00215381
Akodon serrensis	0.00022101	0.00019083	0.00024935
Akodon siberiae	0.00100811	0.00094315	0.00107034
Akodon simulator	0.00020960	0.00018218	0.00023898
Akodon spegazzinii	0.00020556	0.00017792	0.00023448
Akodon subfuscus	0.00021666	0.00018898	0.00024629
Akodon surdus	0.00227240	0.00217161	0.00236717
Akodon sylvanus	0.00019826	0.00017169	0.00022669
Akodon toba	0.00024200	0.00021126	0.00027242
Akodon torques	0.00018524	0.00015997	0.00021357
Akodon varius	0.00201011	0.00191553	0.00209978
Alcelaphus buselaphus	0.00012937	0.00010752	0.00015162
Alces alces	0.00012753	0.00010635	0.00015109
Alionycteris paucidentata	0.00019036	0.00016198	0.00021621
Allactaga balikunica	0.00020780	0.00017883	0.00023503
Allactaga bullata	0.00022463	0.00019540	0.00025431
Allactaga elater	0.00020776	0.00018055	0.00023733
Allactaga euphratica	0.00020636	0.00017816	0.00023378
Allactaga firouzi	0.00202232	0.00192990	0.00211696
Allactaga hotsoni	0.00019727	0.00017129	0.00022677
Allactaga major	0.00020132	0.00017311	0.00022879
Allactaga severtzovi	0.00019618	0.00016917	0.00022403
Allactaga sibirica	0.00022590	0.00019641	0.00025458
