species	simulated_ext_prob_in_100_years
Antechinus adustus	0.02000000
Antechinus agilis	0.02300000
Antechinus bellus	0.21000000
Antechinus flavipes	0.02360000
Antechinus godmani	0.02230000
Antechinus leo	0.01960000
Antechinus minimus	0.01970000
Antechinus stuartii	0.02140000
Antechinus subtropicus	0.01930000
Antechinus swainsonii	0.02030000
Anthops ornatus	0.15230000
Antidorcas marsupialis	0.01260000
Antilocapra americana	0.02020000
Antilope cervicapra	0.01260000
Antrozous pallidus	0.01950000
Aonyx capensis	0.09130000
Aonyx cinereus	0.18050000
Aonyx congicus	0.07630000
Aotus azarae	0.01230000
Aotus brumbacki	0.12800000
Aotus griseimembra	0.13180000
Aotus jorgehernandezi	0.11750000
Aotus lemurinus	0.12980000
Aotus miconax	0.26170000
Aotus nancymaae	0.12700000
Aotus nigriceps	0.01240000
Aotus trivirgatus	0.01280000
Aotus vociferans	0.00910000
Aotus zonalis	0.10690000
Aplodontia rufa	0.02050000
Apodemus agrarius	0.02130000
Apodemus alpicola	0.02060000
Apodemus argenteus	0.02010000
Apodemus avicennicus	0.18930000
Apodemus chevrieri	0.02200000
Apodemus draco	0.02140000
Apodemus epimelas	0.02050000
Apodemus flavicollis	0.02120000
Apodemus gurkha	0.02040000
Apodemus hyrcanicus	0.10480000
Apodemus latronum	0.01950000
Apodemus mystacinus	0.01840000
Apodemus pallipes	0.01960000
Apodemus peninsulae	0.02100000
Apodemus ponticus	0.02110000
Apodemus rusiges	0.02100000
Apodemus semotus	0.02090000
Apodemus speciosus	0.01860000
Apodemus sylvaticus	0.01730000
Apodemus uralensis	0.02350000
Apodemus witherbyi	0.02160000
Apomys abrae	0.01830000
Apomys aurorae	0.01690000
Apomys banahao	0.01790000
Apomys brownorum	0.16620000
Apomys camiguinensis	0.21110000
Apomys datae	0.02030000
Apomys gracilirostris	0.02140000
Apomys hylocetes	0.02160000
Apomys insignis	0.02010000
Apomys iridensis	0.01720000
Apomys littoralis	0.18400000
Apomys lubangensis	0.01690000
Apomys magnus	0.01730000
Apomys microdon	0.02090000
Apomys minganensis	0.01720000
Apomys musculus	0.02290000
Apomys sacobianus	0.02230000
Apomys sierrae	0.01770000
Apomys zambalensis	0.01820000
Aproteles bulmerae	0.69910000
Arabitragus jayakari	0.36240000
Arborimus albipes	0.02150000
Arborimus longicaudus	0.10150000
Arborimus pomo	0.10500000
Archboldomys luzonensis	0.20200000
Archboldomys maximus	0.16450000
Arctictis binturong	0.13350000
Arctocebus aureus	0.01680000
Arctocebus calabarensis	0.09130000
Arctocephalus australis	0.11250000
Arctocephalus forsteri	0.01430000
Arctocephalus galapagoensis	0.28380000
Arctocephalus gazella	0.00930000
Arctocephalus philippii	0.01010000
Arctocephalus pusillus	0.01170000
Arctocephalus townsendi	0.01160000
Arctocephalus tropicalis	0.01020000
Arctogalidia trivirgata	0.01400000
Arctonyx albogularis	0.01640000
Arctonyx collaris	0.17940000
Arctonyx hoevenii	0.01710000
Ardops nichollsi	0.01920000
Arielulus aureocollaris	0.01610000
Arielulus circumdatus	0.01570000
Arielulus cuprosus	0.18760000
Arielulus societatis	0.18720000
Arielulus torquatus	0.01860000
Ariteus flavescens	0.01840000
Artibeus aequatorialis	0.01660000
Artibeus amplus	0.01640000
Artibeus concolor	0.01910000
Artibeus fimbriatus	0.01500000
Artibeus fraterculus	0.01750000
Artibeus hirsutus	0.01720000
Artibeus inopinatus	0.15690000
Artibeus jamaicensis	0.01850000
Artibeus lituratus	0.01670000
Artibeus obscurus	0.01780000
Artibeus planirostris	0.01580000
Artibeus schwartzi	0.15060000
Arvicanthis abyssinicus	0.02220000
Arvicanthis ansorgei	0.01900000
Arvicanthis blicki	0.10160000
Arvicanthis nairobae	0.01960000
Arvicanthis neumanni	0.02200000
Arvicanthis niloticus	0.01970000
Arvicanthis rufinus	0.02290000
Arvicola amphibius	0.02040000
Arvicola sapidus	0.20220000
Arvicola scherman	0.02120000
Asellia arabica	0.16710000
Asellia italosomalica	0.16490000
Asellia patrizii	0.01750000
Asellia tridens	0.01790000
Aselliscus stoliczkanus	0.01760000
Aselliscus tricuspidatus	0.01790000
Atelerix albiventris	0.01960000
Atelerix algirus	0.01990000
Atelerix frontalis	0.02050000
Atelerix sclateri	0.01950000
Ateles belzebuth	0.20510000
Ateles chamek	0.19280000
Ateles fusciceps	0.45180000
Ateles geoffroyi	0.18560000
Ateles hybridus	0.41610000
Ateles marginatus	0.20220000
Ateles paniscus	0.09990000
Atelocynus microtis	0.10180000
Atherurus africanus	0.01810000
