species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_10000_years
Neotoma palatina	0.030711119	0.000032327	0.117718861	1.000000000
Neotoma phenax	0.009598493	0.000122663	0.035555488	1.000000000
Neotoma stephensi	0.008451850	0.000207941	0.023358526	1.000000000
Neotomodon alstoni	0.005018459	0.000117146	0.015444335	1.000000000
Neotomys ebriosus	0.004461721	0.000069188	0.015840203	1.000000000
Neotragus batesi	0.005866570	0.000136402	0.018252359	1.000000000
Neotragus pygmaeus	0.006612791	0.000229942	0.023975990	1.000000000
Neovison vison	0.004453509	0.000282878	0.014395430	1.000000000
Nephelomys albigularis	0.005838293	0.000265579	0.021050487	1.000000000
Nephelomys auriventer	0.004411995	0.000062996	0.016349582	1.000000000
Nephelomys caracolus	0.004998686	0.000054272	0.018611752	1.000000000
Nephelomys devius	0.003743029	0.000017164	0.012254034	1.000000000
Nephelomys keaysi	0.005500685	0.000050659	0.020563508	1.000000000
Nephelomys levipes	0.005125100	0.000108853	0.017727178	1.000000000
Nephelomys meridensis	0.004751930	0.000110586	0.016876866	1.000000000
Nesokia bunnii	0.059699777	0.000126549	0.282841302	1.000000000
Nesokia indica	0.004557169	0.000170849	0.015101437	1.000000000
Nesolagus netscheri	0.048118782	0.000279032	0.229436526	1.000000000
Nesolagus timminsi	0.047985933	0.000616763	0.204301323	1.000000000
Nesomys audeberti	0.005837882	0.000099887	0.021741913	1.000000000
Nesomys lambertoni	0.042625898	0.000070681	0.183162320	1.000000000
Nesomys rufus	0.005019260	0.000039216	0.015442685	1.000000000
Nesoromys ceramicus	0.048694421	0.000323431	0.198172110	1.000000000
Nesoryzomys fernandinae	0.026946882	0.000018627	0.104795167	1.000000000
Nesoryzomys narboroughi	0.024062911	0.000095380	0.095556313	1.000000000
Nesoryzomys swarthi	0.018565346	0.000418759	0.070103824	1.000000000
Nesotragus moschatus	0.004724494	0.000039980	0.016369700	1.000000000
Neurotrichus gibbsii	0.004466272	0.000054162	0.014899792	1.000000000
Neusticomys ferreirai	0.032546810	0.000067829	0.139396331	1.000000000
Neusticomys monticolus	0.004850189	0.000048844	0.016242944	1.000000000
Neusticomys mussoi	0.024989825	0.000116413	0.079020304	1.000000000
Neusticomys oyapocki	0.031634110	0.000006442	0.125711069	1.000000000
Neusticomys peruviensis	0.003838463	0.000318193	0.012813658	1.000000000
Neusticomys venezuelae	0.015386153	0.000085261	0.064198155	1.000000000
Nilgiritragus hylocrius	0.030939927	0.000094845	0.129529235	1.000000000
Nilopegamys plumbeus	0.176735413	0.000200005	0.736213894	1.000000000
Ningaui ridei	0.006446009	0.000081386	0.021713471	1.000000000
Ningaui timealeyi	0.005220904	0.000136500	0.017499119	1.000000000
Ningaui yvonneae	0.004543513	0.000053389	0.014102008	1.000000000
Niviventer andersoni	0.007070679	0.000043824	0.021984285	1.000000000
Niviventer brahma	0.005583745	0.000305571	0.020546783	1.000000000
Niviventer cameroni	0.018792555	0.000139532	0.070769018	1.000000000
Niviventer confucianus	0.004854412	0.000251661	0.016458448	1.000000000
Niviventer coninga	0.005515528	0.000076486	0.019594660	1.000000000
Niviventer cremoriventer	0.005342985	0.000101296	0.018039844	1.000000000
Niviventer culturatus	0.005280239	0.000057088	0.017630046	1.000000000
Niviventer eha	0.005652571	0.000011602	0.017789943	1.000000000
Niviventer excelsior	0.005660747	0.000076897	0.017030295	1.000000000
Niviventer fraternus	0.005528180	0.000036013	0.018470379	1.000000000
Niviventer fulvescens	0.004161809	0.000090772	0.013220317	1.000000000
Niviventer hinpoon	0.040429727	0.000333177	0.162222022	1.000000000
Niviventer langbianis	0.005186637	0.000214889	0.017180846	1.000000000
Niviventer lepturus	0.005807031	0.000023079	0.021393796	1.000000000
Niviventer niviventer	0.004784117	0.000319082	0.016198189	1.000000000
Niviventer rapit	0.005292091	0.000027436	0.017187885	1.000000000
Niviventer tenaster	0.003911464	0.000030877	0.013804125	1.000000000
Noctilio albiventris	0.004978873	0.000015534	0.017948477	1.000000000
Noctilio leporinus	0.005855322	0.000042664	0.022469231	1.000000000
Nomascus concolor	0.044444812	0.000037980	0.202614968	1.000000000
Nomascus gabriellae	0.030758940	0.000112470	0.088578373	1.000000000
Nomascus hainanus	0.044489672	0.000028362	0.216657315	1.000000000
Nomascus leucogenys	0.030072205	0.000059501	0.112531654	1.000000000
Nomascus nasutus	0.043299365	0.000120024	0.196819083	1.000000000
Nomascus siki	0.018718749	0.000194162	0.073330554	1.000000000
Notiomys edwardsii	0.005089911	0.000051582	0.018589265	1.000000000
Notiosorex cockrumi	0.004788354	0.000009968	0.015795490	1.000000000
Notiosorex crawfordi	0.007226095	0.000002456	0.024746052	1.000000000
Notiosorex evotis	0.004155016	0.000091793	0.014478709	1.000000000
Notiosorex villai	0.015271327	0.000057989	0.056330098	1.000000000
Notocitellus adocetus	0.005989383	0.000151688	0.023555619	1.000000000
Notocitellus annulatus	0.005314777	0.000025616	0.019567664	1.000000000
Notomys alexis	0.005804850	0.000139137	0.018547966	1.000000000
Notomys aquilo	0.040660470	0.000071967	0.172721492	1.000000000
Notomys cervinus	0.012250414	0.000093007	0.039672279	1.000000000
Notomys fuscus	0.013313556	0.000080413	0.047312427	1.000000000
Notomys mitchellii	0.003944542	0.000041053	0.013970780	1.000000000
Notopteris macdonaldi	0.018149014	0.000054173	0.081433781	1.000000000
Notopteris neocaledonica	0.018297362	0.000033422	0.082390615	1.000000000
Notoryctes caurinus	0.005470631	0.000012033	0.021343427	1.000000000
Notoryctes typhlops	0.006955578	0.000023541	0.027182474	1.000000000
Nyctalus aviator	0.008484656	0.000039495	0.033689787	1.000000000
Nyctalus azoreum	0.023228707	0.000129122	0.054428069	1.000000000
Nyctalus furvus	0.015786169	0.000013100	0.067663767	1.000000000
Nyctalus lasiopterus	0.012389094	0.000034348	0.048974238	1.000000000
Nyctalus leisleri	0.005228021	0.000038758	0.016337270	1.000000000
Nyctalus montanus	0.004642097	0.000014930	0.015489496	1.000000000
Nyctalus noctula	0.005703472	0.000008531	0.020854035	1.000000000
Nyctalus plancyi	0.007935604	0.000176914	0.019298345	1.000000000
Nyctereutes procyonoides	0.004163575	0.000036187	0.014855731	1.000000000
Nycteris arge	0.004671649	0.000035498	0.014728543	1.000000000
Nycteris aurita	0.005300332	0.000350811	0.018798644	1.000000000
Nycteris gambiensis	0.005047308	0.000051707	0.017635243	1.000000000
Nycteris grandis	0.005526405	0.000054228	0.016276811	1.000000000
Nycteris hispida	0.004200921	0.000078312	0.016169361	1.000000000
Nycteris intermedia	0.006207760	0.000019979	0.022298846	1.000000000
Nycteris javanica	0.016463473	0.000143788	0.073019813	1.000000000
Nycteris macrotis	0.004721381	0.000162574	0.014419830	1.000000000
Nycteris madagascariensis	0.028344415	0.000146507	0.134208465	1.000000000
Nycteris major	0.018639290	0.000169324	0.064672427	1.000000000
Nycteris nana	0.004894831	0.000390569	0.015449865	1.000000000
Nycteris parisii	0.027711514	0.000046931	0.079295967	1.000000000
Nycteris thebaica	0.004457331	0.000040879	0.016259552	1.000000000
Nycteris tragata	0.009107192	0.000067119	0.029525478	1.000000000
Nycteris vinsoni	0.016814496	0.000000896	0.072575686	1.000000000
Nycteris woodi	0.004632989	0.000079236	0.016914617	1.000000000
Nycticebus bengalensis	0.013401596	0.000028472	0.062181264	1.000000000
Nycticebus coucang	0.015405163	0.000040080	0.057774716	1.000000000
Nycticebus javanicus	0.077811137	0.000091572	0.430662036	1.000000000
Nycticebus menagensis	0.012918368	0.000010993	0.050307031	1.000000000
Nycticebus pygmaeus	0.016881789	0.000196923	0.072323964	1.000000000
Nycticeinops schlieffeni	0.004633473	0.000025787	0.017508881	1.000000000
Nycticeius aenobarbus	0.024026699	0.000296643	0.095931454	1.000000000
