species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_by_2100AD
Genetta tigrina	0.014165578	0.000158240	0.038231199	0.012600000
Genetta victoriae	0.014468129	0.000104575	0.039573138	0.011500000
Gulo gulo	0.014555850	0.000016370	0.040589445	0.013500000
Halichoerus grypus	0.014666661	0.000092710	0.039004986	0.008200000
Halichoerus grypus	0.012912462	0.000056062	0.036737654	0.008900000
Helarctos malayanus	0.021853554	0.000185742	0.059760511	0.092700000
Helogale hirtula	0.014950348	0.000082921	0.040238426	0.019500000
Helogale parvula	0.014197008	0.000013449	0.040029042	0.015800000
Hemigalus derbyanus	0.022498498	0.000028164	0.060824104	0.086500000
Herpailurus yagouaroundi	0.015143711	0.000365066	0.040368150	0.014100000
Herpestes auropunctatus	0.016687829	0.000229099	0.040369238	0.017900000
Herpestes brachyurus	0.021636309	0.000102153	0.060725198	0.081600000
Herpestes edwardsii	0.014577045	0.000133506	0.041521563	0.017800000
Herpestes flavescens	0.014428954	0.000008227	0.038880726	0.013000000
Herpestes fuscus	0.015295666	0.000052695	0.039785564	0.016800000
Herpestes ichneumon	0.014066254	0.000101313	0.039463868	0.011900000
Herpestes javanicus	0.015129076	0.000031509	0.039429386	0.017500000
Herpestes naso	0.014532654	0.000095917	0.039869361	0.013100000
Herpestes ochraceus	0.014699321	0.000001922	0.038916210	0.017200000
Herpestes pulverulentus	0.015619705	0.000218360	0.039507559	0.020300000
Herpestes sanguineus	0.015568165	0.000233770	0.041877106	0.019500000
Herpestes semitorquatus	0.021785894	0.000038980	0.057255755	0.075500000
Herpestes smithii	0.014630409	0.000087273	0.041418338	0.014700000
Herpestes urva	0.015808902	0.000038795	0.041121053	0.019400000
Herpestes vitticollis	0.015031780	0.000050957	0.041365682	0.015100000
Histriophoca fasciata	0.013541142	0.000108217	0.036522490	0.011600000
Hyaena hyaena	0.019390327	0.000049653	0.051572206	0.056700000
Hydrictis maculicollis	0.021453522	0.000076385	0.056603669	0.074200000
Hydrurga leptonyx	0.013510412	0.000117697	0.037089189	0.010000000
Ichneumia albicauda	0.014590795	0.000001787	0.039515067	0.015400000
Ictonyx libycus	0.014379170	0.000125549	0.038161189	0.015200000
Ictonyx striatus	0.015681273	0.000088670	0.040073119	0.017600000
Leopardus colocolo	0.020496485	0.000107561	0.054773079	0.065700000
Leopardus geoffroyi	0.015084444	0.000376593	0.041212993	0.012100000
Leopardus guigna	0.027684295	0.000009525	0.089424302	0.140400000
Leopardus guttulus	0.026801041	0.000070712	0.077847775	0.127900000
Leopardus jacobita	0.041124377	0.000085771	0.146484794	0.416200000
Leopardus pardalis	0.014267294	0.000066937	0.039026288	0.012400000
Leopardus tigrinus	0.025188376	0.000137213	0.072283682	0.116700000
Leopardus wiedii	0.019342194	0.000221661	0.051399498	0.059500000
Leptailurus serval	0.013775865	0.000103192	0.038651796	0.011600000
Leptonychotes weddellii	0.013848474	0.000190761	0.038121811	0.011800000
Liberiictis kuhni	0.030448113	0.000182395	0.107339904	0.174900000
Lobodon carcinophaga	0.013170579	0.000020473	0.039030249	0.006800000
Lontra canadensis	0.013066914	0.000052209	0.037810921	0.011900000
Lontra felina	0.042188679	0.000513339	0.157004805	0.420100000
Lontra longicaudis	0.023028216	0.000053246	0.060494317	0.079600000
Lontra provocax	0.037188163	0.000016497	0.135310407	0.300700000
Lutra lutra	0.020598636	0.000194443	0.053607544	0.066800000
Lutra sumatrana	0.036989999	0.000056014	0.138283272	0.312400000
Lutrogale perspicillata	0.028359996	0.000009375	0.091706040	0.144500000
Lycalopex culpaeus	0.015103134	0.000049794	0.040549401	0.017300000
Lycalopex fulvipes	0.040028590	0.000068393	0.146241303	0.400900000
Lycalopex griseus	0.014323772	0.000028559	0.039768602	0.017600000
Lycalopex gymnocercus	0.015186064	0.000082139	0.040006668	0.018200000
Lycalopex sechurae	0.022106814	0.000038969	0.061987305	0.090100000
Lycalopex vetulus	0.015085129	0.000008065	0.040631718	0.018500000
Lycaon pictus	0.038791225	0.000221555	0.140160490	0.343400000
Lycaon pictus	0.038323637	0.000036188	0.140145636	0.332400000
Lycaon pictus	0.038471999	0.000209243	0.140234316	0.340500000
Lyncodon patagonicus	0.014253422	0.000235294	0.040846138	0.018600000
Lynx canadensis	0.014157838	0.000128732	0.038098197	0.011100000
Lynx lynx	0.013657063	0.000016337	0.038804457	0.010600000
Lynx pardinus	0.041366642	0.000018580	0.153296315	0.403100000
Lynx rufus	0.014972949	0.000008115	0.041389511	0.012000000
Macrogalidia musschenbroekii	0.029197570	0.000101421	0.094617794	0.153700000
Martes americana	0.014456054	0.000032424	0.040091258	0.014600000
Martes flavigula	0.014952908	0.000119014	0.039285696	0.015200000
Martes foina	0.013699075	0.000211992	0.039890028	0.015300000
Martes gwatkinsii	0.030805082	0.000111139	0.109028724	0.183200000
Martes martes	0.014995397	0.000005042	0.039323051	0.016300000
Martes melampus	0.013987834	0.000004430	0.039033375	0.015900000
Martes pennanti	0.014553327	0.000018292	0.039500271	0.018400000
Martes zibellina	0.015492500	0.000017600	0.040026236	0.017000000
Meles anakuma	0.014946746	0.000138992	0.040550481	0.014000000
Meles leucurus	0.013248334	0.000080976	0.040075521	0.013300000
Meles meles	0.014153939	0.000030173	0.037557986	0.014400000
Mellivora capensis	0.013946078	0.000053468	0.039736156	0.010500000
Melogale cucphuongensis	0.024345878	0.000016581	0.074481248	0.151300000
Melogale everetti	0.038426545	0.000223427	0.137910286	0.322000000
Melogale moschata	0.015554299	0.000006421	0.041063045	0.018300000
Melogale orientalis	0.014629510	0.000015861	0.040298145	0.013500000
Melogale personata	0.014503846	0.000051397	0.041526369	0.018200000
Melursus ursinus	0.023933712	0.000015207	0.062199038	0.093700000
Mephitis macroura	0.015376933	0.000236243	0.040359820	0.017800000
Mephitis mephitis	0.013840635	0.000032118	0.038650154	0.018600000
Mirounga angustirostris	0.014335433	0.000034229	0.038559799	0.013300000
Mirounga leonina	0.013973565	0.000064160	0.037491604	0.011000000
Monachus monachus	0.030774973	0.000001187	0.106245550	0.225700000
Monachus monachus	0.031850635	0.000016393	0.108074806	0.230800000
Mungos gambianus	0.014470464	0.000173162	0.042356569	0.019700000
Mungos mungo	0.015889155	0.000254149	0.042937328	0.019100000
Mungotictis decemlineata	0.037715850	0.000018050	0.137614516	0.319600000
Mustela africana	0.015858048	0.000136321	0.041277389	0.018500000
Mustela altaica	0.023332378	0.000008438	0.060051009	0.082100000
Mustela erminea	0.015021236	0.000231450	0.039775060	0.019400000
Mustela eversmanii	0.015649649	0.000048927	0.040567727	0.020600000
Mustela felipei	0.028097184	0.000023463	0.093499091	0.151100000
Mustela frenata	0.014363761	0.000080783	0.039604029	0.020100000
Mustela itatsi	0.022188272	0.000175884	0.059436055	0.079900000
Mustela kathiah	0.016499813	0.000016735	0.043200263	0.021000000
Mustela lutreola	0.040612612	0.000160250	0.111424507	0.817100000
Mustela lutreolina	0.015800071	0.000149189	0.041410480	0.017400000
Mustela nigripes	0.041627683	0.000040099	0.153305728	0.408500000
Mustela nivalis	0.014543733	0.000232888	0.040118262	0.018200000
Mustela nudipes	0.014726212	0.000021165	0.040688737	0.014400000
Mustela putorius	0.014636762	0.000045502	0.040032190	0.017600000
Mustela russelliana	0.026722176	0.000075780	0.078794745	0.173900000
Mustela sibirica	0.014851829	0.000668897	0.040825396	0.020300000
Mustela strigidorsa	0.014493911	0.000027451	0.039881283	0.014600000
Mustela subpalmata	0.015028185	0.000145023	0.039608581	0.014600000
Mustela tonkinensis	0.025740473	0.000190896	0.076630211	0.172000000
Mydaus javanensis	0.014228952	0.000013206	0.041779827	0.018700000
Mydaus marchei	0.015578867	0.000047367	0.041432372	0.012300000
Nandinia binotata	0.015138930	0.000623870	0.039888493	0.013000000
Nasua narica	0.012801666	0.000155577	0.035981241	0.012000000
Nasua nasua	0.014425880	0.000004490	0.040597376	0.012500000
Nasuella meridensis	0.034617405	0.000000099	0.126203931	0.281500000
Nasuella olivacea	0.020495322	0.000236823	0.056210803	0.069300000
Neofelis diardi	0.025337471	0.000003857	0.077647315	0.124200000
Neofelis nebulosa	0.027040972	0.000066955	0.077679426	0.133800000
Neomonachus schauinslandi	0.031311698	0.000116310	0.103425306	0.218300000
Neophoca cinerea	0.032661586	0.000119972	0.113327553	0.252100000
Neovison vison	0.014839789	0.000006114	0.040999814	0.020500000
Nyctereutes procyonoides	0.013088196	0.000018156	0.037092129	0.012500000
Odobenus rosmarus	0.022811626	0.000289719	0.056381343	0.083500000
Ommatophoca rossii	0.014148098	0.000353997	0.039575250	0.011400000
Otaria byronia	0.013853090	0.000083649	0.036976873	0.009700000
Otocolobus manul	0.022770617	0.000068386	0.058091063	0.077900000
Otocyon megalotis	0.014691049	0.000317561	0.038789739	0.015900000
Pagophilus groenlandicus	0.012906164	0.000192625	0.037671663	0.008400000
Paguma larvata	0.014559672	0.000120575	0.039995207	0.013600000
Panthera leo	0.021705433	0.000080978	0.060240040	0.093800000
Panthera leo	0.023028394	0.000065225	0.067601367	0.104500000
Panthera onca	0.019210601	0.000078900	0.049125510	0.052200000
Panthera pardus	0.023963640	0.000133477	0.071337064	0.116900000
Panthera tigris	0.032020994	0.000026244	0.110658599	0.226200000
Panthera uncia	0.024243336	0.000430755	0.074827399	0.119900000
Paracynictis selousi	0.014168669	0.000110685	0.038886222	0.017000000
Paradoxurus hermaphroditus	0.013770800	0.000114767	0.037482273	0.011400000
Paradoxurus jerdoni	0.015794840	0.000385491	0.041726068	0.017100000
Paradoxurus zeylonensis	0.015133336	0.000008442	0.040439283	0.014000000
Parahyaena brunnea	0.018727906	0.000032502	0.048274510	0.052700000
Pardofelis marmorata	0.021083822	0.000016390	0.057681477	0.080400000
Phoca largha	0.013424457	0.000108379	0.038164862	0.007700000
Phoca vitulina	0.013791676	0.000063633	0.039517122	0.008700000
Phocarctos hookeri	0.031935666	0.000052203	0.107977970	0.238400000
Poecilogale albinucha	0.016240389	0.000353905	0.044065098	0.021300000
Poiana leightoni	0.025003471	0.000105848	0.073540817	0.121000000
Poiana richardsonii	0.015073603	0.000263167	0.039327268	0.019600000
Potos flavus	0.013399765	0.000176994	0.037952964	0.009300000
Prionailurus bengalensis	0.013656948	0.000023384	0.039946154	0.013400000
Prionailurus planiceps	0.038511225	0.000019572	0.143529422	0.339900000
Prionailurus rubiginosus	0.020725789	0.000013276	0.056920065	0.074600000
Prionailurus viverrinus	0.030514709	0.000108787	0.104576005	0.173300000
Prionodon linsang	0.015840795	0.000015415	0.041993874	0.021900000
Prionodon pardicolor	0.015108885	0.000033881	0.039600073	0.020800000
Procyon cancrivorus	0.015295293	0.000137071	0.040575335	0.015400000
