species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_by_3019AD
Genetta tigrina	0.004564690	0.000042244	0.013610846	0.650000000
Genetta victoriae	0.007085002	0.000212137	0.021964915	0.600000000
Gulo gulo	0.008186597	0.000172657	0.034540691	0.610000000
Halichoerus grypus	0.007870161	0.000092714	0.015478523	0.530000000
Halichoerus grypus	0.005373991	0.000258720	0.018874744	0.540000000
Helarctos malayanus	0.004965609	0.000010708	0.014559708	0.700000000
Helogale hirtula	0.005093619	0.000097170	0.021883357	0.660000000
Helogale parvula	0.003835666	0.000086942	0.010615167	0.750000000
Hemigalus derbyanus	0.008824214	0.000001050	0.013738677	0.770000000
Herpailurus yagouaroundi	0.003934115	0.000145109	0.013229153	0.630000000
Herpestes auropunctatus	0.006632309	0.000078531	0.022566244	0.680000000
Herpestes brachyurus	0.005740925	0.000245603	0.019046620	0.770000000
Herpestes edwardsii	0.004570336	0.000170873	0.014832444	0.610000000
Herpestes flavescens	0.006595625	0.000171380	0.021096656	0.580000000
Herpestes fuscus	0.006792431	0.000472949	0.022740322	0.640000000
Herpestes ichneumon	0.008003911	0.000085391	0.038625141	0.680000000
Herpestes javanicus	0.005487701	0.000028540	0.017414735	0.660000000
Herpestes naso	0.009782119	0.000017269	0.023523900	0.580000000
Herpestes ochraceus	0.009936735	0.000126428	0.020037637	0.720000000
Herpestes pulverulentus	0.005241561	0.000184899	0.012694563	0.680000000
Herpestes sanguineus	0.011200664	0.000203990	0.018247591	0.700000000
Herpestes semitorquatus	0.009190447	0.000083361	0.017334392	0.740000000
Herpestes smithii	0.004861716	0.000021365	0.013871760	0.680000000
Herpestes urva	0.005298741	0.000014430	0.017474001	0.650000000
Herpestes vitticollis	0.008939481	0.000047383	0.033006268	0.760000000
Histriophoca fasciata	0.003947636	0.000002283	0.013891351	0.580000000
Hyaena hyaena	0.005509436	0.000181461	0.016496135	0.660000000
Hydrictis maculicollis	0.014459520	0.000075870	0.033099810	0.790000000
Hydrurga leptonyx	0.005403900	0.000002387	0.013009748	0.520000000
Ichneumia albicauda	0.008805928	0.000276509	0.019820164	0.650000000
Ictonyx libycus	0.004822295	0.000229996	0.017747381	0.670000000
Ictonyx striatus	0.006459538	0.000024752	0.026244238	0.650000000
Leopardus colocolo	0.006750845	0.000173500	0.024850379	0.690000000
Leopardus geoffroyi	0.004915371	0.000009378	0.018477426	0.630000000
Leopardus guigna	0.012403883	0.000206658	0.013333130	0.790000000
Leopardus guttulus	0.008414796	0.000006838	0.011232684	0.750000000
Leopardus jacobita	0.004489366	0.000116058	0.010799622	0.930000000
Leopardus pardalis	0.005651133	0.000008724	0.019958689	0.740000000
Leopardus tigrinus	0.004010308	0.000238852	0.011372730	0.720000000
Leopardus wiedii	0.006663251	0.000069608	0.020288767	0.740000000
Leptailurus serval	0.004878627	0.000050911	0.018972657	0.590000000
Leptonychotes weddellii	0.004120730	0.000193957	0.015686191	0.520000000
Liberiictis kuhni	0.002778463	0.000003602	0.008961156	0.830000000
Lobodon carcinophaga	0.008687637	0.000095850	0.019604348	0.560000000
Lontra canadensis	0.007120438	0.000060254	0.021862310	0.640000000
Lontra felina	0.002810622	0.000140678	0.008265577	0.920000000
Lontra longicaudis	0.010098387	0.000183542	0.014574216	0.810000000
Lontra provocax	0.003593535	0.000142868	0.010690331	0.860000000
Lutra lutra	0.004917257	0.000101036	0.020196477	0.780000000
Lutra sumatrana	0.003413863	0.000006751	0.007503619	0.880000000
Lutrogale perspicillata	0.004863000	0.000090946	0.011722009	0.810000000
Lycalopex culpaeus	0.005137460	0.000002389	0.017979332	0.670000000
Lycalopex fulvipes	0.002511767	0.000099983	0.005998719	0.880000000
Lycalopex griseus	0.003395895	0.000118280	0.011430485	0.620000000
Lycalopex gymnocercus	0.004924639	0.000213988	0.017768490	0.670000000
Lycalopex sechurae	0.004619104	0.000084338	0.015629034	0.850000000
Lycalopex vetulus	0.004656961	0.000157499	0.018950237	0.590000000
