year	LC	NT	VU	EN	CR	EX
0	180	31	45	35	4	0
1	180	30	44	35	4	0
2	181	30	44	35	4	1
3	181	30	44	35	4	1
4	182	30	43	35	4	1
5	182	29	43	35	5	1
6	183	29	42	34	5	1
7	183	29	42	34	5	2
8	184	29	41	34	5	2
9	185	28	41	34	5	2
10	185	28	41	34	5	3
11	185	28	40	34	5	3
12	186	27	40	34	5	3
13	186	27	39	34	5	3
14	187	27	39	34	5	4
15	187	27	39	33	5	4
16	188	26	38	33	5	4
17	188	26	38	33	5	4
18	189	26	38	33	5	5
19	189	25	37	33	5	5
20	189	25	37	33	5	5
21	190	25	37	33	5	6
22	190	25	36	33	5	6
23	190	25	36	33	5	6
24	190	25	36	33	5	7
25	191	24	36	32	5	7
26	191	24	35	32	5	7
27	192	24	35	32	5	8
28	192	24	35	32	5	8
29	192	23	34	32	5	8
30	193	23	34	32	5	8
31	193	23	34	31	5	9
32	193	23	34	31	5	9
33	193	23	34	31	5	9
34	194	23	33	31	5	10
35	194	23	33	31	5	10
36	194	23	33	30	5	10
37	194	23	33	30	5	11
38	195	22	33	30	5	11
39	195	22	32	30	5	11
40	195	22	32	30	5	11
41	195	22	32	30	5	12
42	195	22	32	29	5	12
43	196	22	32	29	5	12
44	196	22	31	29	5	13
45	196	22	31	29	4	13
46	196	21	31	29	5	13
47	197	21	31	28	5	13
48	197	21	30	28	5	14
49	197	21	30	28	5	14
50	198	21	30	28	4	14
51	198	21	30	28	4	14
52	198	21	30	28	4	15
53	198	20	29	28	4	15
54	198	20	29	27	4	15
55	199	20	29	27	4	16
56	199	20	29	27	4	16
57	199	20	28	27	4	16
58	199	20	28	27	4	17
59	199	20	28	27	4	17
60	199	20	28	27	4	17
61	199	20	28	26	4	18
62	200	20	28	26	4	18
63	200	20	27	26	4	18
64	200	19	27	26	4	18
65	200	19	27	26	4	19
66	200	19	27	25	4	19
67	200	19	27	25	4	19
68	200	19	27	25	4	19
69	200	19	27	25	4	20
70	201	19	27	25	4	20
71	201	19	26	25	4	20
72	201	19	26	24	4	21
73	201	19	26	24	4	21
74	201	19	26	24	4	21
75	201	19	26	24	4	22
76	201	18	26	24	4	22
77	201	18	26	24	4	22
78	201	18	25	24	4	22
79	201	18	25	24	4	23
80	201	18	25	23	4	23
81	201	18	25	23	4	23
82	202	18	25	23	4	23
83	202	18	25	23	4	24
84	202	17	25	23	4	24
85	202	18	24	23	4	24
86	202	17	24	23	4	24
87	202	17	24	23	4	24
88	202	17	24	23	4	25
89	202	17	24	23	4	25
90	202	17	24	22	4	25
91	202	17	24	22	4	26
92	202	17	24	22	4	26
93	203	17	24	22	3	26
94	203	17	23	22	4	26
95	203	17	23	22	3	26
96	203	17	23	22	3	27
97	203	17	23	22	3	27
98	203	17	23	21	4	27
99	203	16	23	21	4	28
100	203	16	23	21	4	28
