species	2017	1996	1994	1990	1988	1986	2018	2010	2006	2016	2007	2015	2011	2020	1983	2014	2013	2009	2019	1985	2004	2002	2008	2003	2000	2012
Alloperla roberti	NA	EX	Ex	Ex	Ex	Ex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloeides caledoni	NA	VU	R	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloeides dentatis	NA	VU	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloeides egerides	NA	VU	R	V	V	V	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloeides lutescens	NA	VU	R	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloeides carolynnae	NA	VU	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloeides kaplani	NA	VU	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloeides merces	NA	VU	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloeides nollothi	NA	VU	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloeides nubilus	NA	VU	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloeides pringlei	NA	VU	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aloeides rossouwi	NA	VU	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amanipodagrion gilliesi	NA	EN	E	E	E	E	NA	CR	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amauris comorana	NA	EN	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amauris nossima	NA	VU	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amauris phoedon	NA	VU	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ammopelmatus kelsoensis	NA	VU	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ammopelmatus muwu	NA	VU	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amphipteryx agrioides	NA	EN	I	I	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anergates atratulus	NA	VU	NA	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anetia briarea	NA	LR/nt	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anetia cubana	NA	LR/nt	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anetia jaegeri	NA	LR/nt	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anetia pantheratus	NA	LR/nt	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aneuretus simoni	NA	CR	K	K	K	K	NA	NA	NA	NA	NA	NA	NA	NA	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anoplolepis nuptialis	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anthicus sacramento	NA	EN	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Antichthonidris bidentatus	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Antipodochlora braueri	NA	LR/nt	I	I	I	I	NA	NA	LC	NA	NA	NA	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aphaenogaster bidentatus	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apteromantis aptera	NA	LR/nt	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arawacus aethesa	NA	EN	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Argiocnemis solitaria	NA	CR	E	E	E	E	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA
Argyresthia castaneella	NA	EX	Ex?	Ex?	Ex?	Ex?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Asiagomphus yayeyamensis	NA	EN	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aslauga australis	NA	VU	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pachliopta atropos	NA	VU	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	I	NA	NA	NA	NA	NA	NA
Atrophaneura jophon	NA	CR	V	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	V	NA	NA	NA	NA	NA	NA
Atrophaneura luchti	NA	VU	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	R	NA	NA	NA	NA	NA	NA
Losaria palu	NA	DD	K	K	K	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K	NA	NA	NA	NA	NA	NA
Pachliopta schadenbergi	NA	VU	V	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	V	NA	NA	NA	NA	NA	NA
Austrocordulia leonardi	NA	CR	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA
Austrosaga spinifer	NA	VU	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Baetica ustulata	NA	VU	V	V	V	V	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Baronia brevicornis	NA	LR/nt	R	R	R	R	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA
Battus zetides	NA	VU	V	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	V	NA	NA	NA	NA	NA	NA
Bayadera ishigakiana	NA	EN	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Belocephalus micanopy	NA	VU	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Belocephalus sleighti	NA	VU	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bhutanitis ludlowi	NA	VU	K	K	K	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	K	NA	NA	NA	NA	NA	NA
Bhutanitis mansfieldi	NA	DD	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA
Bhutanitis thaidina	NA	LR/lc	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	R	NA	NA	NA	NA	NA	NA
Tetrix transsylvanica	NA	VU	R	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Boloria acrocnema	NA	VU	E	V	E	V	NA	NA	NA	NA	NA	NA	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ischnura ezoin	NA	CR	R	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Boninthemis insularis	NA	CR	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brachythemis fuscopalliata	NA	VU	E	E	E	E	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brennania belkini	NA	VU	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Buprestis splendens	NA	VU	E	E	E	E	NA	EN	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burmagomphus sivalikensis	NA	CR	V	V	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caconemobius howarthi	NA	VU	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caconemobius schauinslandi	NA	VU	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caconemobius varius	NA	VU	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calopteryx angustipennis	NA	LR/nt	R	I	I	I	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calopteryx syriaca	NA	EN	E	E	E	E	NA	EN	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Camponotus universitatis	NA	VU	NA	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campsicnemus mirabilis	NA	EX	Ex	Ex	Ex	Ex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Capys penningtoni	NA	VU	R	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carabus intricatus	NA	LR/nt	V	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carabus olympiae	NA	VU	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cardiocondyla zoserka	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cataglyphis hannae	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cephalaeschna acutifrons	NA	VU	V	V	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cerambyx cerdo	NA	VU	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ceriagrion mourae	NA	DD	I	I	I	I	LC	LC	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chalepoxenus brunneus	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chalepoxenus muellerianus	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chalepoxenus kutteri	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chalepoxenus spinosus	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chalepoxenus tarbinskii	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chalepoxenus tauricus	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chalepoxenus tramieri	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chalepoxenus zabelini	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megachile pluto	NA	DD	K	K	K	K	NA	NA	NA	NA	NA	NA	NA	NA	K	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chloealtis aspasma	NA	VU	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlorogomphus iriomotensis	NA	EN	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA
Chlorogomphus okinawensis	NA	EN	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlorolestes draconicus	NA	LR/nt	R	R	NA	NA	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA
Chlorolestes apricans	NA	EN	R	NA	NA	NA	EN	EN	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA
Chorthippus acroleucus	NA	VU	R	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chrysoritis cotrelli	NA	CR	E	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chrysoritis oreas	NA	LR/nt	R	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cicindela columbica	NA	VU	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	E	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cicindela marginipennis	NA	LR/nt	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cicindela puritana	NA	EN	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clavicoccus erinaceus	NA	EX	Ex	Ex	Ex	Ex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coelus globosus	NA	VU	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coelus gracilis	NA	VU	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coenagrion mercuriale	NA	VU	V	V	V	E	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coenonympha oedippus	NA	LR/nt	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coleophora leucochrysella	NA	EX	Ex?	Ex?	Ex?	Ex?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colophon primosi	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colophon cassoni	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colophon montisatris	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colophon berrisfordi	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colophon thunbergi	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colophon whitei	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colophon haughtoni	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colophon barnardi	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colophon eastmani	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colophon westwoodi	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colophon neli	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colophon cameroni	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colophon stokoei	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colophon izardi	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Trithemis longistyla	NA	DD	K	K	K	K	NA	LC	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Conozoa hyalina	NA	EX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cordulegaster mzymtae	NA	VU	E	E	E	E	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Crematogaster atilanica	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cucujus cinnaberinus	NA	VU	E	E	E	E	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyanophrys bertha	NA	VU	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cycloptilum irregularis	NA	VU	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daihinibaenetes arizonensis	NA	VU	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dalla octomaculata	NA	DD	R	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danaus cleophile	NA	LR/nt	K	K	K	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Deinacrida fallai	NA	VU	V	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Deinacrida heteracantha	NA	VU	V	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Deinacrida rugosa	NA	VU	V	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Deinacrida parva	NA	DD	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Deloneura immaculata	NA	EX	Ex	Ex?	Ex?	Ex?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Deronectes aljibensis	NA	EN	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Deronectes depressicollis	NA	VU	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Deronectes ferrugineus	NA	VU	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
