species	2017	1996	1994	1990	1988	2018	2010	2006	1986	2016	2007	2020	2013	2009	2019	2004	1983	2008	2011	2014	2003
Euphaea aspasia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Rhodothemis rufa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Sarasaeschna decorata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Pericnemis triangularis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	EN	NA	NA	NA	NA	NA	NA
Aciagrion fasciculare	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA
Vestalis atropha	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA
Podolestes coomansi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	VU	NA	NA	NA	NA	NA	NA
Calocypha laidlawi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Rhinocypha seducta	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Libellago stigmatizans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA
Crocothemis servilia	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA	NA
Oligoaeschna elacatura	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA	NA	NA
Trithemis festiva	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Onychogomphus kerri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Onychogomphus schmidti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Macrogomphus parallelogramma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA
Macromia vangviengensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Neallogaster ornata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Libellago stictica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	LC	NA	NA	NA	NA	NA	NA
Planaeschna owadai	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Bayadera hyalina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA
Neallogaster hermionae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Coeliccia erici	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	LC	NA	NA	NA	NA	NA	NA
Drepanosticta sharpi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	LC	NA	NA	NA	NA	NA	NA
Chloropetalia owadai	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	DD	NA	NA
Protosticta uncata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Orthetrum borneense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Drepanosticta kruegeri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Heliocypha biforata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Ictinogomphus kishori	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Orolestes durga	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Lestes garoensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Amphithemis curvistyla	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	LC	NA	NA	NA	NA	NA	NA
Cryptophaea saukra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA
Vestalis amethystina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Idionyx minima	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Lestes umbrinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Platylestes heterostylus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Periaeschna unifasciata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Euphaea basalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NT	NA	NA	NA	NA	NA	NA
Rhinocypha xanthe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Euphaea impar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Libellago andamanensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA
Burmargiolestes laidlawi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Gynacanthaeschna sikkima	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Brachydiplax sobrina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Nychogomphus striatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Melligomphus acinaces	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Tetrathemis platyptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA
Microgomphus lilliputians	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Orientogomphus indicus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Agriocnemis minima	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Chlorogomphus nakamurai	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	VU	NA	NA
Pseudagrion nigrofasciatum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Idionyx travancorensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Periaeschna magdalena	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Heliaeschna idae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Cyclogomphus heterostylus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Coeliccia macrostigma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	EN	NA	NA	NA	NA	NA	NA
Teinobasis rajah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA
Cephalaeschna aritai	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Libellago balus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA
Aciagrion tillyardi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Noguchiphaea yoshikoae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Gomphidictinus perakensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Onychothemis testacea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Burmagomphus arthuri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Macromia westwoodii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA
Vestalis gracilis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Lyriothemis bivittata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Microgomphus jurzitzai	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Mortonagrion alcyone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	LC	NA	NA	NA	NA	NA	NA
Drepanosticta pan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Ictinogomphus distinctus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Merogomphus martini	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Indothemis carnatica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	LC	NA	NA	NA	NA	NA	NA
Onychargia atrocyana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA
Pseudagrion indicum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	DD	NA	NA	NA	NA	NA	NA	NA
Neurobasis longipes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA
Zyxomma breviventre	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Macrogomphus seductus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Megalogomphus icterops	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Tetracanthagyna brunnea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Prodasineura abbreviata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	EN	NA	NA	NA	NA	NA	NA
Agriocnemis lacteola	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Sarasaeschna speciosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Onychogomphus banteng	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Elattoneura atkinsoni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Chlorogomphus preciosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Coeliccia furcata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Cyclogomphus wilkinsi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Neurothemis ramburii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA
Urothemis abbotti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA
Drepanosticta sundana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Megalogomphus superbus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Prodasineura flammula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Ceriagrion azureum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Onychogomphus saundersii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Vestalaria smaragdina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Rhinoneura caerulea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Hylaeothemis indica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Gomphidia williamsoni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Lyriothemis acigastra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Tramea virginia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA
Pseudagrionoptera diotima	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	EN	NA	NA	NA	NA	NA	NA
Anotogaster basalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Oligoaeschna platyura	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NT	NA	NA	NA	NA	NA	NA	NA
Megalestes raychoudhurii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Orientogomphus circularis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	DD	NA	NA
Sarasaeschna khasiana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Devadatta glaucinota	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Bayadera indica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Planaeschna tomokunii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Chloropetalia selysi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA
Onychogomphus rappardi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Gynacantha arnaudi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Coeliccia rotundata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Ictinogomphus acutus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	VU	NA	NA	NA	NA	NA	NA
Telosticta feronia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Coeliccia pracritii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Palpopleura sexmaculata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Archibasis rebeccae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NT	NA	NA	NA	NA	NA	NA
Brachydiplax farinosa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Schmidtiphaea schmidi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	DD	NA	NA	NA	NA	NA	NA	NA
Coeliccia sarbottama	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Ceriagrion coromandelianum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Paragomphus echinoccipitalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Idionyx optata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Euphaea subcostalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA
Coeliccia borneensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	LC	NA	NA	NA	NA	NA	NA
Protosticta versicolor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	LC	NA	NA	NA	NA	NA	NA
Indolestes anomalus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Coeliccia schmidti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Idionyx saffronata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Calicnemia mukherjeei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Dysphaea ethela	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	LC	NA	NA	NA	NA	NA	NA
Calicnemia miles	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Macromia erato	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA
Pseudagrion australasiae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Drepanosticta hamadryas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	DD	NA	NA	NA	NA	NA	NA
Coeliccia montana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Heliogomphus kelantanensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	VU	NA	NA	NA	NA	NA	NA
Vestalis apicalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Sarasaeschna niisatoi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	VU	NA	NA
Prodasineura peramoena	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	DD	NA	NA	NA	NA	NA	NA	NA
Megalogomphus flavicolor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Gynacantha maclachlani	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Onychogomphus cacharicus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Brachygonia oculata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Dysphaea lugens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	DD	NA	NA	NA	NA	NA	NA
Indolestes cyaneus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Anisogomphus vulvalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Cratilla metallica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Paracercion malayanum	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Neurothemis tullia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Prodasineura hosei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA
Caliphaea confusa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Macrogomphus borikhanensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Caliphaea angka	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA
Asiagomphus personatus	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Polycanthagyna erythromelas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Podolestes orientalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Neurobasis chinensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Philoganga montana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Coeliccia uenoi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Coeliccia satoi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Coeliccia nigrescens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Oligoaeschna sumatrana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Amphicnemis bicolor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	EN	NA	NA	NA	NA	NA	NA
Leptogomphus coomansi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	LC	NA	NA	NA	NA	NA	NA
Pseudagrion lalakense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Drepanosticta tenella	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Nychogomphus geometricus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Echo uniformis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Anisopleura lestoides	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	LC	NA	NA	NA	NA	NA	NA	NA
Planaeschna chiengmaiensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Macromia callisto	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NT	NA	NA	NA	NA	NA	NA	NA
Mortonagrion varralli	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Amphicnemis martini	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	DD	NA	NA	NA	NA	NA	NA
Orthetrum glaucum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Gomphidia kodaguensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Megalestes lieftincki	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Drepanosticta fontinalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	LC	NA	NA	NA	NA	NA	NA
Indolestes bilineatus	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Linaeschna polli	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	VU	NA	NA	NA	NA	NA	NA
Euphaea bocki	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Mortonagrion appendiculatum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DD	EN	NA	NA	NA	NA	NA	NA
