species	2017	1996	1994	1990	1988	2018	2010	2006	1986	2016	2007	2020	2013	2009	2019	2004	1983	2008	2011	2014	2003
Hemicordulia okinawensis	NA	VU	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Hemiphlebia mirabilis	NA	VU	R	E	E	NA	NA	NA	V	NA	NA	NA	NA	NA	LC	NA	E	EN	NA	NA	NA
Hetaerina rudis	NA	EN	I	I	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heteragrion eboratum	NA	EN	I	I	NA	NA	NA	VU	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Heteragrion tricellulare	NA	EN	I	I	NA	NA	NA	LC	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Indolestes boninensis	NA	CR	R	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ischnura gemina	NA	EN	E	E	E	EN	NA	NA	E	NA	VU	NA	NA	NA	NA	NA	E	NA	NA	NA	NA
Isomma hieroglyphicum	LC	VU	I	I	I	NA	NA	DD	I	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Leptogomphus yayeyamensis	NA	EN	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA
Leucorrhinia albifrons	NA	LR/lc	I	I	I	NA	NA	LC	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leucorrhinia caudalis	NA	LR/lc	I	I	I	NA	NA	LC	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Libellula angelina	NA	CR	E	E	E	NA	NA	CR	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Libellula jesseana	NA	VU	K	K	K	VU	NA	NA	K	NA	VU	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA
Libellulosoma minuta	DD	VU	I	I	I	NA	NA	DD	I	NA	NA	NA	NA	DD	NA	NA	NA	NA	NA	NA	NA
Lyriothemis tricolor	NA	EN	R	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Macromia margarita	NA	LR/nt	R	R	R	LC	NA	NA	R	NA	NT	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA
Macromia splendens	NA	VU	R	R	R	NA	VU	VU	V	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA
Macromia kubokaiya	NA	EN	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Macromia urania	NA	EN	R	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA
Matrona japonica	NA	EN	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Platystigma astictum	NA	VU	V	V	V	NA	NA	VU	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Platystigma pronoti	NA	CR	E	V	V	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megalagrion adytum	NA	VU	I	I	I	NA	NA	LC	I	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megalagrion jugorum	NA	EX	Ex?	Ex?	Ex?	NA	NA	NA	Ex?	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megalagrion leptodemas	NA	EN	I	I	I	NA	NA	CR	I	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megalagrion oceanicum	NA	VU	I	I	I	NA	NA	NA	I	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megalagrion pacificum	NA	VU	E	E	E	NA	NA	NA	E	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA
