species	2013	1996	1994	2016	1990	1988	1986	1982	2017	2011	2014	2018	2009	2006	2010	2004	2000	2012	2002	2019	2015	2020	2007	2008	2003
Bradypodion setaroi	NA	EN	R	NA	NA	NA	NA	NA	LC	NA	NA	LC	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bradypodion thamnobates	NA	LR/nt	R	NA	NA	NA	NA	NA	VU	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bradypodion taeniabronchum	NA	CR	E	NA	V	V	NA	NA	EN	NA	NA	LC	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brookesia perarmata	NA	VU	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calamaria pfefferi	NA	DD	R	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Callopistes maculatus	NA	DD	V	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calotes liocephalus	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caretta caretta	NA	EN	V	NA	V	V	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA
Carettochelys insculpta	NA	VU	K	NA	K	K	K	K	NA	NA	NA	EN	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA
Casarea dussumieri	NA	EN	E	NA	E	E	E	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Celestus duquesneyi	NA	DD	I	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Celestus fowleri	NA	DD	I	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Celestus microblepharis	NA	DD	I	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Celestus occiduus	NA	EX	Ex?	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ceratophora tennentii	NA	EN	V	NA	V	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Charina umbratica	NA	NA	R	NA	R	R	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA
Chelodina oblonga	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chelodina parkeri	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NT	NA	NA	NA
Chelodina pritchardi	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	VU	NA	NA	NA
Chelodina reimanni	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA
Chelonia mydas	NA	EN	E	NA	E	E	E	E	NA	NA	NA	NA	NA	NA	NA	EN	NA	LC	NA	LC	NA	NA	NA	NA	NA
Mauremys nigricans	NA	DD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA
Chironius vincenti	NA	CR	R	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chitra chitra	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	CR	NA	NA	NA	NA	NA
Chitra indica	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA
Christinus guentheri	NA	VU	V	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Claudius angustatus	NA	LR/nt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glyptemys insculpta	NA	VU	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
