species	2004	2002	1996	1994	2013	2017	2010	2016	2019	2009	1990	1988	2015	2008	1986	2006	2018	2000	2012	2020	2011	2014
Cacosternum poyntoni	DD	NA	DD	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calyptocephalella gayi	VU	NA	DD	V	NA	NA	VU	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chioglossa lusitanica	NT	NA	VU	I	NA	NA	NA	NA	NA	VU	I	V	NA	NA	V	VU	NA	NA	NA	NA	NA	NA
Conraua goliath	EN	NA	VU	V	NA	NA	NA	NA	EN	NA	V	V	NA	NA	V	NA	NA	NA	NA	NA	NA	NA
Discoglossus jeanneae	LC	NA	NA	R	NA	NA	NA	NA	NA	NT	R	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA
Discoglossus montalentii	VU	NA	VU	R	NA	NA	NA	NA	NA	NT	R	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA
Latonia nigriventer	EX	NA	EX	Ex?	NA	NA	NA	NA	NA	NA	Ex?	Ex?	NA	NA	E	NA	NA	NA	CR	NA	NA	NA
Dyscophus antongilii	NT	NT	VU	NA	NA	LC	NA	NA	NA	NA	NA	NA	NA	NT	NA	NA	NA	NA	NA	NA	NA	NA
Eleutherodactylus jasperi	CR	NA	DD	R	NA	NA	CR	NA	NA	NA	R	R	NA	CR	R	NA	NA	NA	NA	NA	NA	NA
Eleutherodactylus cavernicola	CR	NA	VU	I	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eleutherodactylus fuscus	CR	NA	VU	R	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eleutherodactylus junori	CR	NA	VU	I	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eleutherodactylus karlschmidti	CR	NA	CR	E	NA	NA	CR	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA
Eleutherodactylus semipalmatus	CR	NA	DD	I	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eleutherodactylus sisyphodemus	CR	NA	VU	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eleutherodactylus cooki	EN	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA
Eleutherodactylus eneidae	CR	NA	DD	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA
Eleutherodactylus principalis	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euproctus platycephalus	EN	NA	CR	R	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eupsophus insularis	CR	NA	DD	R	NA	NA	CR	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eurycea nana	VU	NA	VU	R	NA	NA	NA	NA	NA	NA	R	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA
Eurycea sosorum	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eurycea tridentifera	VU	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geocrinia alba	CR	CR	EN	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geocrinia vitellina	VU	VU	VU	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heleioporus albopunctatus	LC	LC	LR/nt	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heleophryne hewitti	CR	NA	EN	E	NA	EN	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Heleophryne rosei	CR	NA	VU	E	NA	CR	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Holoaden bradei	CR	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hydromantes brunus	VU	NA	VU	R	NA	NA	NA	NA	NA	NA	R	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA
Hydromantes shastae	VU	NA	VU	R	NA	NA	NA	NA	NA	NA	R	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA
Dryophytes andersonii	NT	NA	LR/nt	R	NA	NA	NA	NA	NA	NA	R	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA
Hyla arborea	NT	NA	LR/nt	NA	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	LC	NA	NA	NA	NA	NA	NA
Bokermannohyla izecksohni	CR	NA	DD	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bokermannohyla langei	DD	NA	DD	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Boana secedens	DD	NA	DD	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Boana marianitae	LC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LC	NA	NA
Hylodes sazimai	DD	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hynobius abei	CR	NA	EN	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hynobius dunni	EN	NA	VU	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hynobius hidamontanus	EN	NA	VU	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hynobius okiensis	CR	NA	EN	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hynobius ikioi	VU	NA	DD	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hynobius takedai	EN	NA	EN	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stereocyclops histrio	DD	NA	DD	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hyperolius pickersgilli	EN	NA	VU	R	NA	NA	CR	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Insuetophrynus acarpicus	CR	NA	VU	E	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA	NA	NA	NA	NA
Lechriodus fletcheri	LC	LC	LR/nt	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leiopelma archeyi	CR	NA	LR/nt	R	NA	CR	NA	NA	NA	NA	R	R	NA	NA	R	NA	NA	NA	NA	NA	NA	NA
Leiopelma hamiltoni	EN	NA	VU	V	NA	NA	NA	NA	NA	NA	R	R	VU	NA	R	NA	NA	NA	NA	NA	NA	NA
Leiopelma hochstetteri	VU	NA	LR/lc	R	NA	NA	VU	NA	NA	NA	R	R	LC	NA	R	NA	NA	NA	NA	NA	NA	NA
Leptodactylus marambaiae	LC	NA	DD	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leptopelis xenodactylus	EN	NA	VU	R	NA	EN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EN	NA
Litoria aurea	VU	VU	LR/nt	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Litoria brevipalmata	EN	EN	LR/nt	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Litoria castanea	CR	CR	CR	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Litoria dentata	LC	LC	LR/lc	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Litoria lesueurii	LC	LC	LR/lc	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Litoria nannotis	EN	EN	EN	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Litoria nyakalensis	CR	CR	CR	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Litoria pearsoniana	NT	NT	VU	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Litoria piperata	CR	CR	CR	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Litoria raniformis	EN	EN	EN	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Litoria rheocola	EN	EN	EN	V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Litoria spenceri	CR	CR	VU	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Litoria verreauxii	LC	NA	LR/lc	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Litoria lorica	CR	CR	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mantella aurantiaca	CR	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA
Melanobatrachus indicus	EN	NA	EN	I	NA	NA	NA	NA	NA	NA	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mertensiella caucasica	VU	NA	LR/nt	R	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA
Microbatrachella capensis	CR	NA	EN	E	NA	CR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CR	NA
Mixophyes balbus	NA	VU	VU	K	NA	NA	NA	NA	NA	VU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mixophyes fasciolatus	LC	LC	LR/nt	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mixophyes fleayi	EN	EN	EN	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mixophyes iteratus	EN	EN	EN	K	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sooglossus thomasseti	VU	NA	EN	R	CR	NA	NA	NA	NA	NA	R	R	NA	NA	I	NA	NA	NA	NA	NA	NA	NA
