species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Genetta tigrina	0.011119007	0.000109420	0.032924955	0.020900000
Genetta victoriae	0.011307072	0.000041880	0.032844138	0.018500000
Gulo gulo	0.009625521	0.000004762	0.030985916	0.021800000
Halichoerus grypus	0.011197927	0.000067393	0.031860359	0.013000000
Halichoerus grypus	0.010113343	0.000027751	0.030788915	0.011300000
Helarctos malayanus	0.017642989	0.000004861	0.047664923	0.120700000
Helogale hirtula	0.010753662	0.000102683	0.033039088	0.031200000
Helogale parvula	0.010806817	0.000066282	0.031570123	0.026000000
Hemigalus derbyanus	0.014143794	0.000006658	0.043765250	0.120700000
Herpailurus yagouaroundi	0.009902831	0.000003759	0.029935468	0.023300000
Herpestes auropunctatus	0.011241810	0.000081271	0.032725295	0.028500000
Herpestes brachyurus	0.013659130	0.000073717	0.040877293	0.112600000
Herpestes edwardsii	0.011088980	0.000010257	0.033224831	0.031100000
Herpestes flavescens	0.010170289	0.000136156	0.031366192	0.022200000
Herpestes fuscus	0.011520463	0.000007878	0.032933586	0.028900000
Herpestes ichneumon	0.010398341	0.000068223	0.031460538	0.020800000
Herpestes javanicus	0.010805076	0.000021289	0.033642379	0.029700000
Herpestes naso	0.010894953	0.000029380	0.032270159	0.020700000
Herpestes ochraceus	0.010986613	0.000114326	0.031823170	0.027000000
Herpestes pulverulentus	0.010443337	0.000174601	0.032518735	0.032100000
Herpestes sanguineus	0.010609976	0.000289237	0.031533099	0.030100000
Herpestes semitorquatus	0.013094096	0.000206356	0.039769047	0.103800000
Herpestes smithii	0.010684876	0.000026905	0.033095989	0.023500000
Herpestes urva	0.010096342	0.000487196	0.030499279	0.028000000
Herpestes vitticollis	0.011134680	0.000126037	0.031569004	0.027500000
Histriophoca fasciata	0.010339113	0.000021746	0.032305131	0.020200000
Hyaena hyaena	0.012610179	0.000030178	0.037461022	0.081300000
Hydrictis maculicollis	0.013253020	0.000106027	0.040153363	0.103400000
Hydrurga leptonyx	0.009748933	0.000044301	0.030703412	0.017000000
Ichneumia albicauda	0.011276061	0.000060213	0.033027900	0.023300000
Ictonyx libycus	0.010516946	0.000392295	0.033472652	0.025100000
Ictonyx striatus	0.010914433	0.000253895	0.032965797	0.028000000
Leopardus colocolo	0.012467104	0.000234668	0.038876345	0.094300000
Leopardus geoffroyi	0.010632555	0.000241954	0.031658792	0.019500000
Leopardus guigna	0.018959253	0.000014822	0.057846764	0.185600000
Leopardus guttulus	0.018080207	0.000052691	0.056609657	0.172800000
Leopardus jacobita	0.050112962	0.000226500	0.215147183	0.471800000
Leopardus pardalis	0.010590229	0.000414127	0.031000898	0.022700000
Leopardus tigrinus	0.018002398	0.000162633	0.052742451	0.158000000
Leopardus wiedii	0.013016867	0.000080755	0.037813711	0.091100000
Leptailurus serval	0.010526481	0.000047833	0.032091910	0.019300000
Leptonychotes weddellii	0.010287853	0.000003310	0.031955639	0.014500000
Liberiictis kuhni	0.020566781	0.000038008	0.065439853	0.224600000
Lobodon carcinophaga	0.010680231	0.000016641	0.031322785	0.013900000
Lontra canadensis	0.010274682	0.000084488	0.030695389	0.018300000
Lontra felina	0.052554502	0.000116375	0.230450764	0.476700000
Lontra longicaudis	0.013767749	0.000234333	0.042020432	0.109700000
