species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Abeillia abeillei	0.00017907	0.00015311	0.00020542	0.01770000
Abroscopus albogularis	0.00016001	0.00013562	0.00018587	0.01580000
Abroscopus schisticeps	0.00015703	0.00013328	0.00018157	0.01550000
Abroscopus superciliaris	0.00017872	0.00015336	0.00020401	0.01770000
Aburria aburri	0.00055773	0.00051079	0.00060474	0.05470000
Acanthagenys rufogularis	0.00016894	0.00014355	0.00019468	0.01670000
Acanthidops bairdi	0.00017612	0.00015117	0.00020289	0.01740000
Acanthis flammea	0.00017273	0.00014855	0.00019931	0.01710000
Acanthisitta chloris	0.00014066	0.00011745	0.00016396	0.01390000
Acanthiza apicalis	0.00015172	0.00012712	0.00017483	0.01500000
Acanthiza chrysorrhoa	0.00013845	0.00011600	0.00016230	0.01370000
Acanthiza cinerea	0.00015774	0.00013361	0.00018253	0.01560000
Acanthiza ewingii	0.00015959	0.00013497	0.00018438	0.01580000
Acanthiza inornata	0.00017005	0.00014517	0.00019558	0.01680000
Acanthiza iredalei	0.00016976	0.00014397	0.00019473	0.01680000
Acanthiza katherina	0.00014566	0.00012294	0.00016936	0.01440000
Acanthiza lineata	0.00015167	0.00012814	0.00017548	0.01500000
Acanthiza murina	0.00016385	0.00013868	0.00018872	0.01620000
Acanthiza nana	0.00014377	0.00012103	0.00016808	0.01420000
Acanthiza pusilla	0.00014168	0.00011877	0.00016572	0.01400000
Acanthiza reguloides	0.00015065	0.00012725	0.00017481	0.01490000
Acanthiza robustirostris	0.00014865	0.00012521	0.00017306	0.01470000
Acanthiza uropygialis	0.00016997	0.00014457	0.00019583	0.01680000
Acanthoptila nipalensis	0.00016475	0.00014088	0.00019107	0.01630000
Acanthorhynchus superciliosus	0.00015977	0.00013454	0.00018396	0.01580000
Acanthorhynchus tenuirostris	0.00014562	0.00012292	0.00016965	0.01440000
Acanthornis magna	0.00014969	0.00012617	0.00017265	0.01480000
Accipiter albogularis	0.00013462	0.00011187	0.00015659	0.01330000
Accipiter badius	0.00017706	0.00015101	0.00020309	0.01750000
Accipiter bicolor	0.00011334	0.00009269	0.00013406	0.01120000
Accipiter brachyurus	0.00233122	0.00223175	0.00243231	0.21170000
Accipiter brevipes	0.00016494	0.00014008	0.00019039	0.01630000
Accipiter butleri	0.00211357	0.00202086	0.00220758	0.19310000
Accipiter castanilius	0.00014472	0.00012149	0.00016833	0.01430000
Accipiter cirrocephalus	0.00015854	0.00013460	0.00018415	0.01570000
Accipiter collaris	0.00062783	0.00057818	0.00067736	0.06130000
Accipiter cooperii	0.00011841	0.00009754	0.00014041	0.01170000
Accipiter erythrauchen	0.00070749	0.00065367	0.00075973	0.06880000
Accipiter erythropus	0.00015482	0.00013153	0.00018056	0.01530000
Accipiter fasciatus	0.00013068	0.00010786	0.00015261	0.01290000
Accipiter francesiae	0.00016263	0.00013812	0.00018734	0.01610000
Accipiter gentilis	0.00010021	0.00008176	0.00011964	0.00990000
Accipiter griseiceps	0.00013265	0.00010965	0.00015412	0.01310000
Accipiter gularis	0.00014685	0.00012376	0.00017110	0.01450000
Accipiter gundlachi	0.00568476	0.00551168	0.00585215	0.43360000
Accipiter haplochrous	0.00071506	0.00066109	0.00076774	0.06950000
Accipiter henicogrammus	0.00063325	0.00058497	0.00068422	0.06180000
Accipiter henstii	0.00050907	0.00046516	0.00055398	0.04990000
Accipiter hiogaster	0.00017598	0.00014970	0.00020241	0.01740000
Accipiter imitator	0.00230410	0.00220185	0.00239909	0.20980000
Accipiter luteoschistaceus	0.00221246	0.00211714	0.00230854	0.20200000
Accipiter madagascariensis	0.00073400	0.00068179	0.00078824	0.07140000
