year	LC	NT	VU	EN	CR	EX
0	8433	1036	803	465	224	0
1	8423	1040	804	466	219	8
2	8413	1045	806	467	214	17
3	8403	1049	807	467	210	25
4	8393	1053	808	468	205	33
5	8384	1057	809	469	201	42
6	8374	1061	810	469	197	50
7	8365	1065	811	469	193	58
8	8355	1069	812	470	189	66
9	8346	1073	813	470	185	74
10	8336	1077	815	470	181	82
11	8327	1081	816	470	177	90
12	8318	1084	817	470	174	98
13	8309	1088	818	470	171	106
14	8300	1091	819	470	168	114
15	8291	1095	820	470	164	122
16	8282	1098	821	469	161	129
17	8273	1102	822	469	158	137
18	8264	1105	823	469	156	145
19	8255	1108	824	468	153	153
20	8247	1111	825	468	150	160
21	8238	1114	826	467	148	168
22	8229	1118	827	467	145	175
23	8221	1121	827	466	143	183
24	8212	1124	828	466	140	191
25	8204	1127	829	465	138	198
26	8195	1130	830	464	136	206
27	8187	1132	831	464	134	213
28	8178	1135	831	463	132	221
29	8170	1138	832	462	130	228
30	8162	1141	833	462	128	236
31	8154	1143	834	461	126	243
32	8145	1146	834	460	125	250
33	8137	1149	835	459	123	258
34	8129	1151	836	459	121	265
35	8121	1153	836	458	120	273
36	8113	1156	837	457	118	280
37	8105	1158	837	456	117	287
38	8098	1160	838	455	115	295
39	8090	1163	839	454	114	302
40	8082	1165	839	454	112	309
41	8074	1167	840	453	111	317
42	8067	1169	840	452	110	324
43	8059	1171	840	451	109	331
44	8051	1173	841	450	107	338
45	8044	1175	841	449	106	346
46	8036	1177	842	448	105	353
47	8029	1179	842	447	104	360
48	8021	1181	842	446	103	367
49	8014	1183	843	445	102	375
50	8006	1184	843	445	101	382
51	7999	1186	843	444	100	389
52	7992	1188	844	443	99	396
53	7984	1190	844	442	98	403
54	7977	1191	844	441	97	411
55	7969	1193	844	440	96	418
56	7962	1195	845	439	95	425
57	7955	1196	845	438	95	432
58	7948	1198	845	437	94	439
59	7941	1199	845	436	93	446
60	7933	1201	845	436	92	454
61	7926	1202	845	435	92	461
62	7919	1204	846	434	91	468
63	7912	1205	846	433	90	475
64	7905	1206	846	432	90	482
65	7898	1208	846	431	89	489
66	7891	1209	846	430	88	496
67	7884	1210	846	429	88	504
68	7877	1211	846	429	87	511
69	7871	1212	846	428	86	518
70	7864	1214	846	427	86	525
71	7857	1215	846	426	85	532
72	7850	1216	846	425	85	539
73	7843	1217	846	424	84	546
74	7837	1218	846	423	84	554
75	7830	1219	846	423	83	561
76	7823	1220	846	422	83	568
77	7817	1221	846	421	82	575
78	7810	1222	846	420	82	582
79	7803	1222	846	419	81	589
80	7796	1223	846	419	81	596
81	7790	1224	846	418	80	603
82	7783	1225	845	417	80	610
83	7777	1226	845	416	80	618
84	7770	1227	845	415	79	625
85	7764	1227	845	414	79	632
86	7757	1228	845	414	78	639
87	7751	1229	845	413	78	646
88	7744	1229	845	412	78	653
89	7738	1230	844	411	77	660
90	7731	1231	844	411	77	667
91	7725	1231	844	410	77	674
92	7719	1232	844	409	76	682
93	7712	1232	844	408	76	689
94	7706	1233	843	408	76	696
95	7699	1233	843	407	75	703
96	7693	1234	843	406	75	710
97	7687	1234	842	406	75	717
98	7681	1235	842	405	75	724
99	7674	1235	842	404	74	731
100	7668	1235	842	403	74	738
