species	rate_e_mean	rate_e_lower	rate_e_upper
Alopecoenas beccarii	0.00002494	0.00001520	0.00003476
Alopecoenas canifrons	0.00052323	0.00047678	0.00056837
Alopecoenas erythropterus	0.00237239	0.00226890	0.00247016
Alopecoenas hoedtii	0.00054056	0.00049394	0.00058621
Alopecoenas jobiensis	0.00001393	0.00000725	0.00002110
Alopecoenas johannae	0.00002890	0.00001932	0.00004014
Alopecoenas kubaryi	0.00024130	0.00021002	0.00027153
Alopecoenas rubescens	0.00054869	0.00050474	0.00059727
Alopecoenas sanctaecrucis	0.00053651	0.00049123	0.00058130
Alopecoenas stairi	0.00023190	0.00020262	0.00026147
Alopecoenas xanthonurus	0.00009114	0.00007354	0.00011069
Alophoixus bres	0.00011755	0.00009663	0.00013849
Alophoixus finschii	0.00010652	0.00008661	0.00012693
Alophoixus flaveolus	0.00002403	0.00001533	0.00003376
Alophoixus frater	0.00002311	0.00001393	0.00003235
Alophoixus griseiceps	0.00002113	0.00001298	0.00003047
Alophoixus ochraceus	0.00002120	0.00001251	0.00003034
Alophoixus pallidus	0.00001413	0.00000729	0.00002179
Alophoixus phaeocephalus	0.00002014	0.00001214	0.00002904
Alophoixus ruficrissus	0.00001800	0.00001004	0.00002609
Alophoixus tephrogenys	0.00002183	0.00001361	0.00003172
Alopochelidon fucata	0.00002081	0.00001227	0.00002961
Alopochen aegyptiaca	0.00001885	0.00001102	0.00002763
Amadina erythrocephala	0.00001605	0.00000884	0.00002417
Amadina fasciata	0.00002258	0.00001377	0.00003228
Amalocichla incerta	0.00002610	0.00001624	0.00003598
Amalocichla sclateriana	0.00002403	0.00001484	0.00003379
Amandava amandava	0.00001914	0.00001131	0.00002803
Amandava formosa	0.00024013	0.00021063	0.00027084
Amandava subflava	0.00001505	0.00000782	0.00002284
Amaurocichla bocagii	0.00024018	0.00020975	0.00027172
Amaurolimnas concolor	0.00002214	0.00001350	0.00003177
Amaurornis cinerea	0.00002626	0.00001666	0.00003631
Amaurornis isabellina	0.00001588	0.00000854	0.00002376
Amaurornis magnirostris	0.00021580	0.00018755	0.00024512
Amaurornis marginalis	0.00002390	0.00001471	0.00003369
Amaurornis moluccana	0.00001695	0.00000914	0.00002509
Amaurornis olivacea	0.00001709	0.00000948	0.00002531
Amaurornis phoenicurus	0.00002415	0.00001489	0.00003354
Amaurospiza moesta	0.00001506	0.00000790	0.00002266
Amaurospiza relicta	0.00002011	0.00001173	0.00002915
Amazilia alfaroana	0.00228651	0.00218371	0.00238086
Amazilia amabilis	0.00001090	0.00000478	0.00001723
Amazilia amazilia	0.00001812	0.00001017	0.00002673
Amazilia bartletti	0.00001104	0.00000503	0.00001783
Amazilia beryllina	0.00001674	0.00000913	0.00002465
Amazilia boucardi	0.00057262	0.00052548	0.00061897
Amazilia brevirostris	0.00001583	0.00000858	0.00002369
Amazilia candida	0.00002297	0.00001381	0.00003243
Amazilia castaneiventris	0.00010228	0.00008295	0.00012196
Amazilia chionogaster	0.00002108	0.00001282	0.00003016
Amazilia cupreicauda	0.00000898	0.00000369	0.00001477
Amazilia cyanifrons	0.00001100	0.00000519	0.00001750
Amazilia cyanocephala	0.00002315	0.00001467	0.00003305
Amazilia cyanura	0.00001402	0.00000727	0.00002135
Amazilia decora	0.00002096	0.00001251	0.00002994
Amazilia edward	0.00002690	0.00001731	0.00003750
Amazilia fimbriata	0.00002809	0.00001830	0.00003870
Amazilia franciae	0.00002210	0.00001338	0.00003172
Amazilia grayi	0.00001993	0.00001175	0.00002874
Amazilia humboldtii	0.00001705	0.00000979	0.00002522
Amazilia lactea	0.00001693	0.00000950	0.00002551
Amazilia leucogaster	0.00002222	0.00001305	0.00003142
Amazilia luciae	0.00056915	0.00052437	0.00061756
Amazilia rosenbergi	0.00002111	0.00001248	0.00003019
Amazilia rutila	0.00001611	0.00000873	0.00002399
Amazilia sapphirina	0.00002103	0.00001249	0.00003002
Amazilia saucerottei	0.00001393	0.00000706	0.00002146
Amazilia tobaci	0.00002492	0.00001535	0.00003475
Amazilia tzacatl	0.00002294	0.00001345	0.00003186
Amazilia versicolor	0.00002310	0.00001459	0.00003278
Amazilia violiceps	0.00001319	0.00000630	0.00002047
Amazilia viridicauda	0.00001810	0.00001046	0.00002702
Amazilia viridifrons	0.00001377	0.00000710	0.00002104
Amazilia viridigaster	0.00002293	0.00001399	0.00003225
Amazilia wagneri	0.00002506	0.00001574	0.00003542
Amazilia yucatanensis	0.00002199	0.00001362	0.00003124
Amazona aestiva	0.00009736	0.00007900	0.00011766
Amazona agilis	0.00022794	0.00019917	0.00025757
Amazona albifrons	0.00001693	0.00000926	0.00002481
Amazona amazonica	0.00002426	0.00001538	0.00003375
Amazona arausiaca	0.00022289	0.00019482	0.00025352
Amazona auropalliata	0.00059531	0.00054831	0.00064434
Amazona autumnalis	0.00002002	0.00001158	0.00002862
Amazona barbadensis	0.00020759	0.00017977	0.00023672
Amazona bodini	0.00009252	0.00007364	0.00011148
Amazona brasiliensis	0.00010153	0.00008151	0.00012086
Amazona collaria	0.00021860	0.00018729	0.00024597
Amazona diadema	0.00057015	0.00052421	0.00061817
Amazona dufresniana	0.00011009	0.00008935	0.00013073
Amazona farinosa	0.00008935	0.00007130	0.00010825
Amazona festiva	0.00010717	0.00008809	0.00012799
Amazona finschi	0.00056804	0.00052292	0.00061671
Amazona guatemalae	0.00012457	0.00010356	0.00014670
Amazona guildingii	0.00023425	0.00020468	0.00026396
Amazona imperialis	0.00224104	0.00214521	0.00233794
Amazona kawalli	0.00011536	0.00009421	0.00013670
Amazona leucocephala	0.00010129	0.00008153	0.00012209
Amazona lilacina	0.00054969	0.00050476	0.00059714
Amazona mercenarius	0.00001602	0.00000842	0.00002374
Amazona ochrocephala	0.00001984	0.00001144	0.00002842
Amazona oratrix	0.00057325	0.00052548	0.00062074
Amazona pretrei	0.00022959	0.00019944	0.00025863
Amazona rhodocorytha	0.00024413	0.00021486	0.00027604
Amazona tucumana	0.00020664	0.00017867	0.00023529
Amazona ventralis	0.00026167	0.00023117	0.00029383
Amazona versicolor	0.00022485	0.00019517	0.00025500
Amazona vinacea	0.00055719	0.00051106	0.00060514
Amazona viridigenalis	0.00055902	0.00051183	0.00060524
Amazona vittata	0.00236901	0.00226653	0.00246530
Amazona xantholora	0.00001298	0.00000610	0.00001971
Amazonetta brasiliensis	0.00002101	0.00001274	0.00002994
Amblycercus holosericeus	0.00002408	0.00001459	0.00003346
Amblyornis flavifrons	0.00002300	0.00001430	0.00003245
Amblyornis inornata	0.00001821	0.00001075	0.00002723
Amblyornis macgregoriae	0.00002386	0.00001461	0.00003409
Amblyornis subalaris	0.00001786	0.00000990	0.00002608
Amblyospiza albifrons	0.00002019	0.00001215	0.00002935
Amblyramphus holosericeus	0.00002399	0.00001478	0.00003393
Ammodramus aurifrons	0.00001990	0.00001167	0.00002883
Ammodramus humeralis	0.00002620	0.00001684	0.00003634
Ammodramus savannarum	0.00002505	0.00001595	0.00003559
Ammomanes cinctura	0.00002197	0.00001341	0.00003172
Ammomanes deserti	0.00001475	0.00000768	0.00002229
Ammomanes phoenicura	0.00001608	0.00000894	0.00002396
Ammomanopsis grayi	0.00002718	0.00001716	0.00003772
Ammonastes pelzelni	0.00001899	0.00001145	0.00002796
Ammoperdix griseogularis	0.00002192	0.00001295	0.00003127
Ammoperdix heyi	0.00001687	0.00000936	0.00002486
Ammospiza caudacuta	0.00058556	0.00054036	0.00063485
Ammospiza leconteii	0.00001825	0.00001044	0.00002688
Ammospiza maritima	0.00001302	0.00000657	0.00002050
Ammospiza nelsoni	0.00001513	0.00000796	0.00002295
Ampeliceps coronatus	0.00003102	0.00002005	0.00004218
Ampelioides tschudii	0.00002486	0.00001575	0.00003531
Ampelion rubrocristatus	0.00002491	0.00001548	0.00003423
Ampelion rufaxilla	0.00001499	0.00000776	0.00002235
Ampelornis griseiceps	0.00023018	0.00020195	0.00026032
Amphilais seebohmi	0.00002291	0.00001402	0.00003208
Amphispiza bilineata	0.00001799	0.00001026	0.00002682
Amphispiza quinquestriata	0.00002292	0.00001383	0.00003225
Amytornis ballarae	0.00001809	0.00000978	0.00002620
Amytornis barbatus	0.00002292	0.00001426	0.00003297
Amytornis dorotheae	0.00022571	0.00019667	0.00025563
Amytornis goyderi	0.00002687	0.00001688	0.00003686
Amytornis housei	0.00009644	0.00007746	0.00011561
Amytornis merrotsyi	0.00010342	0.00008427	0.00012350
Amytornis modestus	0.00002107	0.00001279	0.00003054
Amytornis purnelli	0.00001695	0.00000948	0.00002527
Amytornis striatus	0.00001409	0.00000691	0.00002151
