species	simulated_ext_prob_in_100_years
Abeillia abeillei	0.00150000
Abroscopus albogularis	0.00210000
Abroscopus schisticeps	0.00230000
Abroscopus superciliaris	0.00270000
Aburria aburri	0.01010000
Acanthagenys rufogularis	0.00160000
Acanthidops bairdi	0.00220000
Acanthis flammea	0.00110000
Acanthisitta chloris	0.00270000
Acanthiza apicalis	0.00190000
Acanthiza chrysorrhoa	0.00170000
Acanthiza cinerea	0.00180000
Acanthiza ewingii	0.00130000
Acanthiza inornata	0.00230000
Acanthiza iredalei	0.00190000
Acanthiza katherina	0.00130000
Acanthiza lineata	0.00080000
Acanthiza murina	0.00250000
Acanthiza nana	0.00250000
Acanthiza pusilla	0.00220000
Acanthiza reguloides	0.00200000
Acanthiza robustirostris	0.00220000
Acanthiza uropygialis	0.00170000
Acanthoptila nipalensis	0.00230000
Acanthorhynchus superciliosus	0.00210000
Acanthorhynchus tenuirostris	0.00220000
Acanthornis magna	0.00180000
Accipiter albogularis	0.00220000
Accipiter badius	0.00190000
Accipiter bicolor	0.00240000
Accipiter brachyurus	0.02230000
Accipiter brevipes	0.00200000
Accipiter butleri	0.02170000
Accipiter castanilius	0.00190000
Accipiter cirrocephalus	0.00170000
Accipiter collaris	0.00960000
Accipiter cooperii	0.00170000
Accipiter erythrauchen	0.01000000
Accipiter erythropus	0.00200000
Accipiter fasciatus	0.00050000
Accipiter francesiae	0.00130000
Accipiter gentilis	0.00250000
Accipiter griseiceps	0.00230000
Accipiter gularis	0.00130000
Accipiter gundlachi	0.05120000
Accipiter haplochrous	0.01070000
Accipiter henicogrammus	0.01080000
Accipiter henstii	0.01240000
Accipiter hiogaster	0.00240000
Accipiter imitator	0.02200000
Accipiter luteoschistaceus	0.02260000
Accipiter madagascariensis	0.01150000
Accipiter melanochlamys	0.00240000
Accipiter melanoleucus	0.00280000
Accipiter meyerianus	0.00230000
Accipiter minullus	0.00180000
Accipiter nanus	0.01120000
Accipiter nisus	0.00170000
Accipiter novaehollandiae	0.00110000
Accipiter ovampensis	0.00200000
Accipiter poliocephalus	0.00180000
Accipiter poliogaster	0.01080000
Accipiter princeps	0.02420000
Accipiter rhodogaster	0.00200000
Accipiter rufitorques	0.00200000
Accipiter rufiventris	0.00240000
Accipiter soloensis	0.00180000
Accipiter striatus	0.00290000
Accipiter superciliosus	0.00230000
Accipiter sylvestris	0.00140000
