species	2016	2008	1996	1994	2015	2002	1990	1988	1986	2004	2019	2000	2013	2006	1965	1992	2017	2003	2018	2014	1982	2007	2009	2010	2012	2011
Cryptotis celaque											DD															
Cryptotis colombiana		LC															LC									
Cryptotis endersi		EN	EN																EN							
Cryptotis equatoris	LC	LC																								
Cryptotis goldmani	LC	LC	LR/lc																							
Cryptotis goodwini																	LC									
Cryptotis gracilis		VU	VU																							
Cryptotis griseoventris																	EN									
Cryptotis hondurensis		DD	VU								DD															
Cryptotis lacertosus																	DD									
Cryptotis magna		VU	LR/lc																VU							
Cryptotis mam																	DD									
Cryptotis mayensis	LC	LC																								
Cryptotis mccarthyi											DD															
Cryptotis medellinia	LC	LC																								
Cryptotis meridensis																	VU									
Cryptotis merriami	LC	LC																								
Cryptotis merus		EN																	EN							
Cryptotis mexicana	LC	LC	LR/lc																							
Cryptotis montivaga	LC	LC	LR/lc																							
Cryptotis nelsoni		CR																	CR					CR		
Cryptotis niausia											DD															
Cryptotis nigrescens	LC	LC	LR/lc																							
Cryptotis obscura	LC	VU																								
Cryptotis orophila		DD																								
Cryptotis parva	LC	LC	LR/lc																							
Cryptotis peregrina	DD	DD																								
Cryptotis perijensis											DD															
Cryptotis peruviensis		DD									DD															
Cryptotis phillipsii		VU																	VU							
Cryptotis squamipes	LC	LC	LR/lc																							
Cryptotis tamensis		LC															LC		LC							
Cryptotis thomasi	LC	LC	LR/lc																LC							
Cryptotis tropicalis		DD																								
Cryptotis venezuelensis																	DD									
Ctenodactylus gundi		LC	LR/lc							LC																
Ctenodactylus vali	DD	DD	LR/lc							DD																
Ctenomys argentinus		NT	LR/lc																							
Ctenomys australis		EN	LR/lc										EN						EN							
Ctenomys azarae		VU	LR/lc																							
Ctenomys bergi		VU																								
Ctenomys boliviensis	LC	LC	LR/lc																							
Ctenomys bonettoi		EN	LR/lc																EN							
Ctenomys brasiliensis		DD	LR/lc								DD															
Ctenomys colburni		DD	LR/lc								DD															
Ctenomys coludo		DD									DD															
Ctenomys conoveri	LC	LC	LR/lc																							
Ctenomys coyhaiquensis		DD									DD															
Ctenomys dorbignyi		NT																								
Ctenomys dorsalis		DD	LR/lc								DD															
Ctenomys emilianus		NT	LR/lc																							
Ctenomys famosus		DD									DD															
Ctenomys flamarioni		EN																								
Ctenomys fochi		DD									DD															
Ctenomys fodax		DD									DD															
Ctenomys frater																	LC									
Ctenomys fulvus		LC	LR/lc								DD															
Ctenomys goodfellowi	LC	LC																								
Ctenomys haigi	LC	LC	LR/lc																							
Ctenomys johannis		DD									DD															
Ctenomys juris		DD									DD															
Ctenomys knighti		DD	LR/lc								DD															
Ctenomys lami		VU																	VU							
Ctenomys latro		VU	LR/nt																							
Ctenomys leucodon	LC	LC	LR/lc																							
Ctenomys lewisi	LC	LC	LR/lc																							
Ctenomys magellanicus		VU	LR/lc								LC	VU														
Ctenomys maulinus	LC	LC	LR/lc																							
Ctenomys mendocinus	LC	LC	LR/lc																							
Ctenomys minutus		DD	LR/lc								DD															
Ctenomys occultus		EN	LR/lc																EN							
Ctenomys opimus	LC	LC	LR/lc																							
Ctenomys osvaldoreigi		CR																	CR							
Ctenomys pearsoni		NT	LR/lc																							
Ctenomys perrensi	LC	LC	LR/lc																							
Ctenomys peruanus	LC	LC	LR/lc																							
Ctenomys pilarensis		EN																								
Ctenomys pontifex		DD	LR/lc								DD															
Ctenomys porteousi		NT	LR/lc																							
Ctenomys pundti		VU																								
Ctenomys rionegrensis		EN																	EN							
Ctenomys roigi		CR																	CR							
Ctenomys saltarius		DD	LR/lc								DD															
Ctenomys scagliai		DD									DD															
Ctenomys sericeus		DD	LR/lc								DD															
Ctenomys sociabilis		CR	LR/nt																CR							
Ctenomys steinbachi	LC	LC	LR/lc																							
Ctenomys talarum	LC	LC	LR/lc																							
Ctenomys torquatus	LC	LC	LR/lc										LC													
Ctenomys tuconax		DD	LR/lc								DD															
Ctenomys tucumanus		DD	LR/lc								DD															
Ctenomys tulduco		DD									DD															
Ctenomys validus		DD	LR/lc								DD															
Ctenomys viperinus		DD																	DD							
Ctenomys yolandae		DD									DD															
Cuniculus paca	LC	LC	LR/lc																							
Cuniculus taczanowskii	NT	NT	LR/nt																							
Cuon alpinus		EN	VU	V	EN		V	V	V	EN																
Cuscomys ashaninka	DD	DD																								
Cuscomys oblativa	DD	EX																								
Cyclopes didactylus		LC	LR/lc											LC						LC						LC
Cynictis penicillata		LC	LR/lc		LC																					
Cynocephalus volans		LC	VU																							
Cynogale bennettii		EN	EN	E	EN		K	K																		
Cynomops abrasus	DD	DD	LR/nt																							
Cynomops greenhalli		LC	LR/lc		LC																					
Cynomops mexicanus		LC			LC																					
Cynomops milleri	LC																									
Cynomops paranus	DD																									
Cynomops planirostris		LC	LR/lc		LC																					
Cynomys gunnisoni	LC	LC	LR/lc																							
Cynomys leucurus	LC	LC	LR/lc																							
Cynomys ludovicianus	LC	LC	LR/lc									LR/nt														
Cynomys mexicanus		EN	EN	E			E												EN							
Cynomys parvidens		EN	LR/cd	V			V	V	V			LR/cd							EN		V					
Cynopterus brachyotis		LC	LR/lc																							
Cynopterus horsfieldii		LC	LR/lc																							
Cynopterus luzoniensis		LC																								
Cynopterus minutus		LC																								
Cynopterus nusatenggara		LC	LR/nt																							
Cynopterus sphinx		LC	LR/lc																							
Cynopterus titthaecheilus	LC	LC	LR/lc																							
Cystophora cristata	VU	VU	LR/lc																							
Cyttarops alecto	LC	LC	LR/nt																							
Dacnomys millardi	DD	DD	LR/lc																							
Dactylomys boliviensis	LC	LC	LR/lc																							
Dactylomys dactylinus	LC	LC	LR/lc																							
Dactylomys peruanus	DD	DD	LR/lc									DD														
Dactylonax palpator	LC	LC	LR/lc																							
Dactylopsila megalura	LC	LC	VU	V																						
Dactylopsila tatei	EN	EN	EN	E																						
Dactylopsila trivirgata	LC	LC	LR/lc																							
Dama dama		LC	LR/lc																							
Dama mesopotamica		EN	EN	E	EN		E	E	E					VU										EN		EN
Damaliscus lunatus	LC	LC	LR/cd																							
Damaliscus pygargus		LC	LR/cd				R				LC															
Dasycercus blythi	LC	LC	EN																							
Dasycercus cristicauda	NT	LC	VU	V																						
Dasykaluta rosamondae	LC	LC	LR/lc																							
Dasymys foxi		DD	LR/nt							VU		LR/nt					DD									
Dasymys incomtus	LC	LC	LR/lc							LC		DD														
Dasymys montanus	EN	EN	VU							VU		VU														
Dasymys nudipes		DD	LR/lc							NT		DD					DD									
Dasymys rufulus	LC	LC	LR/lc							LC		DD														
Dasyprocta azarae	DD	DD	VU																							
Dasyprocta coibae		VU	EN								NT															
Dasyprocta croconota	DD																									
Dasyprocta fuliginosa	LC	LC	LR/lc																							
Dasyprocta guamara		NT	LR/lc																NT							
Dasyprocta iacki	DD																									
Dasyprocta kalinowskii	DD	DD	DD																							
Dasyprocta leporina	LC																									
Dasyprocta mexicana		CR	LR/nt																							
Dasyprocta prymnolopha	LC	LC	LR/lc																							
Dasyprocta punctata	LC																									
Dasyprocta ruatanica	EN	EN	EN																							
Dasyprocta variegata	DD																									
Dasypus hybridus		NT	LR/lc											NT						NT				NT		
Dasypus kappleri		LC	LR/lc											LC						LC				LC		
Dasypus novemcinctus		LC	LR/lc											LC						LC				LC		
Dasypus pilosus		VU	VU											VU						DD				VU		
Dasypus sabanicola		LC	DD											LC						NT				LC		
Dasypus septemcinctus		LC	LR/lc											LC						LC				LC		
Dasypus yepesi		DD												DD						DD				DD		
Dasyuroides byrnei		VU	VU	E							VU															
Dasyurus albopunctatus	NT	NT	VU																							
Dasyurus geoffroii		NT	VU	E							NT															
Dasyurus hallucatus	EN	EN	LR/nt																							
Dasyurus maculatus		NT	VU																NT							
Dasyurus spartacus	NT	NT	VU																							
Dasyurus viverrinus	EN	NT	LR/nt																							
Daubentonia madagascariensis		NT	EN	E			E	E	E			EN								EN						
Delanymys brooksi	VU	VU	LR/lc	R						EN																
Delomys collinus	LC	LC																								
Delomys dorsalis	LC	LC	LR/lc																							
Delomys sublineatus	LC	LC	LR/lc																							
Delphinapterus leucas		NT	VU	K			K	K									LC								NT	
Delphinus capensis		DD	LR/lc																							
Delphinus delphis		LC	LR/lc	K																						
Deltamys kempi	LC	LC	LR/lc																							
Dendrogale melanura		DD	VU								DD															
Dendrogale murina	LC	LC	LR/lc																							
Dendrohyrax arboreus		LC	LR/lc		LC									LC												
Dendrohyrax dorsalis		LC	LR/lc		LC									LC												
Dendrohyrax validus		LC			NT																					
Dendrolagus bennettianus		NT	LR/nt								NT															
Dendrolagus dorianus	VU	VU	VU	V			V	V	V												V					
Dendrolagus goodfellowi	EN	EN	EN	E			V	V	V												V					
Dendrolagus inustus	VU	VU	DD	V																						
Dendrolagus lumholtzi	NT	LC	LR/nt																							
Dendrolagus matschiei	EN	EN	EN	V																						
Dendrolagus mayri	CR	CR																								
Dendrolagus mbaiso	EN	CR	VU																					EN		
Dendrolagus notatus	EN	EN																								
Dendrolagus pulcherrimus	CR	CR																								
Dendrolagus scottae		CR	EN	E							CR															
Dendrolagus spadix	VU	LC	DD	V																						
Dendrolagus stellarum	VU	VU																								
Dendrolagus ursinus	VU	VU	DD	V																						
Dendromus insignis	LC	LC	LR/lc							LC																
Dendromus kahuziensis		CR	LR/nt	R						CR																
Dendromus kivu		LC	LR/lc							LC							LC									
Dendromus lachaisei	DD																									
Dendromus lovati	LC	LC	LR/nt							VU																
Dendromus melanotis	LC	LC	LR/lc							LC																
Dendromus mesomelas	LC	LC	LR/lc							LC																
Dendromus messorius	LC	LC	LR/lc							LC																
Dendromus mystacalis	LC	LC	LR/lc							LC																
Dendromus nyikae	LC	LC	LR/lc							LC																
Dendromus oreas	LC	VU	VU							VU																
Dendromus ruppi	DD																									
Dendromus vernayi	DD	DD	CR							DD																
Dendroprionomys rousseloti	DD	DD	LR/nt	R						DD																
Deomys ferrugineus	LC	LC	LR/lc							LC																
Dephomys defua	LC	LC	LR/lc							LC																
Dermanura anderseni	LC	LC	LR/lc																							
Dermanura azteca	LC	LC	LR/lc																							
Dermanura bogotensis																	LC									
Dermanura cinerea	LC	LC	LR/lc																							
Dermanura glauca					LC																					
Dermanura gnoma		LC	LR/lc		LC																					
Dermanura phaeotis					LC																					
Dermanura rava											LC															
Dermanura rosenbergi	DD	DD																								
Dermanura tolteca		LC	LR/lc		LC																					
Dermanura watsoni	LC																									
Desmana moschata	EN	VU	VU	V			V	V	V																	
Desmodilliscus braueri	LC	LC	LR/lc							LC																
Desmodillus auricularis	LC	LC	LR/lc							LC																
Desmodus rotundus		LC	LR/lc		LC																					
Desmomys harringtoni	LC	LC	LR/lc							LC																
Desmomys yaldeni	VU	EN								EN																
Diaemus youngi		LC	LR/lc		LC																					
Dicerorhinus sumatrensis		CR	CR	E			E	E	E																	
Diceros bicornis		CR	CR	E		CR	E	E	E									CR							CR	CR
Diclidurus albus	LC	LC	LR/lc																							
Diclidurus ingens	DD	DD	VU																							
Diclidurus isabella	LC	LC	LR/nt																							
Diclidurus scutatus	LC	LC	LR/lc																							
Dicrostonyx groenlandicus	LC	LC	LR/lc																							
Dicrostonyx hudsonius	LC	LC	LR/lc																							
Dicrostonyx nelsoni	LC	LC	LR/lc																							
Dicrostonyx nunatakensis	LC	LC	DD																							
Dicrostonyx richardsoni	LC	LC	LR/lc																							
Dicrostonyx torquatus	LC	LC	LR/lc																							
Dicrostonyx unalascensis		DD	DD								DD	DD														
Dicrostonyx vinogradovi	DD	DD	CR																							
Didelphis albiventris		LC	LR/lc		LC																					
Didelphis aurita		LC	LR/lc		LC																					LC
Didelphis imperfecta	LC	LC																								LC
Didelphis marsupialis	LC	LC	LR/lc																							
Didelphis pernigra	LC	LC																								
Didelphis virginiana	LC	LC	LR/lc																							
Dinaromys bogdanovi		VU	LR/nt																VU							
Dinomys branickii		VU	EN	E			E										LC									
Diomys crumpi	DD	DD	LR/nt																							
Diphylla ecaudata	LC	LC	LR/nt																							
Diplogale hosei		VU	VU	I	VU																					
Diplomesodon pulchellum	LC	LC	LR/lc																							
Diplomys caniceps	DD	DD	LR/nt																							
Diplomys labilis	LC	LC	LR/lc																							
Diplothrix legata	EN	EN	LR/nt	V								EN														
Dipodomys agilis	LC	LC	LR/lc																							
Dipodomys californicus	LC	LC	LR/lc																							
Dipodomys compactus	LC	LC	LR/lc																							
Dipodomys deserti	LC	LC	LR/lc																							
Dipodomys elator		VU	VU	R			R	R	R										VU		R					
Dipodomys gravipes		CR	EN	E			E	E											CR							
Dipodomys heermanni	LC	LC	LR/lc																							
Dipodomys ingens		EN	CR	I			I	I				CR							EN							
Dipodomys merriami	LC																									
Dipodomys microps	LC	LC	LR/lc																							
Dipodomys nelsoni	LC	LC	LR/lc																							
Dipodomys nitratoides		VU	LR/nt																VU							
Dipodomys ordii	LC	LC	LR/lc																							
Dipodomys ornatus											LC															
Dipodomys panamintinus	LC	LC	LR/lc																							
Dipodomys phillipsii	LC																									
Dipodomys simulans	LC	LC																								
Dipodomys spectabilis		NT	LR/lc																							
Dipodomys stephensi		EN	LR/cd	E			E	I											VU							
Dipodomys venustus	LC	LC	LR/lc																							
Dipus sagitta	LC	LC	LR/lc																							
Distoechurus pennatus	LC	LC	LR/lc																							
Dobsonia anderseni		LC																								
Dobsonia beauforti	LC	LC	EN																							
Dobsonia chapmani		CR	EX	Ex?			Ex?	Ex?						CR												
Dobsonia crenulata		LC																								
Dobsonia emersa		VU	VU																							
Dobsonia exoleta		LC	LR/nt																							
Dobsonia inermis	LC	LC	LR/lc																							
Dobsonia minor		LC	LR/nt	R			K	K																		
Dobsonia moluccensis	LC																									
Dobsonia pannietensis		NT	LR/lc																							
Dobsonia peronii		LC	VU	I																						
Dobsonia praedatrix		LC	LR/nt																							
Dobsonia viridis	LC	LC	LR/lc																							
Dolichotis patagonum	NT	NT	LR/nt																							
Dolichotis salinicola	LC	LC	LR/nt																							
Dologale dybowskii		DD	LR/lc		DD																					
Dorcatragus megalotis	VU	VU	VU	K			K	K	K													VU				
Dorcopsis atrata	CR	CR	EN	V			R	R	R												R					
Dorcopsis hageni	LC	LC	LR/lc																							
Dorcopsis luctuosa	VU	VU	LR/lc																							
Dorcopsis muelleri	LC	LC	LR/lc																							
Dorcopsulus macleayi	LC	LC	VU	V			R	R	R												R					
Dorcopsulus vanheurni	NT	NT	LR/lc																							
Dremomys everetti	LC	LC	LR/lc																							
Dremomys gularis		LC									DD															
Dremomys lokriah	LC	LC	LR/lc																							
Dremomys pernyi	LC	LC	LR/lc																							
Dremomys pyrrhomerus	LC	LC	LR/lc																							
Dremomys rufigenis		LC	LR/lc														LC									
Dromiciops gliroides		NT	VU		NT																					
Dryadonycteris capixaba											DD															
Drymoreomys albimaculatus											NT															
Dryomys laniger		DD	LR/nt								DD															
Dryomys niethammeri		VU				VU											VU									
Dryomys nitedula	LC	LC	LR/nt																							
Dugong dugon		VU	VU	V	VU		V	V	V					VU							V					
Dyacopterus brooksi		VU																								
Dyacopterus spadiceus		NT	LR/nt	R			K	K																		
Dymecodon pilirostris	LC	LC	LR/lc																							
Echimys chrysurus	LC	LC	VU																							
Echimys saturnus	DD	DD	LR/lc																							
Echimys vieirai	DD	DD																								
Echinops telfairi	LC	LC	LR/lc		LC									LC												
Echinosorex gymnura	LC	LC	LR/lc																							
Echiothrix centrosa		VU																								
Echiothrix leucura	EN	EN	LR/lc																							
Echymipera clara	LC	LC	DD	R			R	R	R												R					
Echymipera davidi	EN	EN	DD																							
Echymipera echinista	DD	DD	DD	K																						
Echymipera kalubu	LC	LC	LR/lc																							
Echymipera rufescens	LC	LC	LR/lc																							
Ectophylla alba		NT	LR/lc		NT							LR/nt														
Eidolon dupreanum		VU	LR/lc																							
Eidolon helvum		NT	LR/lc							LC																
Eira barbara	LC	LC	LR/lc																							
Elaphodus cephalophus		NT	DD		NT																					
Elephantulus brachyrhynchus		LC	LR/lc		LC									LC												
Elephantulus edwardii		LC	VU		LC									LC				LC								
Elephantulus fuscipes		DD	LR/lc		DD									DD												
Elephantulus fuscus		DD	LR/lc		DD									DD												
Elephantulus intufi		LC	LR/lc		LC									LC												
Elephantulus myurus		LC	LR/lc		LC									LC												
Elephantulus pilicaudus					DD																		DD			
Elephantulus revoilii		DD	EN		DD									DD												
Elephantulus rozeti		LC	LR/lc		LC									LC												
Elephantulus rufescens		LC	LR/lc		LC									LC												
Elephantulus rupestris		LC	VU		LC									LC				LC								
Elephas maximus		EN	EN	E			E	E	E																	
Eligmodontia moreni	LC	LC	LR/lc																							
Eligmodontia morgani	LC	LC	LR/lc																							
Eligmodontia puerulus	LC	LC	LR/lc																							
Eligmodontia typus	LC																									
Eliomys melanurus	LC	LC	LR/nt							LC																
Eliomys munbyanus		LC																								
Eliomys quercinus		NT	VU																							
Eliurus antsingy	DD																									
Eliurus carletoni	LC																									
Eliurus danieli	LC	DD																								
Eliurus ellermani	DD	DD																								
Eliurus grandidieri	LC	LC																								
Eliurus majori	LC	LC	EN																							
Eliurus minor	LC	LC	LR/lc	K																						
Eliurus myoxinus	LC	LC	LR/lc																							
Eliurus penicillatus	EN	EN	CR																							
Eliurus petteri	EN	VU																								
Eliurus tanala	LC	LC	LR/lc																							
Eliurus webbi	LC	LC	LR/nt																							
Ellobius alaicus	DD	DD	EN																							
Ellobius fuscocapillus	LC	LC	LR/lc																							
Ellobius lutescens	LC	LC	LR/lc																							
Ellobius talpinus	LC	LC	LR/lc		LC																					
Ellobius tancrei	LC	LC	LR/lc																							
Emballonura alecto		LC	LR/lc																							
Emballonura beccarii		LC	LR/lc																							
Emballonura dianae		LC	VU																							
Emballonura furax		DD	VU	K			K	K									LC									
Emballonura monticola		LC	LR/lc																							
Emballonura raffrayana		LC	LR/cd	K			K	K				LR/nt														
Emballonura semicaudata		EN	EN	V								EN														
Emballonura serii		LC										DD														
Enchisthenes hartii		LC	LR/lc																LC							
Enhydra lutris		EN	LR/lc		EN							EN														EN
Eoglaucomys fimbriatus	LC	LC	LR/nt																							
Eolagurus luteus	LC	LC	LR/cd																							
Eolagurus przewalskii	LC	LC	LR/lc																							
Eonycteris major		DD	LR/lc																							
Eonycteris robusta		NT																								
Eonycteris spelaea		LC	LR/lc																							
Eospalax fontanierii	LC	LC	VU																							
Eospalax rothschildi	LC	LC	LR/nt																							
Eospalax smithii	LC	LC	LR/nt																							
Eothenomys cachinus	LC	LC																								
Eothenomys chinensis	LC	LC	LR/lc																							
Eothenomys custos	LC	LC	LR/lc																							
Eothenomys melanogaster	LC	LC	LR/lc																							
Eothenomys miletus	LC	LC																								
Eothenomys olitor	LC	LC	LR/lc																							
Eothenomys proditor		LC	LR/lc								DD															
Eothenomys wardi	NT	NT																								
Eozapus setchuanus	LC	LC	VU																							
Episoriculus caudatus	LC	LC	LR/lc																							
Episoriculus fumidus	LC	LC	LR/lc																							
Episoriculus leucops	LC	LC	LR/lc																							
Episoriculus macrurus	LC	LC	LR/lc																							
Epixerus ebii	LC	LC	LR/nt	K						DD																
Epomophorus angolensis	NT	NT	LR/nt	R						NT																
Epomophorus anselli	DD	DD																								
Epomophorus crypturus	LC	LC								LC																
Epomophorus gambianus	LC	LC	LR/lc							LC																
Epomophorus grandis	DD	DD	EN	R						DD		DD														
Epomophorus labiatus	LC																									
Epomophorus minimus	LC	LC	LR/lc							LC																
Epomophorus minor	LC																									
Epomophorus wahlbergi	LC	LC	LR/lc							LC																
Epomops buettikoferi	LC	LC	VU	V						LC																
Epomops dobsonii	LC	LC	LR/lc							LC																
Epomops franqueti	LC	LC	LR/lc							LC																
Eptesicus andinus	LC	LC	LR/lc																							
Eptesicus bobrinskoi		LC	LR/nt									LR/lc														
Eptesicus bottae		LC	LR/lc							LC																
Eptesicus brasiliensis	LC	LC	LR/lc																							
Eptesicus chiriquinus		LC									LC															
Eptesicus diminutus	LC	DD	LR/lc																							
Eptesicus dimissus	DD	DD	VU																							
Eptesicus floweri		LC	LR/nt							VU							LC									
Eptesicus furinalis	LC	LC	LR/lc																							
Eptesicus fuscus	LC	LC	LR/lc																							
Eptesicus gobiensis		LC	LR/lc																							
Eptesicus guadeloupensis	EN	VU	EN																							
Eptesicus hottentotus		LC	LR/lc							LC							LC									
Eptesicus innoxius	NT	NT	VU																							
Eptesicus isabellinus	LC																									
Eptesicus japonensis		EN																								
Eptesicus kobayashii		DD	DD																							
Eptesicus nasutus		LC	VU																							
Eptesicus nilssonii	LC	LC	LR/lc																							
Eptesicus pachyotis		LC	LR/nt																							
Eptesicus platyops		DD	VU							DD																
Eptesicus serotinus		LC	LR/lc																							
Eptesicus taddeii																	DD									
Eptesicus tatei	DD	DD	DD							DD		DD														
Equus africanus		CR	CR	E	CR		E	E	E																	
Equus ferus		CR	EW		EN																					EN
Equus grevyi	EN	EN	EN	E			E	E	E				EN													
Equus hemionus		EN	VU	V	NT	VU	V	V	V																	
Equus kiang		LC	LR/lc		LC																					
Equus quagga	NT	LC	LR/lc			LC																				
Equus zebra		VU	EN	V							VU															
Eremitalpa granti		LC	VU	R	LC		R							NT												
Eremodipus lichtensteini	LC	LC	LR/lc																							
Eremoryzomys polius		DD	LR/lc								DD															
Erethizon dorsatum	LC	LC	LR/lc																							
Erignathus barbatus	LC	LC	LR/lc																							
Erinaceus amurensis	LC	LC	LR/lc																							
Erinaceus concolor	LC	LC	LR/lc																							
Erinaceus europaeus	LC	LC	LR/lc																							
Erinaceus roumanicus	LC	LC																								
Eropeplus canus	VU	VU	EN																							
Erophylla bombifrons		LC									LC															
Erophylla sezekorni		LC	LR/lc								LC															
Erythrocebus patas		LC	LR/lc					nt				LR/lc														
Eschrichtius robustus		LC	LR/cd																LC							
Eubalaena australis		LC	LR/cd	V			V	V					LC						LC							
Eubalaena glacialis		EN																	EN						EN	
Eubalaena japonica		EN	EN																EN							
Euchoreutes naso	LC	LC	EN																							
Euderma maculatum		LC	LR/lc														LC									
Eudiscoderma thongareeae																	CR									
Eudiscopus denticulus	LC	DD	LR/nt																							
Eudorcas albonotata	LC	LC	LR/nt																							
Eudorcas rufifrons		VU	VU	V			V	V	K								VU									
Eudorcas rufina		DD	EX	Ex																						
Eudorcas thomsonii		NT	LR/cd																LC							
Eudorcas tilonura		VU	VU														EN									
Eulemur albifrons		VU	LR/lc	R			R					LR/nt								EN						
Eulemur cinereiceps		EN	EN	V			V					CR								CR						
Eulemur collaris		VU	VU	V			V					VU								EN						
Eulemur coronatus		VU	VU	E			E	K	K			VU								EN						
Eulemur flavifrons		EN	CR	E			E	E	E			CR								CR						CR
Eulemur fulvus		NT	LR/lc	R			R					LR/nt								NT						
Eulemur macaco		VU	VU	V			V	V	V			VU								VU						VU
Eulemur mongoz		VU	VU	E			E	V	V			VU								CR						
Eulemur rubriventer		VU	VU	V			V	I	I			VU								VU						
Eulemur rufifrons		NT																		NT						
Eulemur rufus		DD	LR/lc	R			R					LR/nt								VU						
Eulemur sanfordi		EN	VU	V			V					VU								EN						
Eumetopias jubatus	NT	EN	EN	V																					NT	
Eumops auripendulus		LC	LR/lc		LC																					
Eumops bonariensis	LC																									
Eumops dabbenei		LC	LR/lc		LC																					
Eumops delticus																			DD							
Eumops ferox											LC															
Eumops floridanus	VU	CR																								
Eumops glaucinus	LC																									
Eumops hansae		LC	LR/lc		LC																					
Eumops maurus	DD	DD	VU																							
Eumops nanus																	LC									
Eumops patagonicus		LC			LC																					
Eumops perotis		LC	LR/lc		LC																					
Eumops trumbulli		LC									LC															
Eumops underwoodi	LC	LC	LR/nt																							
Eumops wilsoni	DD																									
Euneomys chinchilloides		DD	LR/lc								DD															
Euneomys fossor		DD									DD															
Euneomys mordax	LC	LC	LR/lc																							
Euneomys petersoni	LC	LC	LR/lc																							
Euoticus elegantulus		LC	LR/nt					nt																		
Euoticus pallidus		LC	LR/nt																							
Eupetaurus cinereus		DD	EN																					EN		
Euphractus sexcinctus		LC	LR/lc											LC						LC				LC		
Eupleres goudotii	VU											EN														
Eupleres major	EN											EN														
Euroscaptor grandis	LC	LC	LR/lc																							
Euroscaptor klossi	LC	LC	LR/lc																							
Euroscaptor longirostris	LC	LC	LR/lc																							
Euroscaptor micrura	LC	LC	LR/lc																							
Euroscaptor mizura	LC	LC	VU																							
Euroscaptor parvidens	DD	DD	CR																							
Euroscaptor subanura	DD																									
Euryoryzomys emmonsae		DD									DD															
Euryoryzomys lamia		EN	LR/lc																VU							
Euryoryzomys legatus	LC	LC	LR/lc																							
Euryoryzomys macconnelli	LC	LC	LR/lc																							
Euryoryzomys nitidus	LC	LC	LR/lc																							
Euryoryzomys russatus	LC	LC																								
Euryzygomatomys spinosus	LC	LC	LR/lc																							
Eutamias sibiricus	LC	LC	LR/lc																							
Exilisciurus concinnus	LC	LC	LR/lc																							
Exilisciurus exilis	DD	DD	LR/lc																							
Exilisciurus whiteheadi	LC	LC	LR/lc																							
Falsistrellus affinis		LC	LR/lc																							
Falsistrellus mackenziei		NT	VU														NT									
Falsistrellus mordax	DD	DD	LR/nt																							
Falsistrellus petersi	DD	DD	LR/lc																							
Falsistrellus tasmaniensis		LC	LR/lc																							
Felis bieti		VU	DD	K	VU	VU																		VU		
Felis chaus	LC	LC	LR/lc			LC																				
Felis margarita	LC	NT	LR/lc	K		NT																				NT
Felis nigripes	VU	VU	LR/lc			VU																				
Felis silvestris					LC																					
Felovia vae		DD	VU	K						DD							LC									
Feresa attenuata		DD	DD	K															LC							
Feroculus feroculus		EN	EN																							
Fossa fossana		NT	VU	V	VU		V	V	K			VU														
Fukomys anselli		NT								NT																
Fukomys bocagei	LC	LC	LR/lc							DD																
Fukomys damarensis	LC	LC	LR/lc							LC																
Fukomys darlingi	LC	LC								LC																
Fukomys foxi		DD	LR/nt							DD	DD															
Fukomys ilariae											DD															
Fukomys kafuensis		VU								VU																
Fukomys mechowii	LC	LC	LR/lc							LC																
Fukomys ochraceocinereus	LC	LC	LR/lc							DD																
Fukomys vandewoestijneae											DD															
Fukomys zechi	LC	LC	LR/nt	K						LC																
Funambulus layardi	VU	VU	LR/lc																							
Funambulus palmarum	LC	LC	LR/lc																							
Funambulus pennantii	LC	LC	LR/lc																							
Funambulus sublineatus		VU	LR/lc																							
Funambulus tristriatus	LC	LC	LR/lc									LR/nt														
Funisciurus anerythrus	LC	LC	LR/lc							DD																
Funisciurus bayonii	DD	DD	LR/lc							DD																
Funisciurus carruthersi	LC	LC	VU	V						LC																
Funisciurus congicus	LC	LC	LR/lc							LC																
Funisciurus duchaillui	DD	DD																								
Funisciurus isabella	LC	LC	LR/nt							LC																
Funisciurus lemniscatus	LC	LC	LR/lc							DD																
Funisciurus leucogenys	LC	LC	LR/lc							DD																
Funisciurus pyrropus	LC	LC	LR/lc							LC																
Funisciurus substriatus	DD	DD	LR/lc							DD																
Furipterus horrens	LC	LC	LR/lc																							
Galago gallarum		LC	LR/nt																							
Galago matschiei		LC	LR/nt	V				nt																		
Galago moholi		LC	LR/lc									LR/lc														
Galago senegalensis		LC	LR/lc					nt				LR/lc														
Galagoides cocos		LC																								
Galagoides demidoff	LC	LC	LR/lc					nt				LR/lc														
Galagoides granti		LC	DD																							
Galagoides orinus		NT	DD																							
Galagoides rondoensis		CR	DD									EN														
Galagoides thomasi		LC	LR/lc	K			K	K				LR/lc														
Galagoides zanzibaricus		LC	LR/nt	V			V	K																		
Galea comes	DD																									
Galea flavidens	LC	LC	LR/lc																							
Galea leucoblephara	LC																									
Galea musteloides	DD																									
Galea spixii	LC	LC	LR/lc																							
Galemys pyrenaicus		VU	VU	V			V	V	V																	
Galenomys garleppi		DD	LR/lc								DD															
Galeopterus variegatus		LC	LR/lc																							
Galictis cuja	LC	LC	LR/lc																							
Galictis vittata	LC	LC	LR/lc																							
Galidia elegans		LC	LR/lc		LC							VU														
Galidictis fasciata	VU	NT	VU	I			I	I	K			VU														
