species	2016	2008	1996	1994	2015	2002	1990	1988	1986	2004	2019	2000	2013	2006	1965	1992	2017	2003	2018	2014	1982	2007	2009	2010	2012	2011
Alouatta caraya		LC	LR/lc															LC								
Alouatta discolor		VU	LR/lc															LC								
Alouatta guariba		LC	VU	V			V	I	I			VU						NT			I					
Alouatta macconnelli		LC	VU									VU						VU								
Alouatta nigerrima		LC																	LC							
Alouatta palliata		LC	LR/lc									LR/lc						LC								
Alouatta pigra		EN	LR/lc	K			K	I	I			LR/lc						EN			I					
Alouatta sara		LC	LR/lc															LC								
Alouatta ululata		EN	CR	E								CR						CR								
Alticola albicaudus	DD	DD	LR/nt																							
Alticola argentatus	LC	LC	LR/lc																							
Alticola barakshin	LC	LC	LR/lc																							
Alticola lemminus	LC	LC	LR/lc																							
Alticola macrotis	LC	LC	LR/lc																							
Alticola montosa	VU	VU	VU																							
Alticola olchonensis	EN	DD																								
Alticola roylei	NT	NT	LR/nt																							
Alticola semicanus	LC	LC	LR/lc																							
Alticola stoliczkanus	LC	LC	LR/lc																							
Alticola strelzowi	LC	LC	LR/lc																							
Alticola tuvinicus	LC	LC	LR/lc																							
Amblysomus corriae		NT			NT									NT												
Amblysomus hottentotus		LC			LC									LC												
Amblysomus marleyi		EN			EN									EN												
Amblysomus robustus		VU			VU									VU												
Amblysomus septentrionalis		NT			NT									NT												
Ametrida centurio	LC	LC	LR/lc																							
Ammodillus imbellis		DD	VU	K						DD							DD									
Ammodorcas clarkei	VU	VU	VU	V			V	V	V													VU				
Ammospermophilus harrisii	LC	LC	LR/lc																							
Ammospermophilus interpres	LC	LC	LR/lc																							
Ammospermophilus leucurus	LC	LC	LR/lc																							
Ammospermophilus nelsoni		EN	EN									EN					EN									
Ammotragus lervia		VU	VU	I			V	V	V																	
Amorphochilus schnablii		EN	VU		VU																					
Amphinectomys savamis		DD									DD															
Anathana ellioti	LC	LC										LR/nt														
Andalgalomys olrogi	LC	LC	VU																							
Andalgalomys pearsoni	LC	LC	LR/lc																							
Andinomys edax	LC	LC	LR/lc																							
Anisomys imitator	LC	LC	LR/lc																							
Anomalurus beecrofti	LC	LC	LR/lc							LC																
Anomalurus derbianus	LC	LC	LR/lc							LC																
Anomalurus pelii			LR/nt							NT													DD			
Anomalurus pusillus	LC	LC	LR/lc							LC																
Anonymomys mindorensis	DD	DD	VU	K																						
Anotomys leander		VU	EN																EN					VU		
Anoura aequatoris											LC															
Anoura cadenai																	DD									
Anoura caudifer	LC																									
Anoura cultrata	LC	NT	LR/lc																							
Anoura fistulata		DD																	DD							
Anoura geoffroyi	LC																									
Anoura latidens		LC	LR/nt		LC																					
Anoura luismanueli		LC	DD																LC							
Anoura peruana											LC															
Anourosorex assamensis	LC	LC																								
Anourosorex schmidi	DD	DD																								
Anourosorex squamipes	LC	LC	LR/lc																							
Anourosorex yamashinai	LC	LC																								
Antechinomys laniger	LC	LC	DD																							
Antechinus adustus	LC	LC																								
Antechinus agilis	LC	LC	DD									LR/lc														
Antechinus bellus	VU	LC	LR/lc																							
Antechinus flavipes	LC	LC	LR/lc																							
Antechinus godmani		NT	LR/nt								LC															
Antechinus leo	LC	LC	LR/nt																							
Antechinus minimus	LC	LC	LR/lc																							
Antechinus stuartii	LC	LC	LR/lc																							
Antechinus subtropicus	LC	LC																								
Antechinus swainsonii	LC	LC	LR/lc																							
Anthops ornatus		DD	VU																							
Antidorcas marsupialis	LC	LC	LR/cd																							
Antilocapra americana	LC	LC	LR/lc																							
Antilope cervicapra		NT	VU	V													LC	NT								
Antrozous pallidus		LC	LR/lc														LC									
Aonyx capensis		LC	LR/lc		NT					LC		LR/lc														
Aonyx cinereus		VU	LR/nt	K	VU		K	K		NT		LR/nt														
Aonyx congicus		LC	LR/nt		NT					DD		DD														
Aotus azarae		LC	LR/lc															LC	LC							
Aotus brumbacki		VU	VU	V								VU														
Aotus griseimembra		VU	EN	V							VU	EN														
Aotus jorgehernandezi		DD																	DD							
Aotus lemurinus		VU	VU									VU														
Aotus miconax		VU	VU	V							EN	VU						VU								
Aotus nancymaae		LC	LR/lc														VU	LC								
Aotus nigriceps		LC	LR/lc															LC	LC							
Aotus trivirgatus		LC	LR/lc															LC	LC							
Aotus vociferans		LC	LR/lc															LC	LC							
Aotus zonalis		DD										DD														
Aplodontia rufa	LC	LC	LR/lc									LR/nt														
Apodemus agrarius	LC	LC	LR/lc																							
Apodemus alpicola	LC	LC	DD																							
Apodemus argenteus	LC	LC	LR/lc																							
Apodemus avicennicus	DD																									
Apodemus chevrieri	LC	LC	LR/lc																							
Apodemus draco	LC	LC	LR/lc																							
Apodemus epimelas	LC	LC																								
Apodemus flavicollis	LC	LC	LR/lc																							
Apodemus gurkha	LC	EN	LR/lc																							
Apodemus hyrcanicus	NT	NT	DD																							
Apodemus latronum	LC	LC	LR/lc																							
Apodemus mystacinus	LC	LC	LR/lc																							
Apodemus pallipes	LC	LC	LR/lc																							
Apodemus peninsulae	LC	LC	LR/lc																							
Apodemus ponticus	LC	LC	LR/lc																							
Apodemus rusiges	LC	LC	LR/lc																							
Apodemus semotus	LC	LC	LR/nt																							
Apodemus speciosus	LC	LC	LR/lc																							
Apodemus sylvaticus	LC	LC	LR/lc							LC																
Apodemus uralensis	LC	LC	LR/lc																							
Apodemus witherbyi	LC	LC																								
Apomys abrae	LC	DD	LR/lc																							
Apomys aurorae																	LC									
Apomys banahao																	LC									
Apomys brownorum																	DD									
Apomys camiguinensis		VU															VU									
Apomys datae	LC	LC	LR/lc																							
Apomys gracilirostris	LC	DD	VU																							
Apomys hylocetes	LC	LC	LR/lc																							
Apomys insignis	LC	NT	LR/lc																					LC		
Apomys iridensis											LC															
Apomys littoralis	DD	DD	LR/lc																							
Apomys lubangensis											LC															
Apomys magnus																	LC									
Apomys microdon	LC	LC	LR/lc																							
Apomys minganensis																	LC									
Apomys musculus	LC	LC	LR/lc																							
Apomys sacobianus	LC	DD	VU																							
Apomys sierrae																	LC									
Apomys zambalensis																	LC									
Aproteles bulmerae	CR	CR	CR	E			K	K																		
Arabitragus jayakari		EN	EN	V			E	E	E		EN															
Arborimus albipes	LC	LC	DD																							
Arborimus longicaudus		NT	LR/lc																NT							
Arborimus pomo		NT	DD																							
Archboldomys luzonensis		VU	EN	R													VU									
Archboldomys maximus																	DD									
Arctictis binturong	VU	VU	LR/lc																							
Arctocebus aureus		LC	LR/nt																							
Arctocebus calabarensis		LC	LR/nt	V			K	K			NT															
Arctocephalus australis	LC	LC	LR/lc																							
Arctocephalus forsteri		LC	LR/lc		LC																					
Arctocephalus galapagoensis		EN	VU		EN																O					
Arctocephalus gazella	LC	LC	LR/lc																	LC						
Arctocephalus philippii		NT	VU	V	LC		V	V	V												V					
Arctocephalus pusillus		LC	LR/lc		LC																					
Arctocephalus townsendi		NT	VU	V	LC		V	V	V												V					
Arctocephalus tropicalis		LC	LR/lc		LC																					
Arctogalidia trivirgata	LC	LC	LR/lc																							
Arctonyx albogularis	LC																									
Arctonyx collaris	VU																									
Arctonyx hoevenii	LC																									
Ardops nichollsi		LC	LR/nt								LC															
Arielulus aureocollaris		LC										DD														
Arielulus circumdatus		LC	LR/lc																							
Arielulus cuprosus	VU	DD	VU																							
Arielulus societatis		VU	DD																							
Arielulus torquatus		LC										DD														
Ariteus flavescens		LC	VU								LC															
Artibeus aequatorialis											LC															
Artibeus amplus		LC	LR/nt																LC							
Artibeus concolor	LC	LC	LR/nt																							
Artibeus fimbriatus		LC	LR/nt		LC																					
Artibeus fraterculus		LC	VU		LC																					
Artibeus hirsutus		LC	VU		LC							VU														
Artibeus inopinatus	DD	DD	LR/nt									VU														
Artibeus jamaicensis	LC																									
Artibeus lituratus		LC	LR/lc		LC																					
Artibeus obscurus	LC	LC	LR/nt																							
Artibeus planirostris		LC	LR/lc		LC																					
Artibeus schwartzi	DD																									
Arvicanthis abyssinicus	LC	LC	LR/lc							LC																
Arvicanthis ansorgei	LC	LC								LC																
Arvicanthis blicki	NT	NT	LR/lc							NT																
Arvicanthis nairobae	LC	LC	LR/lc							LC																
Arvicanthis neumanni	LC	LC	LR/lc							DD																
Arvicanthis niloticus	LC	LC	LR/lc							LC																
Arvicanthis rufinus	LC	LC								LC																
Arvicola amphibius	LC	LC	LR/lc																							
Arvicola sapidus		VU	LR/nt																							
Arvicola scherman	LC	LC																								
Asellia arabica																	DD									
Asellia italosomalica																	DD									
Asellia patrizii		LC	VU							VU							LC									
Asellia tridens																	LC									
Aselliscus stoliczkanus		LC	LR/lc																							
Aselliscus tricuspidatus		LC	LR/lc																							
Atelerix albiventris	LC	LC	LR/lc																							
Atelerix algirus		LC	LR/lc																							
Atelerix frontalis	LC	LC	LR/lc	R			R																			
Atelerix sclateri	LC	LC	LR/lc																							
Ateles belzebuth		EN	VU	V			V	V	V		EN	VU						VU			V					
Ateles chamek		EN	LR/lc															LC								
Ateles fusciceps		CR																								
Ateles geoffroyi		EN	LR/lc	V			V	V	V			LR/lc						LC			V					
Ateles hybridus		CR										EN						CR								
Ateles marginatus		EN	EN	E							EN	EN						EN								
Ateles paniscus		VU	LR/lc	V			V	V	V		VU	LR/lc						LC			V					
Atelocynus microtis		NT	DD	K			K		K	DD											K					NT
Atherurus africanus	LC	LC	LR/lc							LC																
Atherurus macrourus	LC	LC	LR/lc																							
Atilax paludinosus		LC	LR/lc		LC																					
Atlantoxerus getulus	LC	LC	LR/lc							LC																
Atopogale cubana		EN	EN	E			E	E	E								EN		EN		E					
Auliscomys boliviensis	LC	LC	LR/lc																							
Auliscomys pictus	LC	LC	LR/lc																							
Auliscomys sublimis	LC	LC	LR/lc																							
Austronomus australis		LC	LR/nt																							
Austronomus kuboriensis		LC																								
Avahi betsileo		DD																		EN						
Avahi cleesei		EN																		EN						
Avahi laniger		LC	LR/lc	V			V	K	K			LR/nt								VU						
Avahi meridionalis		DD																		EN						
Avahi mooreorum																				EN						
Avahi occidentalis		EN	VU				V					VU								EN						
Avahi peyrierasi		DD																		VU						
Avahi ramanantsoavanai		DD																		VU						
Avahi unicolor		DD																		EN						
Axis axis		LC	LR/lc		LC																					
Axis calamianensis		EN	EN	E	EN		V	V	V																	
Axis kuhlii		CR	EN	E	CR		R	R	R				CR													
Axis porcinus		EN			EN																				EN	
Babyrousa babyrussa		VU	VU	V			V	V	V																	
Babyrousa celebensis	VU	VU																								
Babyrousa togeanensis	EN	EN																								
Baeodon alleni		LC	LR/nt								LC	EN														
Baeodon gracilis		LC	LR/nt								LC															
Baiomys musculus	LC	LC	LR/lc																							
Baiomys taylori	LC	LC	LR/lc																							
Baiyankamys habbema		DD	LR/nt														DD									
Baiyankamys shawmayeri	LC	LC	LR/nt																							
Balaena mysticetus		LC	LR/cd	V			V	E	E										LC						LC	
Balaenoptera acutorostrata		LC	LR/nt	K															LC							
Balaenoptera bonaerensis		DD	LR/cd																NT							
Balaenoptera borealis		EN	EN	V															EN							
Balaenoptera edeni		DD	DD	K															LC							
Balaenoptera musculus		EN	EN	E			E	E	E										EN							
Balaenoptera omurai		DD									DD								DD							
Balaenoptera physalus		EN	EN	V			V	V	V				EN						VU							
Balantiopteryx infusca		EN	EN		VU																					
Balantiopteryx io		VU	LR/nt		VU																					
Balantiopteryx plicata	LC	LC	LR/lc																							
Balionycteris maculata		LC	LR/lc																							
Bandicota bengalensis	LC	LC	LR/lc																							
Bandicota indica	LC	LC	LR/lc																							
Bandicota savilei	LC	LC	LR/lc																							
Barbastella barbastellus	NT	NT	VU																							
Barbastella leucomelas																	LC									
Bassaricyon alleni	LC																									
Bassaricyon gabbii	LC																									
Bassaricyon medius	LC																									
Bassaricyon neblina	NT																									
Bassariscus astutus	LC	LC	LR/lc																							
Bassariscus sumichrasti	LC	LC	LR/nt	V																						
Bathyergus janetta	LC	LC	LR/nt	V						LC																
Bathyergus suillus	LC	LC	LR/lc							LC							LC									
Batomys dentatus	DD	DD	DD																							
Batomys granti																	LC									
Batomys hamiguitan																	DD									
Batomys russatus		EN															EN									
Batomys salomonseni	LC	LC	LR/lc																							
Batomys uragon																	LC									
Bauerus dubiaquercus		NT	VU																NT							
Bdeogale crassicauda	LC	LC	LR/lc		LC			I																		
Bdeogale jacksoni		NT	VU	K	NT		K	K																		
Bdeogale nigripes		LC	LR/lc		LC																					
Bdeogale omnivora	VU	VU																								
Beamys hindei	LC	LC	VU	V						NT																
Beatragus hunteri		CR	CR	E			V	R	R								CR					CR				
Belomys pearsonii	DD	DD	LR/nt																							
Berardius arnuxii		DD	LR/cd	K																						
Berardius bairdii		DD	LR/cd	K																						
Berylmys berdmorei	LC	LC	LR/lc																							
Berylmys bowersi	LC	LC	LR/lc																							
Berylmys mackenziei	DD	DD	LR/lc																							
Berylmys manipulus	DD	DD	LR/lc																							
Bettongia gaimardi	NT	NT	LR/nt																							
Bettongia lesueur		NT	VU	E			R	R	R		NT										R					
Bettongia penicillata	CR	CR	LR/cd	E			E	E	E												E					
Bettongia tropica	EN	EN	EN	E																						
Bibimys chacoensis	LC	LC	LR/lc																							
Bibimys labiosus	LC	LC	LR/lc																							
Bibimys torresi		NT	LR/nt																VU							
Bison bison		NT	LR/cd														NT									
Bison bonasus		VU	EN	V			V	V				EN														
Biswamoyopterus biswasi	CR	CR	CR									CR														
Biswamoyopterus laoensis																	DD									
Blanfordimys afghanus	LC	LC	LR/lc																							
Blanfordimys bucharensis	LC	LC	LR/nt																							
Blarina brevicauda	LC	LC	LR/lc																							
Blarina carolinensis	LC	LC	LR/lc																							
Blarina hylophaga	LC	LC	LR/lc																							
Blarinella griselda	LC	LC																								
Blarinella quadraticauda	NT	NT	LR/lc																							
Blarinella wardi	LC	LC	LR/nt																							
Blarinomys breviceps	LC	LC	LR/nt																							
Blastocerus dichotomus	VU	VU	VU	V		VU	V	V	V												V					
Bos gaurus	VU	VU	VU	V			V	V	V			VU														
Bos javanicus	EN	EN	EN	V			V	V	V			EN														
Bos mutus	VU	VU	VU	E			E	E	E			VU														
Bos sauveli	CR	CR	CR	E			E	E	E			CR														
Boselaphus tragocamelus	LC	LC	LR/cd															LC								
Brachiones przewalskii	LC	LC	LR/lc																							
Brachylagus idahoensis	LC	LC	LR/nt	V																						
Brachyphylla cavernarum		LC	LR/lc								LC															
Brachyphylla nana		LC	LR/nt								LC															
Brachytarsomys albicauda	LC	LC	LR/lc																							
Brachytarsomys villosa	VU	EN																								
Brachyteles arachnoides		EN	EN	E			E	E	E		CR	CR						EN			E					
Brachyteles hypoxanthus		CR	EN					E			CR	CR						CR								
Brachyuromys betsileoensis	LC	LC	LR/nt																							
Brachyuromys ramirohitra	LC	LC	LR/nt																							
Bradypus pygmaeus		CR												CR						CR						CR
Bradypus torquatus		EN	EN	E			E	E	E					EN						VU	E					VU
Bradypus tridactylus		LC	LR/lc											LC						LC						LC
Bradypus variegatus		LC	LR/lc											LC						LC						LC
Brassomys albidens	DD	DD	EN	K			K										DD									
Brucepattersonius griserufescens																	DD									
Brucepattersonius guarani		DD									DD															
Brucepattersonius igniventris		DD									DD															
Brucepattersonius iheringi	LC	LC	LR/lc																							
Brucepattersonius misionensis		DD									DD															
Brucepattersonius paradisus		DD									DD															
Brucepattersonius soricinus		DD									DD															
