species	EN_p_ext_0
Aegotheles insignis	0.011095167095
Aegotheles savesi	0.011095167095
Aegotheles tatei	0.011095167095
Aegotheles wallacii	0.011095167095
Aegypius monachus	0.003136389604
Aepypodius arfakianus	0.011095167095
Aepypodius bruijnii	0.009563943843
Aerodramus bartschi	0.011095167095
Aerodramus brevirostris	0.011095167095
Aerodramus elaphrus	0.011095167095
Aerodramus francicus	0.011095167095
Aerodramus fuciphagus	0.011095167095
Aerodramus hirundinaceus	0.011095167095
Aerodramus infuscatus	0.011095167095
Aerodramus inquietus	0.011095167095
Aerodramus leucophaeus	0.011095167095
Aerodramus maximus	0.011095167095
Aerodramus mearnsi	0.011095167095
Aerodramus nuditarsus	0.011095167095
Aerodramus orientalis	0.011095167095
Aerodramus papuensis	0.011095167095
Aerodramus pelewensis	0.011095167095
Aerodramus salangana	0.011095167095
Aerodramus sawtelli	0.011095167095
Aerodramus spodiopygius	0.011095167095
Aerodramus terraereginae	0.011095167095
Aerodramus unicolor	0.011095167095
Aerodramus vanikorensis	0.011095167095
Aerodramus vulcanorum	0.011095167095
Aerodramus whiteheadi	0.011095167095
Aeronautes andecolus	0.011095167095
Aeronautes montivagus	0.011095167095
Aeronautes saxatalis	0.011095167095
Aethia cristatella	0.005275676562
Aethia psittacula	0.005425102735
Aethia pusilla	0.006648756740
Aethia pygmaea	0.006323731496
Aethopyga bella	0.011095167095
Aethopyga boltoni	0.011095167095
Aethopyga christinae	0.011095167095
Aethopyga duyvenbodei	0.011095167095
Aethopyga eximia	0.011095167095
Aethopyga flagrans	0.011095167095
Aethopyga gouldiae	0.011095167095
Aethopyga guimarasensis	0.011095167095
Aethopyga ignicauda	0.011095167095
Aethopyga latouchii	0.011095167095
Aethopyga linaraborae	0.011095167095
Aethopyga magnifica	0.011095167095
Aethopyga mystacalis	0.011095167095
Aethopyga nipalensis	0.011095167095
Aethopyga primigenia	0.011095167095
Aethopyga pulcherrima	0.011095167095
Aethopyga saturata	0.011095167095
Aethopyga shelleyi	0.011095167095
Aethopyga siparaja	0.011095167095
Aethopyga temminckii	0.011095167095
Aethopyga vigorsii	0.011095167095
Afropavo congensis	0.006090713420
Afrotis afra	0.005777676012
Afrotis afraoides	0.006093208128
Agamia agami	0.007894214751
Agapornis canus	0.011095167095
Agapornis fischeri	0.011095167095
Agapornis lilianae	0.011095167095
Agapornis nigrigenis	0.011095167095
Agapornis personatus	0.011095167095
Agapornis pullarius	0.011095167095
Agapornis roseicollis	0.011095167095
Agapornis swindernianus	0.011095167095
Agapornis taranta	0.011095167095
Agelaioides badius	0.011095167095
Agelaioides fringillarius	0.011095167095
Agelaius assimilis	0.011095167095
Agelaius humeralis	0.011095167095
Agelaius phoeniceus	0.010373093251
Agelaius tricolor	0.011095167095
Agelaius xanthomus	0.011095167095
Agelastes meleagrides	0.011095167095
Agelastes niger	0.007257478002
Agelasticus cyanopus	0.011095167095
Agelasticus thilius	0.011095167095
Agelasticus xanthophthalmus	0.011095167095
Aglaeactis aliciae	0.011095167095
Aglaeactis castelnaudii	0.011095167095
Aglaeactis cupripennis	0.011095167095
Aglaeactis pamela	0.011095167095
Aglaiocercus berlepschi	0.011095167095
Aglaiocercus coelestis	0.011095167095
Aglaiocercus kingii	0.011095167095
Agraphospiza rubescens	0.011095167095
Agricola infuscatus	0.011095167095
Agricola pallidus	0.011095167095
