species	current_status
Apodemus speciosus	LC
Apodemus sylvaticus	LC
Apodemus uralensis	LC
Apodemus witherbyi	LC
Apomys abrae	LC
Apomys aurorae	LC
Apomys banahao	LC
Apomys brownorum	DD
Apomys camiguinensis	VU
Apomys datae	LC
Apomys gracilirostris	LC
Apomys hylocetes	LC
Apomys insignis	LC
Apomys iridensis	LC
Apomys littoralis	DD
Apomys lubangensis	LC
Apomys magnus	LC
Apomys microdon	LC
Apomys minganensis	LC
Apomys musculus	LC
Apomys sacobianus	LC
Apomys sierrae	LC
Apomys zambalensis	LC
Aproteles bulmerae	CR
Arabitragus jayakari	EN
Arborimus albipes	LC
Arborimus longicaudus	NT
Arborimus pomo	NT
Archboldomys luzonensis	VU
Archboldomys maximus	DD
Arctictis binturong	VU
Arctocebus aureus	LC
Arctocebus calabarensis	NT
Arctocephalus australis	LC
Arctocephalus australis	LC
Arctocephalus forsteri	LC
Arctocephalus galapagoensis	EN
Arctocephalus gazella	LC
Arctocephalus philippii	LC
Arctocephalus pusillus	LC
Arctocephalus townsendi	LC
Arctocephalus tropicalis	LC
Arctogalidia trivirgata	LC
Arctonyx albogularis	LC
Arctonyx collaris	VU
Arctonyx hoevenii	LC
Ardops nichollsi	LC
Arielulus aureocollaris	LC
Arielulus circumdatus	LC
Arielulus cuprosus	VU
Arielulus societatis	VU
Arielulus torquatus	LC
Ariteus flavescens	LC
Artibeus aequatorialis	LC
Artibeus amplus	LC
Artibeus concolor	LC
Artibeus fimbriatus	LC
Artibeus fraterculus	LC
Artibeus hirsutus	LC
Artibeus inopinatus	DD
Artibeus jamaicensis	LC
Artibeus lituratus	LC
Artibeus obscurus	LC
Artibeus planirostris	LC
Artibeus schwartzi	DD
Arvicanthis abyssinicus	LC
Arvicanthis ansorgei	LC
Arvicanthis blicki	NT
Arvicanthis nairobae	LC
Arvicanthis neumanni	LC
Arvicanthis niloticus	LC
Arvicanthis rufinus	LC
Arvicola amphibius	LC
Arvicola sapidus	VU
Arvicola scherman	LC
Asellia arabica	DD
Asellia italosomalica	DD
Asellia patrizii	LC
Asellia tridens	LC
Aselliscus stoliczkanus	LC
Aselliscus tricuspidatus	LC
Atelerix albiventris	LC
Atelerix algirus	LC
Atelerix frontalis	LC
Atelerix sclateri	LC
Ateles belzebuth	EN
Ateles chamek	EN
Ateles fusciceps	CR
Ateles geoffroyi	EN
Ateles hybridus	CR
Ateles marginatus	EN
Ateles paniscus	VU
Atelocynus microtis	NT
Atherurus africanus	LC
Atherurus macrourus	LC
Atilax paludinosus	LC
Atlantoxerus getulus	LC
Atopogale cubana	EN
Auliscomys boliviensis	LC
Auliscomys pictus	LC
Auliscomys sublimis	LC
Austronomus australis	LC
Austronomus kuboriensis	LC
Avahi betsileo	EN
Avahi cleesei	EN
Avahi laniger	VU
Avahi meridionalis	EN
Avahi mooreorum	EN
Avahi occidentalis	EN
Avahi peyrierasi	VU
Avahi ramanantsoavanai	VU
Avahi unicolor	EN
Axis axis	LC
Axis calamianensis	EN
Axis kuhlii	CR
Axis porcinus	EN
Babyrousa babyrussa	VU
Babyrousa celebensis	VU
Babyrousa togeanensis	EN
Baeodon alleni	LC
Baeodon gracilis	LC
Baiomys musculus	LC
Baiomys taylori	LC
Baiyankamys habbema	DD
Baiyankamys shawmayeri	LC
Balaena mysticetus	LC
Balaena mysticetus	LC
Balaena mysticetus	LC
Balaena mysticetus	LC
Balaenoptera acutorostrata	LC
Balaenoptera bonaerensis	NT
Balaenoptera borealis	EN
