species	current_status
Crocidura phanluongi	LC
Crocidura phuquocensis	DD
Crocidura picea	EN
Crocidura pitmani	DD
Crocidura planiceps	DD
Crocidura poensis	LC
Crocidura polia	DD
Crocidura pullata	DD
Crocidura raineyi	DD
Crocidura ramona	LC
Crocidura rapax	DD
Crocidura religiosa	DD
Crocidura rhoditis	LC
Crocidura roosevelti	LC
Crocidura russula	LC
Crocidura sapaensis	DD
Crocidura selina	DD
Crocidura serezkyensis	LC
Crocidura shantungensis	LC
Crocidura sibirica	LC
Crocidura sicula	LC
Crocidura silacea	LC
Crocidura smithii	LC
Crocidura sokolovi	DD
Crocidura somalica	LC
Crocidura stenocephala	EN
Crocidura suaveolens	LC
Crocidura susiana	DD
Crocidura tanakae	LC
Crocidura tansaniana	NT
Crocidura tarella	EN
Crocidura tarfayensis	DD
Crocidura telfordi	VU
Crocidura tenuis	DD
Crocidura thalia	LC
Crocidura theresae	LC
Crocidura thomensis	EN
Crocidura trichura	CR
Crocidura turba	LC
Crocidura ultima	DD
Crocidura umbra	NT
Crocidura usambarae	VU
Crocidura viaria	LC
Crocidura virgata	LC
Crocidura voi	LC
Crocidura vorax	LC
Crocidura vosmaeri	DD
Crocidura watasei	LC
Crocidura whitakeri	LC
Crocidura wimmeri	CR
Crocidura wuchihensis	DD
Crocidura xantippe	LC
Crocidura yaldeni	DD
Crocidura yankariensis	LC
Crocidura zaitsevi	DD
Crocidura zaphiri	DD
Crocidura zarudnyi	LC
Crocidura zimmeri	DD
Crocidura zimmermanni	EN
Crocuta crocuta	LC
Crossarchus alexandri	LC
Crossarchus ansorgei	LC
Crossarchus obscurus	LC
Crossarchus platycephalus	LC
Crossomys moncktoni	LC
Crunomys celebensis	DD
Crunomys fallax	DD
Crunomys melanius	LC
Crunomys suncoides	DD
Cryptochloris wintoni	CR
Cryptochloris zyli	EN
Cryptomys hottentotus	LC
Cryptomys mahali	DD
Cryptomys natalensis	LC
Cryptomys pretoriae	LC
Cryptonanus agricolai	DD
Cryptonanus chacoensis	LC
Cryptonanus guahybae	DD
Cryptonanus unduaviensis	DD
Cryptoprocta ferox	VU
Cryptotis alticola	DD
Cryptotis aroensis	EN
Cryptotis brachyonyx	DD
Cryptotis cavatorculus	DD
Cryptotis celaque	DD
Cryptotis colombiana	LC
Cryptotis endersi	EN
Cryptotis equatoris	LC
Cryptotis goldmani	LC
Cryptotis goodwini	LC
Cryptotis gracilis	VU
Cryptotis griseoventris	EN
Cryptotis hondurensis	DD
Cryptotis lacertosus	DD
Cryptotis magna	VU
Cryptotis mam	DD
Cryptotis mayensis	LC
Cryptotis mccarthyi	DD
Cryptotis medellinia	LC
Cryptotis meridensis	VU
Cryptotis merriami	LC
Cryptotis merus	EN
Cryptotis mexicana	LC
Cryptotis montivaga	LC
Cryptotis nelsoni	CR
Cryptotis niausia	DD
Cryptotis nigrescens	LC
Cryptotis obscura	LC
Cryptotis orophila	DD
Cryptotis parva	LC
Cryptotis peregrina	DD
Cryptotis perijensis	DD
Cryptotis peruviensis	DD
Cryptotis phillipsii	VU
Cryptotis squamipes	LC
Cryptotis tamensis	LC
Cryptotis thomasi	LC
Cryptotis tropicalis	DD
Cryptotis venezuelensis	DD
Ctenodactylus gundi	LC
Ctenodactylus vali	DD
Ctenomys argentinus	NT
Ctenomys australis	EN
Ctenomys azarae	VU
Ctenomys bergi	VU
Ctenomys boliviensis	LC
Ctenomys bonettoi	EN
Ctenomys brasiliensis	DD
Ctenomys colburni	DD
Ctenomys coludo	DD
Ctenomys conoveri	LC
Ctenomys coyhaiquensis	DD
Ctenomys dorbignyi	NT
Ctenomys dorsalis	DD
Ctenomys emilianus	NT
Ctenomys famosus	DD
Ctenomys flamarioni	EN
Ctenomys fochi	DD
Ctenomys fodax	DD
Ctenomys frater	LC
Ctenomys fulvus	DD
Ctenomys goodfellowi	LC
Ctenomys haigi	LC
Ctenomys johannis	DD
Ctenomys juris	DD
Ctenomys knighti	DD
Ctenomys lami	VU
Ctenomys latro	VU
Ctenomys leucodon	LC
Ctenomys lewisi	LC
Ctenomys magellanicus	LC
Ctenomys maulinus	LC
Ctenomys mendocinus	LC
Ctenomys minutus	DD
Ctenomys occultus	EN
Ctenomys opimus	LC
Ctenomys osvaldoreigi	CR
Ctenomys pearsoni	NT
Ctenomys perrensi	LC
Ctenomys peruanus	LC
Ctenomys pilarensis	EN
Ctenomys pontifex	DD
Ctenomys porteousi	NT
Ctenomys pundti	VU
Ctenomys rionegrensis	EN
Ctenomys roigi	CR
Ctenomys saltarius	DD
Ctenomys scagliai	DD
Ctenomys sericeus	DD
Ctenomys sociabilis	CR
Ctenomys steinbachi	LC
Ctenomys talarum	LC
Ctenomys torquatus	LC
Ctenomys tuconax	DD
Ctenomys tucumanus	DD
Ctenomys tulduco	DD
Ctenomys validus	DD
Ctenomys viperinus	DD
Ctenomys yolandae	DD
Cuniculus paca	LC
Cuniculus taczanowskii	NT
Cuon alpinus	EN
Cuscomys ashaninka	DD
Cuscomys oblativa	DD
Cyclopes didactylus	LC
Cyclopes didactylus	LC
Cynictis penicillata	LC
Cynocephalus volans	LC
Cynogale bennettii	EN
Cynomops abrasus	DD
Cynomops greenhalli	LC
Cynomops mexicanus	LC
Cynomops milleri	LC
Cynomops paranus	DD
Cynomops planirostris	LC
Cynomys gunnisoni	LC
Cynomys leucurus	LC
Cynomys ludovicianus	LC
Cynomys mexicanus	EN
Cynomys parvidens	EN
Cynopterus brachyotis	LC
Cynopterus horsfieldii	LC
Cynopterus luzoniensis	LC
Cynopterus minutus	LC
Cynopterus nusatenggara	LC
Cynopterus sphinx	LC
Cynopterus titthaecheilus	LC
Cystophora cristata	VU
Cyttarops alecto	LC
Dacnomys millardi	DD
Dactylomys boliviensis	LC
Dactylomys dactylinus	LC
Dactylomys peruanus	DD
Dactylonax palpator	LC
Dactylopsila megalura	LC
Dactylopsila tatei	EN
Dactylopsila trivirgata	LC
Dama dama	LC
Dama mesopotamica	EN
Damaliscus lunatus	LC
Damaliscus pygargus	LC
Dasycercus blythi	LC
Dasycercus cristicauda	NT
Dasykaluta rosamondae	LC
Dasymys foxi	DD
Dasymys incomtus	LC
Dasymys montanus	EN
Dasymys nudipes	DD
Dasymys rufulus	LC
Dasyprocta azarae	DD
Dasyprocta coibae	NT
Dasyprocta croconota	DD
Dasyprocta fuliginosa	LC
Dasyprocta guamara	NT
Dasyprocta iacki	DD
Dasyprocta kalinowskii	DD
Dasyprocta leporina	LC
Dasyprocta mexicana	CR
Dasyprocta prymnolopha	LC
Dasyprocta punctata	LC
Dasyprocta ruatanica	EN
Dasyprocta variegata	DD
Dasypus hybridus	NT
Dasypus kappleri	LC
Dasypus novemcinctus	LC
Dasypus pilosus	DD
Dasypus sabanicola	NT
Dasypus septemcinctus	LC
Dasypus yepesi	DD
Dasyuroides byrnei	VU
Dasyurus albopunctatus	NT
Dasyurus geoffroii	NT
Dasyurus hallucatus	EN
Dasyurus maculatus	NT
Dasyurus spartacus	NT
Dasyurus viverrinus	EN
Daubentonia madagascariensis	EN
Delanymys brooksi	VU
Delomys collinus	LC
Delomys dorsalis	LC
Delomys sublineatus	LC
Delphinapterus leucas	LC
Delphinapterus leucas	LC
Delphinus capensis	DD
Delphinus delphis	LC
Delphinus delphis	LC
Deltamys kempi	LC
Dendrogale melanura	DD
Dendrogale murina	LC
Dendrohyrax arboreus	LC
Dendrohyrax dorsalis	LC
Dendrohyrax validus	NT
Dendrolagus bennettianus	NT
Dendrolagus dorianus	VU
Dendrolagus goodfellowi	EN
Dendrolagus inustus	VU
Dendrolagus lumholtzi	NT
Dendrolagus matschiei	EN
Dendrolagus mayri	CR
Dendrolagus mbaiso	EN
Dendrolagus notatus	EN
Dendrolagus pulcherrimus	CR
Dendrolagus scottae	CR
Dendrolagus spadix	VU
Dendrolagus stellarum	VU
Dendrolagus ursinus	VU
Dendromus insignis	LC
Dendromus kahuziensis	CR
Dendromus kivu	LC
Dendromus lachaisei	DD
Dendromus lovati	LC
Dendromus melanotis	LC
Dendromus mesomelas	LC
Dendromus messorius	LC
Dendromus mystacalis	LC
Dendromus nyikae	LC
Dendromus oreas	LC
Dendromus ruppi	DD
Dendromus vernayi	DD
Dendroprionomys rousseloti	DD
Deomys ferrugineus	LC
Dephomys defua	LC
Dermanura anderseni	LC
Dermanura azteca	LC
Dermanura bogotensis	LC
Dermanura cinerea	LC
Dermanura glauca	LC
Dermanura gnoma	LC
Dermanura phaeotis	LC
Dermanura rava	LC
Dermanura rosenbergi	DD
Dermanura tolteca	LC
Dermanura watsoni	LC
Desmana moschata	EN
Desmodilliscus braueri	LC
Desmodillus auricularis	LC
Desmodus rotundus	LC
Desmomys harringtoni	LC
Desmomys yaldeni	VU
Diaemus youngi	LC
Dicerorhinus sumatrensis	CR
Diceros bicornis	CR
Diclidurus albus	LC
Diclidurus ingens	DD
Diclidurus isabella	LC
Diclidurus scutatus	LC
Dicrostonyx groenlandicus	LC
Dicrostonyx hudsonius	LC
Dicrostonyx nelsoni	LC
Dicrostonyx nunatakensis	LC
Dicrostonyx richardsoni	LC
Dicrostonyx torquatus	LC
Dicrostonyx unalascensis	DD
Dicrostonyx vinogradovi	DD
Didelphis albiventris	LC
Didelphis aurita	LC
Didelphis imperfecta	LC
Didelphis marsupialis	LC
Didelphis pernigra	LC
Didelphis virginiana	LC
Dinaromys bogdanovi	VU
Dinomys branickii	LC
Diomys crumpi	DD
Diphylla ecaudata	LC
Diplogale hosei	VU
Diplomesodon pulchellum	LC
Diplomys caniceps	DD
Diplomys labilis	LC
Diplothrix legata	EN
Dipodomys agilis	LC
Dipodomys californicus	LC
Dipodomys compactus	LC
Dipodomys deserti	LC
Dipodomys elator	VU
Dipodomys gravipes	CR
Dipodomys heermanni	LC
Dipodomys ingens	EN
Dipodomys merriami	LC
Dipodomys microps	LC
Dipodomys nelsoni	LC
Dipodomys nitratoides	VU
Dipodomys ordii	LC
Dipodomys ornatus	LC
Dipodomys panamintinus	LC
Dipodomys phillipsii	LC
Dipodomys simulans	LC
Dipodomys spectabilis	NT
Dipodomys stephensi	VU
Dipodomys venustus	LC
Dipus sagitta	LC
Distoechurus pennatus	LC
Dobsonia anderseni	LC
Dobsonia beauforti	LC
Dobsonia chapmani	CR
Dobsonia crenulata	LC
Dobsonia emersa	VU
Dobsonia exoleta	LC
Dobsonia inermis	LC
Dobsonia minor	LC
Dobsonia moluccensis	LC
Dobsonia pannietensis	NT
Dobsonia peronii	LC
Dobsonia praedatrix	LC
Dobsonia viridis	LC
Dolichotis patagonum	NT
Dolichotis salinicola	LC
Dologale dybowskii	DD
Dorcatragus megalotis	VU
Dorcopsis atrata	CR
Dorcopsis hageni	LC
Dorcopsis luctuosa	VU
Dorcopsis muelleri	LC
Dorcopsulus macleayi	LC
Dorcopsulus vanheurni	NT
Dremomys everetti	LC
Dremomys gularis	DD
Dremomys lokriah	LC
Dremomys pernyi	LC
Dremomys pyrrhomerus	LC
Dremomys rufigenis	LC
Dromiciops gliroides	NT
Dryadonycteris capixaba	DD
Drymoreomys albimaculatus	NT
Dryomys laniger	DD
Dryomys niethammeri	VU
Dryomys nitedula	LC
Dugong dugon	VU
Dyacopterus brooksi	VU
Dyacopterus spadiceus	NT
Dymecodon pilirostris	LC
Echimys chrysurus	LC
Echimys saturnus	DD
Echimys vieirai	DD
Echinops telfairi	LC
Echinosorex gymnura	LC
Echiothrix centrosa	VU
Echiothrix leucura	EN
Echymipera clara	LC
Echymipera davidi	EN
Echymipera echinista	DD
Echymipera kalubu	LC
Echymipera rufescens	LC
Ectophylla alba	NT
Eidolon dupreanum	VU
Eidolon helvum	NT
Eira barbara	LC
Elaphodus cephalophus	NT
Elephantulus brachyrhynchus	LC
Elephantulus edwardii	LC
Elephantulus fuscipes	DD
Elephantulus fuscus	DD
Elephantulus intufi	LC
Elephantulus myurus	LC
Elephantulus pilicaudus	DD
Elephantulus revoilii	DD
Elephantulus rozeti	LC
Elephantulus rufescens	LC
Elephantulus rupestris	LC
Elephas maximus	EN
Eligmodontia moreni	LC
Eligmodontia morgani	LC
Eligmodontia puerulus	LC
Eligmodontia typus	LC
Eliomys melanurus	LC
Eliomys munbyanus	LC
Eliomys quercinus	NT
Eliurus antsingy	DD
Eliurus carletoni	LC
Eliurus danieli	LC
Eliurus ellermani	DD
Eliurus grandidieri	LC
Eliurus majori	LC
Eliurus minor	LC
Eliurus myoxinus	LC
Eliurus penicillatus	EN
Eliurus petteri	EN
Eliurus tanala	LC
Eliurus webbi	LC
Ellobius alaicus	DD
Ellobius fuscocapillus	LC
Ellobius lutescens	LC
Ellobius talpinus	LC
Ellobius tancrei	LC
Emballonura alecto	LC
Emballonura beccarii	LC
Emballonura dianae	LC
Emballonura furax	LC
Emballonura monticola	LC
Emballonura raffrayana	LC
Emballonura semicaudata	EN
Emballonura serii	LC
Enchisthenes hartii	LC
Enhydra lutris	EN
Eoglaucomys fimbriatus	LC
Eolagurus luteus	LC
Eolagurus przewalskii	LC
Eonycteris major	DD
Eonycteris robusta	NT
Eonycteris spelaea	LC
Eospalax fontanierii	LC
Eospalax rothschildi	LC
Eospalax smithii	LC
Eothenomys cachinus	LC
Eothenomys chinensis	LC
Eothenomys custos	LC
Eothenomys melanogaster	LC
Eothenomys miletus	LC
Eothenomys olitor	LC
Eothenomys proditor	DD
Eothenomys wardi	NT
Eozapus setchuanus	LC
Episoriculus caudatus	LC
Episoriculus fumidus	LC
Episoriculus leucops	LC
Episoriculus macrurus	LC
Epixerus ebii	LC
Epomophorus angolensis	NT
Epomophorus anselli	DD
Epomophorus crypturus	LC
Epomophorus gambianus	LC
Epomophorus grandis	DD
Epomophorus labiatus	LC
Epomophorus minimus	LC
Epomophorus minor	LC
Epomophorus wahlbergi	LC
Epomops buettikoferi	LC
Epomops dobsonii	LC
Epomops franqueti	LC
Eptesicus andinus	LC
Eptesicus bobrinskoi	LC
Eptesicus bottae	LC
Eptesicus brasiliensis	LC
Eptesicus chiriquinus	LC
Eptesicus diminutus	LC
Eptesicus dimissus	DD
Eptesicus floweri	LC
Eptesicus furinalis	LC
Eptesicus fuscus	LC
Eptesicus gobiensis	LC
Eptesicus guadeloupensis	EN
Eptesicus hottentotus	LC
Eptesicus innoxius	NT
Eptesicus isabellinus	LC
Eptesicus japonensis	EN
Eptesicus kobayashii	DD
Eptesicus nasutus	LC
Eptesicus nilssonii	LC
Eptesicus pachyotis	LC
Eptesicus platyops	DD
Eptesicus serotinus	LC
Eptesicus taddeii	DD
Eptesicus tatei	DD
Equus africanus	CR
Equus ferus	EN
Equus grevyi	EN
Equus hemionus	NT
Equus kiang	LC
Equus quagga	NT
Equus zebra	VU
Eremitalpa granti	LC
Eremodipus lichtensteini	LC
Eremoryzomys polius	DD
Erethizon dorsatum	LC
Erignathus barbatus	LC
Erinaceus amurensis	LC
Erinaceus concolor	LC
Erinaceus europaeus	LC
Erinaceus roumanicus	LC
Eropeplus canus	VU
Erophylla bombifrons	LC
Erophylla sezekorni	LC
Erythrocebus patas	LC
Eschrichtius robustus	LC
Eschrichtius robustus	LC
Eubalaena australis	LC
Eubalaena australis	LC
Eubalaena glacialis	EN
Eubalaena japonica	EN
Eubalaena japonica	EN
Euchoreutes naso	LC
Euderma maculatum	LC
Eudiscoderma thongareeae	CR
Eudiscopus denticulus	LC
Eudorcas albonotata	LC
Eudorcas rufifrons	VU
Eudorcas rufina	DD
Eudorcas thomsonii	LC
Eudorcas tilonura	EN
Eulemur albifrons	EN
Eulemur cinereiceps	CR
Eulemur collaris	EN
Eulemur coronatus	EN
Eulemur flavifrons	CR
Eulemur fulvus	NT
Eulemur macaco	VU
Eulemur mongoz	CR
Eulemur rubriventer	VU
Eulemur rufifrons	NT
Eulemur rufus	VU
Eulemur sanfordi	EN
Eumetopias jubatus	NT
Eumops auripendulus	LC
Eumops bonariensis	LC
Eumops dabbenei	LC
Eumops delticus	DD
Eumops ferox	LC
Eumops floridanus	VU
Eumops glaucinus	LC
Eumops hansae	LC
Eumops maurus	DD
Eumops nanus	LC
Eumops patagonicus	LC
Eumops perotis	LC
Eumops trumbulli	LC
Eumops underwoodi	LC
Eumops wilsoni	DD
Euneomys chinchilloides	DD
Euneomys fossor	DD
Euneomys mordax	LC
Euneomys petersoni	LC
Euoticus elegantulus	LC
Euoticus pallidus	LC
Eupetaurus cinereus	EN
Euphractus sexcinctus	LC
Eupleres goudotii	VU
Eupleres major	EN
Euroscaptor grandis	LC
Euroscaptor klossi	LC
Euroscaptor longirostris	LC
Euroscaptor micrura	LC
Euroscaptor mizura	LC
Euroscaptor parvidens	DD
Euroscaptor subanura	DD
Euryoryzomys emmonsae	DD
Euryoryzomys lamia	VU
Euryoryzomys legatus	LC
Euryoryzomys macconnelli	LC
Euryoryzomys nitidus	LC
Euryoryzomys russatus	LC
Euryzygomatomys spinosus	LC
Eutamias sibiricus	LC
Exilisciurus concinnus	LC
Exilisciurus exilis	DD
Exilisciurus whiteheadi	LC
Falsistrellus affinis	LC
Falsistrellus mackenziei	NT
Falsistrellus mordax	DD
Falsistrellus petersi	DD
Falsistrellus tasmaniensis	LC
Felis bieti	VU
Felis chaus	LC
Felis margarita	LC
Felis nigripes	VU
Felis silvestris	LC
Felovia vae	LC
Feresa attenuata	LC
Feroculus feroculus	EN
Fossa fossana	VU
Fukomys anselli	NT
Fukomys bocagei	LC
Fukomys damarensis	LC
Fukomys darlingi	LC
Fukomys foxi	DD
Fukomys ilariae	DD
Fukomys kafuensis	VU
Fukomys mechowii	LC
Fukomys ochraceocinereus	LC
Fukomys vandewoestijneae	DD
Fukomys zechi	LC
Funambulus layardi	VU
Funambulus palmarum	LC
Funambulus pennantii	LC
Funambulus sublineatus	VU
Funambulus tristriatus	LC
Funisciurus anerythrus	LC
Funisciurus bayonii	DD
Funisciurus carruthersi	LC
Funisciurus congicus	LC
Funisciurus duchaillui	DD
Funisciurus isabella	LC
Funisciurus lemniscatus	LC
Funisciurus leucogenys	LC
Funisciurus pyrropus	LC
Funisciurus substriatus	DD
Furipterus horrens	LC
Galago gallarum	LC
Galago matschiei	LC
Galago moholi	LC
Galago senegalensis	LC
Galagoides cocos	LC
Galagoides demidoff	LC
Galagoides granti	LC
Galagoides orinus	NT
Galagoides rondoensis	CR
Galagoides thomasi	LC
Galagoides zanzibaricus	LC
Galea comes	DD
Galea flavidens	LC
Galea leucoblephara	LC
Galea musteloides	DD
Galea spixii	LC
Galemys pyrenaicus	VU
Galenomys garleppi	DD
Galeopterus variegatus	LC
Galictis cuja	LC
Galictis vittata	LC
Galidia elegans	LC
Galidictis fasciata	VU
Galidictis grandidieri	EN
Gardnerycteris crenulatum	LC
Gardnerycteris koepckeae	DD
Gazella arabica	VU
Gazella bennettii	LC
Gazella cuvieri	VU
Gazella dorcas	VU
Gazella gazella	EN
Gazella leptoceros	EN
Gazella marica	VU
Gazella spekei	EN
Gazella subgutturosa	VU
Genetta abyssinica	DD
Genetta angolensis	LC
Genetta bourloni	VU
Genetta cristata	VU
Genetta genetta	LC
Genetta johnstoni	NT
Genetta maculata	LC
Genetta pardina	LC
Genetta piscivora	NT
Genetta poensis	DD
Genetta servalina	LC
Genetta thierryi	LC
Genetta tigrina	LC
Genetta victoriae	LC
Geocapromys brownii	EN
Geocapromys ingrahami	VU
Geogale aurita	LC
Geomys arenarius	NT
Geomys attwateri	LC
Geomys breviceps	LC
Geomys bursarius	LC
Geomys knoxjonesi	LC
Geomys personatus	LC
Geomys pinetis	LC
Geomys texensis	LC
Geomys tropicalis	EN
Georychus capensis	LC
Geoxus annectens	VU
Geoxus valdivianus	LC
Gerbilliscus afra	LC
Gerbilliscus boehmi	LC
Gerbilliscus brantsii	LC
Gerbilliscus gambiana	LC
Gerbilliscus guineae	LC
Gerbilliscus inclusus	LC
Gerbilliscus kempi	LC
Gerbilliscus leucogaster	LC
Gerbilliscus nigricaudus	LC
Gerbilliscus phillipsi	LC
Gerbilliscus robustus	LC
Gerbilliscus validus	LC
Gerbillurus paeba	LC
Gerbillurus setzeri	LC
Gerbillurus tytonis	LC
Gerbillurus vallinus	LC
Gerbillus acticola	DD
Gerbillus agag	DD
Gerbillus amoenus	LC
Gerbillus andersoni	LC
Gerbillus aquilus	LC
Gerbillus bottai	DD
Gerbillus brockmani	DD
Gerbillus burtoni	DD
Gerbillus campestris	LC
Gerbillus cheesmani	LC
Gerbillus cosensis	DD
Gerbillus dasyurus	LC
Gerbillus dunni	LC
Gerbillus famulus	LC
Gerbillus floweri	LC
Gerbillus gerbillus	LC
Gerbillus gleadowi	LC
Gerbillus grobbeni	DD
Gerbillus harwoodi	LC
Gerbillus henleyi	LC
Gerbillus hesperinus	EN
Gerbillus hoogstraali	VU
Gerbillus jamesi	DD
Gerbillus juliani	LC
Gerbillus latastei	DD
Gerbillus lowei	DD
Gerbillus mackilligini	LC
Gerbillus maghrebi	LC
Gerbillus mesopotamiae	LC
Gerbillus muriculus	DD
Gerbillus nancillus	DD
Gerbillus nanus	LC
Gerbillus nigeriae	LC
Gerbillus occiduus	DD
Gerbillus percivali	DD
Gerbillus perpallidus	LC
Gerbillus poecilops	LC
Gerbillus principulus	DD
Gerbillus pulvinatus	LC
Gerbillus pusillus	LC
Gerbillus pyramidum	LC
Gerbillus rosalinda	LC
Gerbillus rupicola	LC
Gerbillus simoni	LC
Gerbillus somalicus	DD
Gerbillus stigmonyx	DD
Gerbillus tarabuli	LC
Gerbillus watersi	LC
Giraffa camelopardalis	VU
Glaucomys sabrinus	LC
Glaucomys volans	LC
Glauconycteris alboguttata	LC
Glauconycteris argentata	LC
Glauconycteris beatrix	LC
Glauconycteris curryae	DD
Glauconycteris egeria	DD
Glauconycteris gleni	DD
Glauconycteris humeralis	DD
Glauconycteris kenyacola	DD
Glauconycteris machadoi	DD
Glauconycteris poensis	LC
Glauconycteris superba	LC
Glauconycteris variegata	LC
Glironia venusta	LC
Glirulus japonicus	LC
Glis glis	LC
Glischropus javanus	DD
Glischropus tylopus	LC
Globicephala macrorhynchus	LC
Globicephala melas	LC
Globicephala melas	LC
Glossophaga commissarisi	LC
Glossophaga leachii	LC
Glossophaga longirostris	LC
Glossophaga morenoi	LC
Glossophaga soricina	LC
Glyphonycteris behnii	DD
Glyphonycteris daviesi	LC
Glyphonycteris sylvestris	LC
Glyphotes simus	DD
Golunda ellioti	LC
Gorilla beringei	CR
Gorilla gorilla	CR
Gracilimus radix	DD
Gracilinanus aceramarcae	LC
Gracilinanus agilis	LC
Gracilinanus dryas	LC
Gracilinanus emiliae	DD
Gracilinanus marica	LC
Gracilinanus microtarsus	LC
Grammomys aridulus	DD
Grammomys brevirostris	DD
Grammomys buntingi	DD
Grammomys caniceps	DD
Grammomys cometes	LC
Grammomys dolichurus	LC
Grammomys dryas	LC
Grammomys gigas	EN
Grammomys ibeanus	LC
Grammomys kuru	LC
Grammomys macmillani	LC
Grammomys minnae	VU
Grammomys selousi	LC
Grampus griseus	LC
Grampus griseus	LC
Graomys chacoensis	DD
Graomys domorum	LC
Graomys edithae	DD
Graomys griseoflavus	LC
Graphiurus angolensis	DD
Graphiurus christyi	LC
Graphiurus crassicaudatus	DD
Graphiurus johnstoni	DD
Graphiurus kelleni	LC
Graphiurus lorraineus	LC
Graphiurus microtis	LC
Graphiurus monardi	DD
Graphiurus murinus	LC
Graphiurus nagtglasii	LC
Graphiurus ocularis	LC
Graphiurus platyops	LC
Graphiurus rupicola	LC
Graphiurus surdus	DD
Graphiurus walterverheyeni	DD
Gulo gulo	LC
Gyldenstolpia fronto	CR
Gymnobelideus leadbeateri	CR
Gymnuromys roberti	LC
Habromys chinanteco	CR
Habromys delicatulus	EN
Habromys ixtlani	CR
Habromys lepturus	CR
Habromys lophurus	NT
Habromys schmidlyi	CR
Habromys simulatus	CR
Hadromys humei	EN
Hadromys yunnanensis	DD
Haeromys margarettae	DD
Haeromys minahassae	VU
Haeromys pusillus	VU
Halichoerus grypus	LC
Halichoerus grypus	LC
Halmaheramys bokimekot	DD
Handleyomys alfaroi	LC
Handleyomys chapmani	VU
Handleyomys fuscatus	LC
Handleyomys intectus	LC
Handleyomys melanotis	LC
Handleyomys rhabdops	VU
Handleyomys rostratus	LC
Handleyomys saturatior	NT
Hapalemur alaotrensis	CR
Hapalemur aureus	CR
Hapalemur griseus	VU
Hapalemur meridionalis	VU
Hapalemur occidentalis	VU
Hapalomys delacouri	VU
Hapalomys longicaudatus	EN
Haplonycteris fischeri	LC
Harpiocephalus harpia	LC
Harpiola grisea	DD
Harpiola isodon	DD
Harpyionycteris celebensis	VU
Harpyionycteris whiteheadi	LC
Heimyscus fumosus	LC
Helarctos malayanus	VU
Heliophobius argenteocinereus	LC
Heliosciurus gambianus	LC
Heliosciurus mutabilis	LC
Heliosciurus punctatus	DD
Heliosciurus rufobrachium	LC
Heliosciurus ruwenzorii	LC
Heliosciurus undulatus	DD
Helogale hirtula	LC
Helogale parvula	LC
Hemibelideus lemuroides	NT
Hemicentetes nigriceps	LC
Hemicentetes semispinosus	LC
Hemiechinus auritus	LC
Hemiechinus collaris	LC
Hemigalus derbyanus	NT
Hemitragus jemlahicus	NT
Herpailurus yagouaroundi	LC
Herpestes auropunctatus	LC
Herpestes brachyurus	NT
Herpestes edwardsii	LC
Herpestes flavescens	LC
Herpestes fuscus	LC
Herpestes ichneumon	LC
Herpestes javanicus	LC
Herpestes naso	LC
Herpestes ochraceus	LC
Herpestes pulverulentus	LC
Herpestes sanguineus	LC
Herpestes semitorquatus	NT
Herpestes smithii	LC
Herpestes urva	LC
Herpestes vitticollis	LC
Hesperoptenus blanfordi	LC
Hesperoptenus doriae	DD
Hesperoptenus gaskelli	DD
Hesperoptenus tickelli	LC
Hesperoptenus tomesi	VU
Heterocephalus glaber	LC
Heterogeomys cherriei	LC
Heterogeomys dariensis	LC
Heterogeomys lanius	CR
Heterohyrax brucei	LC
Heteromys adspersus	LC
Heteromys anomalus	LC
Heteromys australis	LC
Heteromys desmarestianus	LC
Heteromys gaumeri	LC
Heteromys irroratus	LC
Heteromys nelsoni	EN
Heteromys oasicus	EN
Heteromys oresterus	LC
Heteromys pictus	LC
Heteromys salvini	LC
Heteromys spectabilis	EN
Heteromys teleus	VU
Hippocamelus antisensis	VU
Hippocamelus bisulcus	EN
Hippopotamus amphibius	VU
Hipposideros abae	LC
Hipposideros armiger	LC
Hipposideros ater	LC
Hipposideros atrox	LC
Hipposideros beatus	LC
Hipposideros bicolor	LC
Hipposideros boeadii	DD
Hipposideros breviceps	DD
Hipposideros caffer	LC
Hipposideros calcaratus	LC
Hipposideros camerunensis	DD
Hipposideros cervinus	LC
Hipposideros cineraceus	LC
Hipposideros commersoni	NT
Hipposideros coronatus	DD
Hipposideros corynophyllus	LC
Hipposideros coxi	EN
Hipposideros crumeniferus	DD
Hipposideros curtus	VU
Hipposideros cyclops	LC
Hipposideros demissus	VU
Hipposideros diadema	LC
Hipposideros dinops	DD
Hipposideros doriae	NT
Hipposideros durgadasi	VU
Hipposideros dyacorum	LC
Hipposideros edwardshilli	VU
Hipposideros einnaythu	DD
Hipposideros fuliginosus	LC
Hipposideros fulvus	LC
Hipposideros galeritus	LC
Hipposideros gigas	LC
Hipposideros grandis	LC
Hipposideros halophyllus	VU
Hipposideros hypophyllus	CR
Hipposideros inexpectatus	DD
Hipposideros inornatus	VU
Hipposideros jonesi	NT
Hipposideros khaokhouayensis	VU
Hipposideros khasiana	DD
Hipposideros lamottei	CR
Hipposideros lankadiva	LC
Hipposideros larvatus	LC
Hipposideros lekaguli	NT
Hipposideros lylei	LC
Hipposideros macrobullatus	DD
Hipposideros madurae	LC
Hipposideros maggietaylorae	LC
Hipposideros marisae	VU
Hipposideros megalotis	LC
Hipposideros muscinus	LC
Hipposideros nequam	DD
