Agelaioides fringillarius
Agelaius assimilis
Agelaius humeralis
Agelaius phoeniceus
Agelaius tricolor
Agelaius xanthomus
Agelastes meleagrides
Agelastes niger
Agelasticus cyanopus
Agelasticus thilius
Agelasticus xanthophthalmus
Aglaeactis aliciae
Aglaeactis castelnaudii
Aglaeactis cupripennis
Aglaeactis pamela
Aglaiocercus berlepschi
Aglaiocercus coelestis
Aglaiocercus kingii
Agraphospiza rubescens
Agricola infuscatus
Agricola pallidus
Agriornis albicauda
Agriornis lividus
Agriornis micropterus
Agriornis montanus
Agriornis murinus
Agropsar philippensis
Agropsar sturninus
Ailuroedus buccoides
Ailuroedus crassirostris
Ailuroedus melanotis
Aimophila notosticta
Aimophila rufescens
Aimophila ruficeps
Aix galericulata
Aix sponsa
Akletos goeldii
Akletos melanoceps
Alaemon alaudipes
Alaemon hamertoni
Alauda arvensis
Alauda gulgula
Alauda leucoptera
Alauda razae
Alaudala raytal
Alaudala rufescens
Alaudala somalica
Alca torda
Alcedo atthis
Alcedo coerulescens
Alcedo euryzona
Alcedo hercules
Alcedo meninting
Alcedo peninsulae
Alcedo quadribrachys
Alcedo semitorquata
Alcippe brunneicauda
Alcippe grotei
Alcippe morrisonia
Alcippe nipalensis
Alcippe peracensis
Alcippe poioicephala
Alcippe pyrrhoptera
Aleadryas rufinucha
Alectoris barbara
Alectoris chukar
Alectoris graeca
Alectoris magna
Alectoris melanocephala
Alectoris philbyi
Alectoris rufa
Alectroenas madagascariensis
Alectroenas pulcherrimus
Alectroenas sganzini
Alectrurus risora
Alectrurus tricolor
Alectura lathami
Alethe castanea
Alethe diademata
Alipiopsitta xanthops
Alisterus amboinensis
Alisterus chloropterus
Alisterus scapularis
Alle alle
Allenia fusca
Alopecoenas beccarii
Alopecoenas canifrons
Alopecoenas erythropterus
Alopecoenas hoedtii
Alopecoenas jobiensis
Alopecoenas johannae
Alopecoenas kubaryi
Alopecoenas rubescens
Alopecoenas sanctaecrucis
Alopecoenas stairi
Alopecoenas xanthonurus
Alophoixus bres
Alophoixus finschii
Alophoixus flaveolus
Alophoixus frater
Alophoixus griseiceps
Alophoixus ochraceus
Alophoixus pallidus
Alophoixus phaeocephalus
Alophoixus ruficrissus
Alophoixus tephrogenys
Alopochelidon fucata
Alopochen aegyptiaca
Amadina erythrocephala
Amadina fasciata
Amalocichla incerta
Amalocichla sclateriana
Amandava amandava
Amandava formosa
Amandava subflava
Amaurocichla bocagii
Amaurolimnas concolor
Amaurornis cinerea
Amaurornis isabellina
Amaurornis magnirostris
Amaurornis marginalis
Amaurornis moluccana
Amaurornis olivacea
Amaurornis phoenicurus
Amaurospiza moesta
Amaurospiza relicta
Amazilia alfaroana
Amazilia amabilis
Amazilia amazilia
Amazilia bartletti
Amazilia beryllina
Amazilia boucardi
Amazilia brevirostris
Amazilia candida
Amazilia castaneiventris
Amazilia chionogaster
Amazilia cupreicauda
Amazilia cyanifrons
Amazilia cyanocephala
Amazilia cyanura
Amazilia decora
Amazilia edward
Amazilia fimbriata
Amazilia franciae
Amazilia grayi
Amazilia humboldtii
Amazilia lactea
Amazilia leucogaster
Amazilia luciae
Amazilia rosenbergi
Amazilia rutila
Amazilia sapphirina
Amazilia saucerottei
Amazilia tobaci
Amazilia tzacatl
Amazilia versicolor
Amazilia violiceps
Amazilia viridicauda
Amazilia viridifrons
Amazilia viridigaster
Amazilia wagneri
