species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_100_years
Abeillia abeillei	0.00011233	0.00009202	0.00013337	0.01110000
Abroscopus albogularis	0.00013153	0.00010845	0.00015334	0.01300000
Abroscopus schisticeps	0.00011941	0.00009919	0.00014128	0.01190000
Abroscopus superciliaris	0.00011060	0.00009095	0.00013087	0.01090000
Aburria aburri	0.00074907	0.00069531	0.00080288	0.07280000
Acanthagenys rufogularis	0.00012929	0.00010768	0.00015154	0.01280000
Acanthidops bairdi	0.00010644	0.00008640	0.00012686	0.01050000
Acanthis flammea	0.00008828	0.00007036	0.00010724	0.00870000
Acanthisitta chloris	0.00014660	0.00012274	0.00017052	0.01450000
Acanthiza apicalis	0.00015890	0.00013395	0.00018300	0.01570000
Acanthiza chrysorrhoa	0.00012142	0.00010106	0.00014433	0.01200000
Acanthiza cinerea	0.00009513	0.00007601	0.00011412	0.00940000
Acanthiza ewingii	0.00006623	0.00005080	0.00008184	0.00650000
Acanthiza inornata	0.00007706	0.00006006	0.00009432	0.00760000
Acanthiza iredalei	0.00011957	0.00009878	0.00014195	0.01180000
Acanthiza katherina	0.00009237	0.00007364	0.00011106	0.00910000
Acanthiza lineata	0.00011119	0.00009125	0.00013269	0.01100000
Acanthiza murina	0.00008630	0.00006910	0.00010479	0.00850000
Acanthiza nana	0.00008112	0.00006378	0.00009853	0.00800000
Acanthiza pusilla	0.00007522	0.00005830	0.00009179	0.00740000
Acanthiza reguloides	0.00007001	0.00005393	0.00008623	0.00690000
Acanthiza robustirostris	0.00011946	0.00009820	0.00014048	0.01180000
Acanthiza uropygialis	0.00014187	0.00011849	0.00016501	0.01400000
Acanthoptila nipalensis	0.00015669	0.00013242	0.00018062	0.01550000
Acanthorhynchus superciliosus	0.00013359	0.00011202	0.00015680	0.01320000
Acanthorhynchus tenuirostris	0.00015674	0.00013309	0.00018132	0.01550000
Acanthornis magna	0.00008319	0.00006534	0.00010105	0.00820000
Accipiter albogularis	0.00014566	0.00012291	0.00017014	0.01440000
Accipiter badius	0.00013660	0.00011432	0.00016009	0.01350000
Accipiter bicolor	0.00015458	0.00012922	0.00017747	0.01530000
Accipiter brachyurus	0.00234188	0.00224108	0.00243806	0.21210000
Accipiter brevipes	0.00015358	0.00013090	0.00017988	0.01520000
Accipiter butleri	0.00241656	0.00231728	0.00252083	0.21770000
Accipiter castanilius	0.00015375	0.00012929	0.00017860	0.01520000
Accipiter cirrocephalus	0.00015476	0.00012980	0.00017804	0.01530000
Accipiter collaris	0.00074047	0.00068721	0.00079463	0.07200000
Accipiter cooperii	0.00014636	0.00012226	0.00016981	0.01450000
Accipiter erythrauchen	0.00079924	0.00074502	0.00085689	0.07750000
Accipiter erythropus	0.00015503	0.00013082	0.00017889	0.01530000
Accipiter fasciatus	0.00014149	0.00011856	0.00016507	0.01400000
Accipiter francesiae	0.00017791	0.00015157	0.00020303	0.01760000
Accipiter gentilis	0.00016287	0.00013782	0.00018755	0.01610000
Accipiter griseiceps	0.00007515	0.00005895	0.00009230	0.00740000
Accipiter gularis	0.00014459	0.00012036	0.00016744	0.01430000
Accipiter gundlachi	0.00681291	0.00662721	0.00700979	0.49070000
Accipiter haplochrous	0.00071787	0.00066426	0.00076863	0.06980000
Accipiter henicogrammus	0.00083517	0.00077766	0.00089381	0.08090000
Accipiter henstii	0.00076581	0.00070881	0.00081801	0.07430000
Accipiter hiogaster	0.00012838	0.00010645	0.00015097	0.01270000
Accipiter imitator	0.00233234	0.00222947	0.00242740	0.21060000
Accipiter luteoschistaceus	0.00234738	0.00224747	0.00244918	0.21210000
Accipiter madagascariensis	0.00073947	0.00068561	0.00079466	0.07190000
Accipiter melanochlamys	0.00014596	0.00012319	0.00016995	0.01440000
Accipiter melanoleucus	0.00015889	0.00013385	0.00018316	0.01570000
Accipiter meyerianus	0.00015089	0.00012709	0.00017526	0.01490000
Accipiter minullus	0.00017614	0.00015146	0.00020340	0.01740000
Accipiter nanus	0.00069653	0.00064510	0.00074968	0.06770000
Accipiter nisus	0.00016905	0.00014489	0.00019497	0.01670000
Accipiter novaehollandiae	0.00013885	0.00011684	0.00016306	0.01370000
Accipiter ovampensis	0.00016218	0.00013645	0.00018644	0.01600000
Accipiter poliocephalus	0.00014867	0.00012546	0.00017389	0.01470000
Accipiter poliogaster	0.00037105	0.00033421	0.00040940	0.03650000
Accipiter princeps	0.00224164	0.00214665	0.00233885	0.20400000
Accipiter rhodogaster	0.00014363	0.00012093	0.00016740	0.01420000
Accipiter rufitorques	0.00016799	0.00014366	0.00019415	0.01660000
Accipiter rufiventris	0.00016484	0.00014106	0.00019177	0.01630000
Accipiter soloensis	0.00015859	0.00013459	0.00018358	0.01570000
Accipiter striatus	0.00013156	0.00010991	0.00015462	0.01300000
Accipiter superciliosus	0.00015698	0.00013394	0.00018253	0.01550000
Accipiter sylvestris	0.00009636	0.00007718	0.00011535	0.00950000
Accipiter tachiro	0.00011036	0.00009105	0.00013142	0.01090000
Accipiter toussenelii	0.00010516	0.00008529	0.00012537	0.01040000
Accipiter trinotatus	0.00016599	0.00014151	0.00019151	0.01640000
Accipiter trivirgatus	0.00007310	0.00005613	0.00008922	0.00720000
Accipiter virgatus	0.00014167	0.00011943	0.00016615	0.01400000
Aceros nipalensis	0.00210327	0.00200518	0.00219474	0.19280000
Achaetops pycnopygius	0.00015494	0.00013145	0.00017980	0.01530000
Acridotheres albocinctus	0.00011535	0.00009424	0.00013593	0.01140000
Acridotheres burmannicus	0.00011954	0.00009903	0.00014078	0.01180000
Acridotheres cinereus	0.00160125	0.00151889	0.00167873	0.14960000
Acridotheres cristatellus	0.00010958	0.00008861	0.00012994	0.01080000
Acridotheres fuscus	0.00017188	0.00014629	0.00019813	0.01700000
Acridotheres ginginianus	0.00013269	0.00011072	0.00015455	0.01310000
Acridotheres grandis	0.00013947	0.00011661	0.00016336	0.01380000
Acridotheres javanicus	0.00212820	0.00203319	0.00222205	0.19460000
Acridotheres leucocephalus	0.00017925	0.00015411	0.00020608	0.01770000
Acridotheres melanopterus	0.01188688	0.01159869	0.01217214	0.66750000
Acridotheres tertius	0.01575896	0.01541560	0.01612447	0.74770000
Acridotheres tricolor	0.01563518	0.01526575	0.01596841	0.74140000
Acridotheres tristis	0.00014981	0.00012638	0.00017491	0.01480000
Acritillas indica	0.00012747	0.00010487	0.00014925	0.01260000
Acrobatornis fonsecai	0.00159779	0.00151811	0.00167952	0.14920000
Acrocephalus aequinoctialis	0.00421275	0.00407436	0.00435283	0.34470000
Acrocephalus agricola	0.00015818	0.00013370	0.00018322	0.01560000
Acrocephalus arundinaceus	0.00014254	0.00011939	0.00016738	0.01410000
Acrocephalus atyphus	0.00011846	0.00009800	0.00014050	0.01170000
Acrocephalus australis	0.00018536	0.00015990	0.00021266	0.01830000
Acrocephalus bistrigiceps	0.00016789	0.00014262	0.00019297	0.01660000
Acrocephalus brevipennis	0.00608415	0.00589868	0.00625450	0.45430000
Acrocephalus caffer	0.00646676	0.00627728	0.00664593	0.47560000
Acrocephalus concinens	0.00014973	0.00012645	0.00017450	0.01480000
Acrocephalus dumetorum	0.00013144	0.00010942	0.00015391	0.01300000
Acrocephalus familiaris	0.01534943	0.01499952	0.01568782	0.73720000
Acrocephalus gracilirostris	0.00015477	0.00013136	0.00018073	0.01530000
Acrocephalus griseldis	0.00664791	0.00646156	0.00683917	0.48250000
Acrocephalus hiwae	0.01740808	0.01701007	0.01778223	0.77770000
Acrocephalus kerearako	0.00052345	0.00047645	0.00056852	0.05120000
Acrocephalus longirostris	0.02050363	0.02005485	0.02092748	0.82180000
Acrocephalus melanopogon	0.00011545	0.00009423	0.00013589	0.01140000
Acrocephalus mendanae	0.00014550	0.00012180	0.00016910	0.01440000
Acrocephalus newtoni	0.00016700	0.00014178	0.00019248	0.01650000
Acrocephalus orientalis	0.00013964	0.00011693	0.00016237	0.01380000
Acrocephalus orinus	0.00128015	0.00120934	0.00135444	0.12010000
Acrocephalus paludicola	0.00203386	0.00193821	0.00212380	0.18660000
Acrocephalus palustris	0.00015884	0.00013427	0.00018359	0.01570000
Acrocephalus percernis	0.00014370	0.00012045	0.00016677	0.01420000
Acrocephalus rehsei	0.00208299	0.00198811	0.00217530	0.19080000
Acrocephalus rimitarae	0.01262079	0.01232954	0.01292545	0.68690000
Acrocephalus rodericanus	0.00072922	0.00067528	0.00078429	0.07080000
Acrocephalus rufescens	0.00017011	0.00014532	0.00019631	0.01680000
Acrocephalus schoenobaenus	0.00012832	0.00010710	0.00015137	0.01280000
Acrocephalus scirpaceus	0.00010921	0.00008933	0.00012990	0.01080000
Acrocephalus sechellensis	0.00069626	0.00064375	0.00074799	0.06770000
Acrocephalus sorghophilus	0.00310815	0.00299246	0.00322524	0.26790000
Acrocephalus stentoreus	0.00016075	0.00013503	0.00018479	0.01590000
Acrocephalus syrinx	0.00014562	0.00012301	0.00016975	0.01440000
Acrocephalus taiti	0.00171147	0.00163032	0.00179560	0.15920000
Acrocephalus tangorum	0.00203944	0.00194459	0.00212815	0.18710000
Acrocephalus vaughani	0.00467423	0.00452959	0.00482875	0.37480000
Acropternis orthonyx	0.00009333	0.00007469	0.00011244	0.00920000
Acryllium vulturinum	0.00013534	0.00011299	0.00015872	0.01340000
Actenoides bougainvillei	0.00565512	0.00548032	0.00581838	0.43080000
Actenoides capucinus	0.00072180	0.00066874	0.00077598	0.07020000
Actenoides concretus	0.00064545	0.00059500	0.00069491	0.06290000
Actenoides excelsus	0.00543291	0.00527022	0.00559649	0.41780000
Actenoides hombroni	0.00207621	0.00198041	0.00216516	0.19030000
Actenoides lindsayi	0.00013568	0.00011330	0.00015837	0.01340000
Actenoides monachus	0.00075984	0.00070672	0.00081706	0.07380000
Actenoides princeps	0.00074981	0.00069404	0.00080311	0.07280000
Actenoides regalis	0.00231963	0.00222373	0.00241997	0.21080000
Actinodura egertoni	0.00014566	0.00012181	0.00016981	0.01440000
Actinodura radcliffei	0.00012350	0.00010248	0.00014588	0.01220000
Actinodura ramsayi	0.00013863	0.00011749	0.00016367	0.01370000
Actinodura sodangorum	0.00065909	0.00060755	0.00070878	0.06420000
Actitis hypoleucos	0.00012768	0.00010639	0.00015004	0.01260000
Actitis macularius	0.00011358	0.00009351	0.00013421	0.01120000
Actophilornis africanus	0.00014458	0.00012201	0.00016875	0.01430000
Actophilornis albinucha	0.00066964	0.00062082	0.00072380	0.06520000
Adelomyia melanogenys	0.00009138	0.00007322	0.00011055	0.00900000
Aechmophorus clarkii	0.00015984	0.00013563	0.00018466	0.01580000
Aechmophorus occidentalis	0.00015357	0.00012978	0.00017835	0.01520000
Aegithalos annamensis	0.00011847	0.00009772	0.00014060	0.01170000
Aegithalos bonvaloti	0.00016792	0.00014194	0.00019317	0.01660000
Aegithalos caudatus	0.00012863	0.00010635	0.00015092	0.01270000
Aegithalos concinnus	0.00012030	0.00009889	0.00014123	0.01190000
Aegithalos fuliginosus	0.00013548	0.00011351	0.00015821	0.01340000
Aegithalos glaucogularis	0.00012562	0.00010392	0.00014747	0.01240000
Aegithalos iouschistos	0.00013539	0.00011297	0.00015834	0.01340000
Aegithalos iredalei	0.00013958	0.00011783	0.00016361	0.01380000
Aegithalos leucogenys	0.00014858	0.00012581	0.00017299	0.01470000
Aegithalos niveogularis	0.00015761	0.00013307	0.00018208	0.01560000
Aegithina lafresnayei	0.00012257	0.00010077	0.00014446	0.01210000
Aegithina nigrolutea	0.00008834	0.00007046	0.00010634	0.00870000
Aegithina tiphia	0.00015411	0.00013092	0.00017844	0.01520000
Aegithina viridissima	0.00059776	0.00054980	0.00064546	0.05840000
Aegolius acadicus	0.00014977	0.00012531	0.00017285	0.01480000
Aegolius funereus	0.00014564	0.00012284	0.00017003	0.01440000
Aegolius harrisii	0.00013568	0.00011317	0.00015878	0.01340000
Aegolius ridgwayi	0.00012849	0.00010733	0.00015161	0.01270000
Aegotheles affinis	0.00149374	0.00141599	0.00156957	0.13880000
Aegotheles albertisi	0.00014052	0.00011783	0.00016477	0.01390000
Aegotheles archboldi	0.00011345	0.00009226	0.00013394	0.01120000
Aegotheles bennettii	0.00011352	0.00009391	0.00013480	0.01120000
Aegotheles crinifrons	0.00011842	0.00009643	0.00013840	0.01170000
Aegotheles cristatus	0.00010931	0.00008947	0.00013039	0.01080000
Aegotheles insignis	0.00012461	0.00010349	0.00014669	0.01230000
Aegotheles savesi	0.01963384	0.01920012	0.02005145	0.81160000
Aegotheles tatei	0.00128795	0.00121836	0.00136271	0.12110000
Aegotheles wallacii	0.00084470	0.00078700	0.00090216	0.08110000
Aegypius monachus	0.00059250	0.00054238	0.00064018	0.05790000
Aepypodius arfakianus	0.00014074	0.00011849	0.00016484	0.01390000
Aepypodius bruijnii	0.00632096	0.00613235	0.00649525	0.46730000
Aerodramus bartschi	0.00548032	0.00532060	0.00565283	0.42100000
Aerodramus brevirostris	0.00017594	0.00014979	0.00020155	0.01740000
Aerodramus elaphrus	0.00167610	0.00159126	0.00176012	0.15620000
Aerodramus francicus	0.00074600	0.00069083	0.00079925	0.07240000
Aerodramus fuciphagus	0.00014458	0.00012083	0.00016852	0.01430000
Aerodramus hirundinaceus	0.00010026	0.00008160	0.00012045	0.00990000
Aerodramus infuscatus	0.00009723	0.00007794	0.00011657	0.00960000
Aerodramus inquietus	0.00013574	0.00011364	0.00015888	0.01340000
Aerodramus leucophaeus	0.00014669	0.00012378	0.00017031	0.01450000
Aerodramus maximus	0.00016185	0.00013635	0.00018660	0.01600000
Aerodramus mearnsi	0.00007735	0.00006017	0.00009411	0.00760000
Aerodramus nuditarsus	0.00012547	0.00010461	0.00014789	0.01240000
Aerodramus orientalis	0.00146127	0.00138619	0.00153935	0.13610000
Aerodramus papuensis	0.00145919	0.00137700	0.00153314	0.13590000
Aerodramus pelewensis	0.00014769	0.00012361	0.00017184	0.01460000
Aerodramus salangana	0.00014660	0.00012383	0.00016959	0.01450000
Aerodramus sawtelli	0.00237012	0.00226981	0.00246884	0.21430000
Aerodramus spodiopygius	0.00010122	0.00008144	0.00012144	0.01000000
Aerodramus terraereginae	0.00014068	0.00011657	0.00016375	0.01390000
Aerodramus unicolor	0.00013330	0.00010988	0.00015586	0.01320000
Aerodramus vanikorensis	0.00013250	0.00011070	0.00015591	0.01310000
Aerodramus vulcanorum	0.00067805	0.00062491	0.00072935	0.06610000
Aerodramus whiteheadi	0.00118827	0.00111743	0.00125501	0.11240000
Aeronautes andecolus	0.00012866	0.00010680	0.00015175	0.01270000
Aeronautes montivagus	0.00014707	0.00012390	0.00017035	0.01450000
Aeronautes saxatalis	0.00013883	0.00011601	0.00016244	0.01370000
Aethia cristatella	0.00011354	0.00009285	0.00013453	0.01120000
Aethia psittacula	0.00011435	0.00009389	0.00013525	0.01130000
Aethia pusilla	0.00012341	0.00010302	0.00014610	0.01220000
