	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
1537	Eozapus setchuanus								LC								LC				
1538	Episoriculus caudatus								LC								LC				
1539	Episoriculus fumidus								LC								LC				
1540	Episoriculus leucops								LC								LC				
1541	Episoriculus macrurus								LC								LC				
1542	Epixerus ebii				DD				LC								LC				
1543	Epomophorus angolensis				NT				NT								NT				
1544	Epomophorus anselli								DD								DD				
1545	Epomophorus crypturus				LC				LC								LC				
1546	Epomophorus gambianus				LC				LC								LC				
1547	Epomophorus grandis				DD				DD								DD				
1548	Epomophorus labiatus																LC				
1549	Epomophorus minimus				LC				LC								LC				
1550	Epomophorus minor																LC				
1551	Epomophorus wahlbergi				LC				LC								LC				
1552	Epomops buettikoferi				LC				LC								LC				
1553	Epomops dobsonii				LC				LC								LC				
1554	Epomops franqueti				LC				LC								LC				LC
1555	Eptesicus andinus								LC								LC				
1556	Eptesicus bobrinskoi								LC											DD	
1557	Eptesicus bottae				LC				LC												
1558	Eptesicus brasiliensis								LC								LC				
1559	Eptesicus chiriquinus								LC											LC	
1560	Eptesicus diminutus								DD								LC				
1561	Eptesicus dimissus								DD								DD				
1562	Eptesicus floweri				VU				LC									LC			
1563	Eptesicus furinalis								LC								LC				
1564	Eptesicus fuscus								LC								LC				
1565	Eptesicus gobiensis								LC											LC	
1566	Eptesicus guadeloupensis								VU								EN				
1567	Eptesicus hottentotus				LC				LC									LC			
1568	Eptesicus innoxius								NT								NT				NT
1569	Eptesicus isabellinus																LC				
1570	Eptesicus japonensis								EN												
1571	Eptesicus kobayashii								DD											DD	
1572	Eptesicus lobatus																			DD	
1573	Eptesicus nilssonii								LC								LC				
1574	Eptesicus pachyomus																			LC	
1575	Eptesicus pachyotis								LC											LC	
1576	Eptesicus platyops				DD				DD											DD	
1577	Eptesicus serotinus								LC												
1578	Eptesicus taddeii																	DD			
1579	Eptesicus tatei				DD				DD								DD				
1580	Equus africanus								CR							CR					
1581	Equus ferus								CR			EN				EN					
1582	Equus grevyi								EN					EN			EN				
1583	Equus hemionus		VU						EN							NT					
1584	Equus kiang								LC							LC					
1585	Equus quagga		LC						LC								NT				
1586	Equus zebra								VU											VU	
1587	Eremitalpa granti						NT		LC							LC					
1588	Eremodipus lichtensteini								LC								LC				
1589	Eremoryzomys polius								DD											DD	
1590	Erethizon dorsatum								LC								LC				
1591	Erignathus barbatus								LC								LC				
1592	Erinaceus amurensis								LC								LC				
1593	Erinaceus concolor								LC								LC				
1594	Erinaceus europaeus								LC								LC				
1595	Erinaceus roumanicus								LC								LC				
1596	Eropeplus canus								VU								VU				
1597	Erophylla bombifrons								LC											LC	
1598	Erophylla sezekorni								LC											LC	
1599	Erythrocebus patas								LC												
1600	Eschrichtius robustus								CR										EN		
1601	Eubalaena australis								CR					CR					CR		
1602	Eubalaena glacialis								EN				EN						EN		
1603	Eubalaena japonica								CR										CR		
1604	Euchoreutes naso								LC								LC				
1605	Euderma maculatum								LC									LC			
1606	Eudiscoderma thongareeae																	CR			
1607	Eudiscopus denticulus								DD								LC				
1608	Eudorcas albonotata								LC								LC				
1609	Eudorcas rufifrons								VU									VU			
1610	Eudorcas thomsonii								NT										LC		
1611	Eudorcas tilonura								VU									EN			
1612	Eulemur albifrons								VU						EN						
1613	Eulemur cinereiceps								EN						CR						
1614	Eulemur collaris								VU						EN						
1615	Eulemur coronatus								VU						EN						
1616	Eulemur flavifrons								EN			CR			CR						
1617	Eulemur fulvus								NT						NT						
1618	Eulemur macaco								VU			VU			VU						
1619	Eulemur mongoz								VU						CR						
1620	Eulemur rubriventer								VU						VU						
1621	Eulemur rufifrons								NT						NT						
1622	Eulemur rufus								DD						VU						
1623	Eulemur sanfordi								EN						EN						
1624	Eumetopias jubatus								EN				NT				NT				
1625	Eumops auripendulus								LC							LC					
1626	Eumops bonariensis																LC				
1627	Eumops dabbenei								LC							LC					
1628	Eumops delticus																		DD		
1629	Eumops ferox																			LC	
1630	Eumops floridanus								CR								VU				
1631	Eumops glaucinus																LC				
1632	Eumops hansae								LC							LC					
1633	Eumops maurus								DD								DD				
1634	Eumops nanus																	LC			
1635	Eumops patagonicus								LC							LC					
1636	Eumops perotis								LC							LC					
1637	Eumops trumbulli								LC											LC	
1638	Eumops underwoodi								LC								LC				
1639	Eumops wilsoni																DD				
1640	Euneomys chinchilloides								DD											DD	
1641	Euneomys fossor								DD											DD	
1642	Euneomys mordax								LC								LC				
1643	Euneomys petersoni								LC								LC				
1644	Euoticus elegantulus								LC											LC	
1645	Euoticus pallidus								LC												
1646	Eupetaurus cinereus								DD		EN										
1647	Euphractus sexcinctus						LC		LC		LC				LC						
1648	Eupleres goudotii																VU				
1649	Eupleres major																EN				
1650	Euroscaptor grandis								LC								LC				
1651	Euroscaptor klossi								LC								LC				
1652	Euroscaptor longirostris								LC								LC				
1653	Euroscaptor micrura								LC								LC				
1654	Euroscaptor mizura								LC								LC				
1655	Euroscaptor parvidens								DD								DD				
1656	Euroscaptor subanura																DD				
1657	Euryoryzomys emmonsae								DD											DD	
1658	Euryoryzomys lamia								EN										VU		
1659	Euryoryzomys legatus								LC								LC				
1660	Euryoryzomys macconnelli								LC								LC				
1661	Euryoryzomys nitidus								LC								LC				
1662	Euryoryzomys russatus								LC								LC				
1663	Euryzygomatomys spinosus								LC								LC				
1664	Eutamias sibiricus								LC								LC				
1665	Exilisciurus concinnus								LC								LC				
1666	Exilisciurus exilis								DD								DD				
1667	Exilisciurus whiteheadi								LC								LC				
1668	Falsistrellus mackenziei								NT									NT			
1669	Falsistrellus mordax								DD								DD				
1670	Falsistrellus petersi								DD								DD				
1671	Falsistrellus tasmaniensis								LC												
1672	Felis bieti		VU						VU		VU					VU					
1673	Felis chaus		LC						LC								LC				
1674	Felis margarita		NT						NT			NT					LC				
1675	Felis nigripes		VU						VU								VU				
1676	Felis silvestris															LC					
1677	Felovia vae				DD				DD									LC			
1678	Feresa attenuata								DD										LC		
1679	Feroculus feroculus								EN												
1680	Fossa fossana								NT							VU					
1681	Fukomys anselli				NT				NT												
1682	Fukomys bocagei				DD				LC								LC				
1683	Fukomys damarensis				LC				LC								LC				
1684	Fukomys darlingi				LC				LC								LC				
1685	Fukomys foxi				DD				DD											DD	
1686	Fukomys ilariae																			DD	
1687	Fukomys kafuensis				VU				VU												
1688	Fukomys mechowii				LC				LC								LC				
1689	Fukomys ochraceocinereus				DD				LC								LC				
1690	Fukomys vandewoestijneae																			DD	
1691	Fukomys zechi				LC				LC								LC				
1692	Funambulus layardi								VU								VU				
1693	Funambulus palmarum								LC								LC				
1694	Funambulus pennantii								LC								LC				
1695	Funambulus sublineatus								VU												
1696	Funambulus tristriatus								LC								LC				
1697	Funisciurus anerythrus				DD				LC								LC				
1698	Funisciurus bayonii				DD				DD								DD				
1699	Funisciurus carruthersi				LC				LC								LC				
1700	Funisciurus congicus				LC				LC								LC				
1701	Funisciurus duchaillui								DD								DD				
1702	Funisciurus isabella				LC				LC								LC				
1703	Funisciurus lemniscatus				DD				LC								LC				
1704	Funisciurus leucogenys				DD				LC								LC				
1705	Funisciurus pyrropus				LC				LC								LC				
1706	Funisciurus substriatus				DD				DD								DD				
1707	Furipterus horrens								LC								LC				
1708	Galago gallarum								LC											LC	
1709	Galago matschiei								LC											LC	
1710	Galago moholi								LC											LC	
1711	Galago senegalensis								LC											LC	
1712	Galagoides demidoff								LC								LC			LC	
1713	Galagoides thomasi								LC											LC	
1714	Galea comes																DD				
1715	Galea flavidens								LC								LC				
1716	Galea leucoblephara																LC				
1717	Galea musteloides																DD				
1718	Galea spixii								LC								LC				
1719	Galemys pyrenaicus								VU												
1720	Galenomys garleppi								DD											DD	
1721	Galeopterus variegatus								LC												
1722	Galictis cuja								LC								LC				
1723	Galictis vittata								LC								LC				
1724	Galidia elegans								LC							LC					
1725	Galidictis fasciata								NT								VU				
1726	Galidictis grandidieri								EN							EN					
1727	Gardnerycteris crenulatum								LC							LC				LC	
1728	Gardnerycteris koepckeae								DD							DD				DD	
1729	Gazella arabica																	VU			
1730	Gazella bennettii			LC					LC									LC			
1731	Gazella cuvieri							EN	EN								VU				
1732	Gazella dorcas							VU	VU									VU			
1733	Gazella gazella			EN														EN			
1734	Gazella leptoceros							EN	EN								EN				
1735	Gazella marica			VU					VU									VU			
1736	Gazella spekei							EN	EN								EN				
1737	Gazella subgutturosa			NT			VU		VU									VU			
1738	Genetta abyssinica								LC								DD				
1739	Genetta angolensis								LC								LC				
1740	Genetta bourloni								NT							VU					
1741	Genetta cristata								VU							VU					
1742	Genetta genetta								LC							LC					
1743	Genetta johnstoni								VU								NT				
1744	Genetta maculata								LC								LC				
1745	Genetta pardina								LC								LC				
1746	Genetta piscivora								DD							NT					
1747	Genetta poensis								DD							DD					
1748	Genetta servalina								LC							LC	LC				
1749	Genetta thierryi								LC							LC					
1750	Genetta tigrina								LC							LC					
1751	Genetta victoriae								LC								LC				
1752	Geocapromys brownii								VU										EN		
1753	Geocapromys ingrahami								VU												
1754	Geogale aurita						LC		LC							LC	LC				
1755	Geomys arenarius								NT											NT	
1756	Geomys attwateri								LC								LC				
1757	Geomys breviceps								LC								LC				
1758	Geomys bursarius								LC								LC				
1759	Geomys knoxjonesi								LC								LC				
1760	Geomys personatus								LC								LC				
1761	Geomys pinetis								LC								LC				
1762	Geomys texensis								LC								LC				
1763	Geomys tropicalis								CR										EN		
1764	Georychus capensis				LC				LC								LC	LC			
1765	Geoxus annectens		DD						VU										VU		
1766	Geoxus valdivianus								LC								LC				
1767	Gerbilliscus afra			LC	LC				LC								LC				
1768	Gerbilliscus boehmi				LC				LC								LC				
1769	Gerbilliscus brantsii				LC				LC								LC				
1770	Gerbilliscus gambiana				LC				LC									LC			
1771	Gerbilliscus guineae				LC				LC								LC				
1772	Gerbilliscus inclusus				LC				LC								LC				
1773	Gerbilliscus kempi				LC				LC											LC	
1774	Gerbilliscus leucogaster				LC				LC								LC				
1775	Gerbilliscus nigricaudus				LC				LC									LC			
1776	Gerbilliscus phillipsi				LC				LC								LC				
1777	Gerbilliscus robustus				LC				LC								LC				
1778	Gerbilliscus validus				LC				LC								LC				
1779	Gerbillurus paeba				LC				LC								LC				
1780	Gerbillurus setzeri				LC				LC								LC				
1781	Gerbillurus tytonis				LC				LC								LC				
1782	Gerbillurus vallinus				LC				LC								LC				
1783	Gerbillus acticola				DD				DD									DD			
1784	Gerbillus agag				DD				DD									DD			
1785	Gerbillus amoenus				DD				LC								LC				
1786	Gerbillus andersoni								LC								LC				
1787	Gerbillus aquilus								LC								LC				
1788	Gerbillus bottai				DD				DD									DD			
1789	Gerbillus brockmani				DD				DD									DD			
1790	Gerbillus burtoni				DD				DD									DD			
1791	Gerbillus campestris				LC				LC								LC				
1792	Gerbillus cheesmani								LC								LC				
1793	Gerbillus cosensis				DD				DD								DD				
1794	Gerbillus dasyurus								LC								LC				
1795	Gerbillus dunni				DD				LC								LC				
1796	Gerbillus famulus								LC									LC			
1797	Gerbillus floweri				LC				LC												
1798	Gerbillus gerbillus				LC				LC								LC				
1799	Gerbillus gleadowi								NT		LC						LC				
1800	Gerbillus grobbeni				DD				DD									DD			
1801	Gerbillus harwoodi				LC				LC								LC				
1802	Gerbillus henleyi				LC				LC								LC				
1803	Gerbillus hesperinus				VU				EN											EN	
1804	Gerbillus hoogstraali				NT				VU										VU		
1805	Gerbillus jamesi				DD				DD									DD			
1806	Gerbillus juliani				LC				LC									LC			
1807	Gerbillus latastei				DD				LC											DD	
1808	Gerbillus lowei				DD				DD									DD			
1809	Gerbillus mackilligini				LC				LC								LC				
1810	Gerbillus maghrebi				LC				LC												
1811	Gerbillus mesopotamiae								LC								LC				
1812	Gerbillus muriculus				LC				DD									DD			
1813	Gerbillus nancillus				DD				DD									DD			
1814	Gerbillus nanus				LC				LC								LC				
1815	Gerbillus nigeriae				LC				LC								LC				
1816	Gerbillus occiduus				DD				DD									DD			
1817	Gerbillus percivali								DD								DD				
1818	Gerbillus perpallidus				LC				LC												
1819	Gerbillus poecilops								LC									LC			
1820	Gerbillus principulus				DD				DD									DD			
1821	Gerbillus pulvinatus				LC				LC								LC				
1822	Gerbillus pusillus				LC				LC											LC	
1823	Gerbillus pyramidum				LC				LC								LC				
1824	Gerbillus rosalinda				DD				LC								LC				
1825	Gerbillus rupicola				DD				LC									LC			
1826	Gerbillus simoni				LC				LC								LC				
1827	Gerbillus somalicus				DD				DD									DD			
1828	Gerbillus stigmonyx				DD				DD									DD			
1829	Gerbillus tarabuli				LC				LC								LC				
1830	Gerbillus watersi				LC				LC								LC				
1831	Giraffa camelopardalis								LC		LC						VU		VU		
1832	Glaucomys sabrinus								LC								LC				
1833	Glaucomys volans								LC								LC				
1834	Glauconycteris alboguttata				DD				LC									LC			
1835	Glauconycteris argentata				LC				LC									LC			
1836	Glauconycteris beatrix				NT				LC									LC			
1837	Glauconycteris curryae				DD				DD											DD	
1838	Glauconycteris egeria				DD				DD											DD	
1839	Glauconycteris gleni				VU				DD											DD	
1840	Glauconycteris humeralis				DD				DD											DD	
1841	Glauconycteris kenyacola				DD				DD											DD	
1842	Glauconycteris machadoi				DD				DD											DD	
1843	Glauconycteris poensis				LC				LC									LC			
1844	Glauconycteris superba				VU				LC									LC			
1845	Glauconycteris variegata				LC				LC									LC			
1846	Glironia venusta								LC								LC				
1847	Glirulus japonicus								LC								LC				
1848	Glis glis								LC								LC				
1849	Glischropus bucephalus																			LC	
1850	Glischropus javanus								DD								DD				
1851	Glischropus tylopus								LC												
1852	Globicephala macrorhynchus								DD			DD							LC		
1853	Globicephala melas								DD				DD						LC		
1854	Glossophaga commissarisi								LC								LC				
1855	Glossophaga leachii								LC								LC				
1856	Glossophaga longirostris								DD										LC		
1857	Glossophaga morenoi								LC							LC					
1858	Glossophaga soricina								LC							LC					
1859	Glyphonycteris behnii								DD								DD				
1860	Glyphonycteris daviesi								LC										LC		
1861	Glyphonycteris sylvestris								LC										LC		
1862	Glyphotes simus								DD								DD				
1863	Golunda ellioti								LC								LC				
1864	Gorilla beringei								EN								CR			CR	
1865	Gorilla gorilla							CR	CR								CR		CR		
1866	Gracilimus radix																			DD	
1867	Gracilinanus aceramarcae								LC								LC				
1868	Gracilinanus agilis								LC			LC				LC					
1869	Gracilinanus dryas								NT			NT					LC				
1870	Gracilinanus emiliae								DD								DD				
1871	Gracilinanus marica								LC			LC					LC				
1872	Gracilinanus microtarsus								LC							LC					
1873	Grammomys aridulus				NT				DD											DD	
1874	Grammomys brevirostris																			DD	
1875	Grammomys buntingi				DD				DD											DD	
1876	Grammomys caniceps				DD				DD								DD				
1877	Grammomys cometes				LC				LC								LC				
1878	Grammomys dolichurus				LC				LC								LC				
1879	Grammomys dryas				NT				NT											LC	
1880	Grammomys gigas				EN				EN								EN				
1881	Grammomys ibeanus				LC				LC								LC				
1882	Grammomys kuru				LC				LC								LC				
1883	Grammomys macmillani				LC				LC								LC				
1884	Grammomys minnae				VU				VU								VU				
1885	Grammomys selousi																LC				
1886	Grampus griseus								LC				DD						LC		
1887	Graomys chacoensis																			DD	
1888	Graomys domorum								LC								LC				
1889	Graomys edithae								DD											DD	
1890	Graomys griseoflavus								LC								LC				
1891	Graphiurus angolensis				DD				DD									DD			
1892	Graphiurus christyi				DD				LC								LC				
1893	Graphiurus crassicaudatus				DD				DD								DD				
1894	Graphiurus johnstoni				DD				DD								DD				
1895	Graphiurus kelleni				DD				LC							LC	LC				
1896	Graphiurus lorraineus				LC				LC								LC				
1897	Graphiurus microtis				LC				LC								LC				
1898	Graphiurus monardi				DD				DD								DD				
1899	Graphiurus murinus				LC				LC								LC				
1900	Graphiurus nagtglasii				LC				LC								LC				
1901	Graphiurus ocularis			LC	LC				LC								LC				
1902	Graphiurus platyops				LC				LC								LC				
1903	Graphiurus rupicola				LC				LC								LC				
1904	Graphiurus surdus		DD		DD				DD								DD				
1905	Graphiurus walterverheyeni																			DD	DD
1906	Gulo gulo								NT	LC							LC				
1907	Gyldenstolpia fronto								EN										CR		
1908	Gymnobelideus leadbeateri								EN								CR				
1909	Gymnuromys roberti								LC								LC				
1910	Habromys chinanteco								CR										CR		
1911	Habromys delicatulus								CR									EN			
1912	Habromys ixtlani								CR										CR		
1913	Habromys lepturus								CR										CR		
1914	Habromys lophurus								NT											NT	
1915	Habromys schmidlyi								CR										CR		
1916	Habromys simulatus								EN										CR		
1917	Hadromys humei								EN								EN				
1918	Hadromys yunnanensis								DD								DD				
1919	Haeromys margarettae								DD								DD				
1920	Haeromys minahassae								VU												
1921	Haeromys pusillus								VU								VU				
1922	Halichoerus grypus								LC								LC				
1923	Halmaheramys bokimekot																			DD	DD
1924	Handleyomys alfaroi								LC								LC				
1925	Handleyomys chapmani								LC										VU		
1926	Handleyomys fuscatus								LC								LC				
1927	Handleyomys intectus								LC								LC				
1928	Handleyomys melanotis								LC								LC				
1929	Handleyomys rhabdops								VU											EN	
1930	Handleyomys rostratus								LC								LC				
1931	Handleyomys saturatior								NT												
1932	Hapalemur alaotrensis								CR						CR						
1933	Hapalemur aureus								EN						CR						
1934	Hapalemur griseus								VU						VU						
1935	Hapalemur meridionalis								VU						VU						
1936	Hapalemur occidentalis								VU						VU						
1937	Hapalomys delacouri								VU												
1938	Hapalomys longicaudatus								EN								EN				
1939	Haplonycteris fischeri								LC												
1940	Harpiocephalus harpia																			LC	
1941	Harpiola grisea				CR				DD								DD				
1942	Harpiola isodon								DD												
1943	Harpyionycteris celebensis								VU												
1944	Harpyionycteris whiteheadi								LC												
1945	Heimyscus fumosus				LC				LC								LC				
1946	Helarctos malayanus								VU									VU			
1947	Heliophobius argenteocinereus				LC				LC								LC				
1948	Heliosciurus gambianus				LC				LC								LC				
1949	Heliosciurus mutabilis				LC				LC								LC				
1950	Heliosciurus punctatus				DD				DD								DD				
1951	Heliosciurus rufobrachium				LC				LC								LC				
1952	Heliosciurus ruwenzorii				LC				LC								LC				
1953	Heliosciurus undulatus				DD				DD								DD				
1954	Helogale hirtula								LC							LC					
1955	Helogale parvula								LC							LC					
1956	Hemibelideus lemuroides								NT											NT	
1957	Hemicentetes nigriceps						LC		LC							LC	LC				
1958	Hemicentetes semispinosus						LC		LC							LC	LC				
1959	Hemiechinus auritus								LC								LC				
1960	Hemiechinus collaris								LC								LC				
1961	Hemigalus derbyanus								VU							NT					
1962	Hemitragus jemlahicus								NT												
1963	Herpailurus yagouaroundi		LC						LC							LC					
1964	Herpestes auropunctatus																LC				
1965	Herpestes brachyurus								LC								NT				
1966	Herpestes edwardsii								LC			LC					LC				
1967	Herpestes flavescens								LC							LC					
1968	Herpestes fuscus								VU							LC					
1969	Herpestes ichneumon								LC								LC				
1970	Herpestes javanicus																LC				
1971	Herpestes naso								LC							LC					
1972	Herpestes ochraceus								LC							LC					
1973	Herpestes pulverulentus								LC							LC					
1974	Herpestes sanguineus								LC								LC				
1975	Herpestes semitorquatus								DD							NT					
1976	Herpestes smithii								LC								LC				
1977	Herpestes urva								LC							LC					
1978	Herpestes vitticollis								LC								LC				
1979	Hesperoptenus blanfordi								LC											LC	
1980	Hesperoptenus doriae								DD												
1981	Hesperoptenus gaskelli								DD												
1982	Hesperoptenus tickelli								LC											LC	
1983	Hesperoptenus tomesi								VU												
1984	Heterocephalus glaber				LC				LC								LC				
1985	Heterogeomys cherriei																LC				
1986	Heterogeomys dariensis																LC				
1987	Heterogeomys lanius								CR									CR			
1988	Heterohyrax brucei						LC		LC							LC					
1989	Heteromys adspersus								LC								LC				
1990	Heteromys anomalus								LC												
1991	Heteromys australis								LC								LC				
1992	Heteromys catopterius																			LC	
1993	Heteromys desmarestianus																LC				
1994	Heteromys gaumeri								LC								LC				
1995	Heteromys irroratus								LC								LC				
1996	Heteromys nelsoni								EN										EN		
1997	Heteromys oasicus								EN										EN		
1998	Heteromys oresterus								LC								LC				
1999	Heteromys pictus								LC								LC				
2000	Heteromys salvini								LC								LC				
2001	Heteromys spectabilis								EN										EN		
2002	Heteromys teleus								VU										VU		
2003	Hippocamelus antisensis								VU									VU			
2004	Hippocamelus bisulcus								EN								EN				
2005	Hippopotamus amphibius						VU		VU									VU			
2006	Hipposideros abae				NT				LC									LC			
2007	Hipposideros alongensis																			VU	
2008	Hipposideros armiger								LC												
2009	Hipposideros ater								LC												
2010	Hipposideros atrox																			LC	LC
2011	Hipposideros beatus				LC				LC									LC			
2012	Hipposideros bicolor								LC												
2013	Hipposideros boeadii								DD								DD				
2014	Hipposideros breviceps								DD								DD				
2015	Hipposideros caffer				LC				LC												
2016	Hipposideros calcaratus								LC												
2017	Hipposideros camerunensis				DD				DD											DD	
2018	Hipposideros cervinus								LC												
2019	Hipposideros cineraceus								LC											LC	
2020	Hipposideros commersoni								NT											NT	
2021	Hipposideros coronatus								DD								DD				
2022	Hipposideros corynophyllus								DD									LC			
2023	Hipposideros coxi								DD								EN				
2024	Hipposideros crumeniferus								DD								DD				
2025	Hipposideros curtus				VU				VU												
2026	Hipposideros cyclops				LC				LC									LC			
2027	Hipposideros demissus								VU												
2028	Hipposideros diadema								LC												
2029	Hipposideros dinops								DD												
2030	Hipposideros doriae								NT												
2031	Hipposideros durgadasi				EN				EN								VU				
2032	Hipposideros dyacorum								LC												
2033	Hipposideros edwardshilli								DD									VU			
2034	Hipposideros einnaythu																			DD	
2035	Hipposideros fuliginosus				NT				LC									LC			
2036	Hipposideros fulvus								LC											LC	
2037	Hipposideros galeritus								LC											LC	
2038	Hipposideros gigas				LC				LC									LC			
2039	Hipposideros grandis								DD								LC				
2040	Hipposideros griffini																			NT	
2041	Hipposideros halophyllus								EN								VU				
2042	Hipposideros hypophyllus				EN				EN								CR				
2043	Hipposideros inexpectatus								DD								DD				
2044	Hipposideros inornatus								VU												
2045	Hipposideros jonesi				NT				NT												
2046	Hipposideros khaokhouayensis								VU											VU	VU
2047	Hipposideros khasiana																			DD	
2048	Hipposideros lamottei				CR				CR												
2049	Hipposideros lankadiva				LC				LC											LC	
2050	Hipposideros larvatus								LC												
2051	Hipposideros lekaguli								NT											NT	
2052	Hipposideros lylei								LC											LC	
2053	Hipposideros macrobullatus								DD								DD				
2054	Hipposideros madurae								LC												
2055	Hipposideros maggietaylorae								LC												
2056	Hipposideros marisae				EN				VU												
2057	Hipposideros megalotis				NT				LC									LC			
2058	Hipposideros muscinus								DD									LC			
2059	Hipposideros nequam								DD								DD				
2060	Hipposideros obscurus								LC											LC	
2061	Hipposideros orbiculus								EN								VU				
2062	Hipposideros papua								LC												
2063	Hipposideros pelingensis								NT												
2064	Hipposideros pendlebury																			VU	
2065	Hipposideros pomona								LC											LC	
2066	Hipposideros pratti								LC											LC	
2067	Hipposideros pygmaeus								LC											LC	
2068	Hipposideros ridleyi								VU												
2069	Hipposideros rotalis								LC											LC	
2070	Hipposideros ruber				LC				LC									LC			
2071	Hipposideros scutinares								VU											VU	
2072	Hipposideros semoni								DD									LC			
2073	Hipposideros sorenseni								VU												
2074	Hipposideros speoris				LC				LC											LC	
2075	Hipposideros stenotis								LC												
2076	Hipposideros sumbae								LC												
2077	Hipposideros tephrus																	LC			
2078	Hipposideros thomensis				NT				LC									LC			
2079	Hipposideros turpis																			EN	
2080	Hipposideros vittatus								NT												
2081	Hipposideros wollastoni								LC									LC			
2082	Hippotragus equinus								LC									LC			
2083	Hippotragus niger								LC									LC			
2084	Histiotus alienus								DD								DD				
2085	Histiotus humboldti								DD								DD				
2086	Histiotus laephotis								NT											LC	
2087	Histiotus macrotus								LC								LC				
2088	Histiotus magellanicus								LC								LC				
2089	Histiotus montanus								LC								LC				
2090	Histiotus velatus								DD								DD				
2091	Histriophoca fasciata								DD								LC				
2092	Hodomys alleni								LC								LC				
2093	Holochilus brasiliensis								LC								LC				
2094	Holochilus chacarius								LC								LC				
2095	Holochilus sciureus								LC								LC				
2096	Homo sapiens								LC												
2097	Hoolock hoolock								EN											EN	
2098	Hoolock leuconedys																			VU	
2099	Hoolock tianxing																			EN	
2100	Hoplomys gymnurus								LC								LC				
2101	Huetia leucorhina						DD		DD							DD					
2102	Hyaena hyaena								NT							NT					
2103	Hybomys badius																			EN	
2104	Hybomys basilii				EN				EN								EN				
2105	Hybomys eisentrauti																			EN	
2106	Hybomys lunaris				VU				VU								VU				
2107	Hybomys planifrons				LC				LC								LC				
2108	Hybomys trivirgatus				LC				LC								LC				
2109	Hybomys univittatus				LC				LC								LC				
2110	Hydrictis maculicollis				LC				LC							NT					
2111	Hydrochoerus hydrochaeris								LC								LC				
2112	Hydrochoerus isthmius								DD								DD				
2113	Hydromys chrysogaster								LC								LC				
2114	Hydromys hussoni								DD									DD			
2115	Hydromys neobritannicus								DD								DD				
2116	Hydromys ziegleri								DD								DD				
2117	Hydropotes inermis								VU							VU					
2118	Hydrurga leptonyx								LC							LC					
2119	Hyemoschus aquaticus								LC								LC				
2120	Hyladelphys kalinowskii								LC								LC				
2121	Hylaeamys acritus								DD											DD	
2122	Hylaeamys laticeps								NT											VU	
2123	Hylaeamys megacephalus								LC								LC				
2124	Hylaeamys oniscus								VU									NT			
2125	Hylaeamys perenensis								LC								LC				
2126	Hylaeamys tatei								DD											DD	
2127	Hylaeamys yunganus								LC								LC				
2128	Hylobates abbotti								EN												
2129	Hylobates agilis								EN												
2130	Hylobates albibarbis								EN												
2131	Hylobates funereus								EN												
2132	Hylobates klossii								EN												
2133	Hylobates lar								EN												
2134	Hylobates moloch								EN												
2135	Hylobates muelleri								EN												
2136	Hylobates pileatus								EN												
2137	Hylochoerus meinertzhageni								LC								LC				
2138	Hylomys megalotis								DD								DD				
2139	Hylomys parvus								VU										VU		
2140	Hylomys suillus								LC								LC				
2141	Hylomyscus aeta				LC				LC											LC	
2142	Hylomyscus alleni				LC				LC								LC				
2143	Hylomyscus anselli																	LC			
2144	Hylomyscus arcimontensis																	LC			
2145	Hylomyscus baeri				EN				EN								EN				
2146	Hylomyscus carillus				LC				LC								LC				
2147	Hylomyscus denniae																	LC			
2148	Hylomyscus endorobae																			LC	
2149	Hylomyscus grandis				CR				CR										EN		
2150	Hylomyscus heinrichorum																			DD	
2151	Hylomyscus kerbispeterhansi																			LC	
2152	Hylomyscus pamfi																DD				
2153	Hylomyscus parvus				LC				LC								LC				
2154	Hylomyscus stella																	LC			
2155	Hylomyscus vulcanorum																			LC	
2156	Hylomyscus walterverheyeni																LC				
2157	Hylonycteris underwoodi								LC								LC				
2158	Hylopetes alboniger								LC								LC				
2159	Hylopetes bartelsi								DD								DD				
2160	Hylopetes nigripes								NT											NT	
2161	Hylopetes phayrei								LC								LC				
2162	Hylopetes platyurus								DD											DD	
2163	Hylopetes sagitta																			DD	
2164	Hylopetes sipora								EN								EN				
2165	Hylopetes spadiceus								LC								LC				
2166	Hylopetes winstoni								DD								DD				
2167	Hyomys dammermani								DD								DD				
2168	Hyomys goliath								LC								LC				
2169	Hyorhinomys stuempkei																			DD	
2170	Hyosciurus heinrichi								LC								LC				
2171	Hyosciurus ileile								VU								VU				
2172	Hyperacrius fertilis								VU		NT						NT				
2173	Hyperacrius wynnei								LC											LC	
2174	Hyperoodon ampullatus								DD												
2175	Hyperoodon planifrons								LC												
2176	Hypogeomys antimena								EN								EN				
2177	Hypsignathus monstrosus				LC				LC								LC				
2178	Hypsiprymnodon moschatus								LC								LC				
2179	Hypsugo affinis								LC											LC	
2180	Hypsugo alaschanicus								LC											LC	
2181	Hypsugo anthonyi								DD								DD				
2182	Hypsugo arabicus								DD											DD	
2183	Hypsugo bemainty																	LC			
2184	Hypsugo cadornae								LC											LC	
2185	Hypsugo dolichodon																			DD	
2186	Hypsugo eisentrauti				DD				DD											DD	
2187	Hypsugo joffrei								DD								DD				
2188	Hypsugo kitcheneri								DD								DD				
2189	Hypsugo lophurus								DD								DD				
