species	simulated_p_e_in_10000_years
Nandinia binotata	1.00000000
Nasua narica	1.00000000
Nasua nasua	1.00000000
Nasuella meridensis	1.00000000
Nasuella olivacea	1.00000000
Neofelis diardi	1.00000000
Neofelis nebulosa	1.00000000
Neomonachus schauinslandi	1.00000000
Neophoca cinerea	1.00000000
Neovison vison	1.00000000
Nyctereutes procyonoides	1.00000000
Odobenus rosmarus	1.00000000
Ommatophoca rossii	1.00000000
Otaria byronia	1.00000000
Otocolobus manul	1.00000000
Otocyon megalotis	1.00000000
Pagophilus groenlandicus	1.00000000
Paguma larvata	1.00000000
Panthera leo	1.00000000
Panthera onca	1.00000000
Panthera pardus	1.00000000
Panthera tigris	1.00000000
Panthera uncia	1.00000000
Paracynictis selousi	1.00000000
Paradoxurus hermaphroditus	1.00000000
Paradoxurus jerdoni	1.00000000
Paradoxurus zeylonensis	1.00000000
Parahyaena brunnea	1.00000000
Pardofelis marmorata	1.00000000
Phoca largha	1.00000000
Phoca vitulina	1.00000000
Phocarctos hookeri	1.00000000
Poecilogale albinucha	1.00000000
Poiana leightoni	1.00000000
Poiana richardsonii	1.00000000
Potos flavus	1.00000000
Prionailurus bengalensis	1.00000000
Prionailurus planiceps	1.00000000
Prionailurus rubiginosus	1.00000000
Prionailurus viverrinus	1.00000000
Prionodon linsang	1.00000000
Prionodon pardicolor	1.00000000
Procyon cancrivorus	1.00000000
Procyon lotor	1.00000000
Procyon pygmaeus	1.00000000
Proteles cristata	1.00000000
Pteronura brasiliensis	1.00000000
Puma concolor	1.00000000
Pusa caspica	1.00000000
Pusa hispida	1.00000000
Pusa sibirica	1.00000000
Rhynchogale melleri	1.00000000
Salanoia concolor	1.00000000
Speothos venaticus	1.00000000
Spilogale angustifrons	1.00000000
Spilogale gracilis	1.00000000
Spilogale putorius	1.00000000
Spilogale pygmaea	1.00000000
Suricata suricatta	1.00000000
Taxidea taxus	1.00000000
Tremarctos ornatus	1.00000000
Urocyon cinereoargenteus	1.00000000
Urocyon littoralis	1.00000000
Ursus americanus	1.00000000
Ursus arctos	1.00000000
Ursus maritimus	1.00000000
Ursus thibetanus	1.00000000
Viverra civettina	1.00000000
Viverra megaspila	1.00000000
Viverra tangalunga	1.00000000
Viverra zibetha	1.00000000
Viverricula indica	1.00000000
Vormela peregusna	1.00000000
Vulpes bengalensis	1.00000000
Vulpes cana	1.00000000
Vulpes chama	1.00000000
Vulpes corsac	1.00000000
Vulpes ferrilata	1.00000000
Vulpes lagopus	1.00000000
Vulpes macrotis	1.00000000
Vulpes pallida	1.00000000
Vulpes rueppellii	1.00000000
Vulpes velox	1.00000000
Vulpes vulpes	1.00000000
Vulpes zerda	1.00000000
Zalophus californianus	1.00000000
Zalophus wollebaeki	1.00000000
