species	yearly_extinction_rate_mean	yearly_extinction_rate_lower	yearly_extinction_rate_upper	extinct_by_2100AD_mean	extinct_by_2100AD_lower	extinct_by_2100AD_upper	extinct_by_2100AD_sim_frequency
Cynictis penicillata	0.000254531	0.000025931	0.000452293	0.020364518	0.002098258	0.035980789	0.020000000
Cynogale bennettii	0.006305625	0.006017745	0.006662128	0.400867027	0.386705415	0.418089097	0.400000000
Cystophora cristata	0.000887927	0.000639484	0.001093300	0.069375658	0.050495260	0.084793704	0.070000000
Diplogale hosei	0.001861362	0.001581667	0.002143163	0.140020145	0.120337057	0.159520302	0.140000000
Dologale dybowskii	0.002441696	0.002191864	0.002721717	0.179588629	0.162836431	0.198090573	0.180000000
Eira barbara	0.000115385	0.000002221	0.000255769	0.009281277	0.000179896	0.020506756	0.000000000
Enhydra lutris	0.002007931	0.001785102	0.002322685	0.150183785	0.134737621	0.171680458	0.150000000
Erignathus barbatus	0.000170189	0.000004290	0.000335589	0.013655590	0.000347445	0.026821051	0.010000000
Eumetopias jubatus	0.000376829	0.000136082	0.000586556	0.030021820	0.010962824	0.046413362	0.030000000
Eupleres goudotii	0.001849775	0.001648321	0.002110906	0.139226512	0.125081193	0.157316755	0.140000000
Eupleres major	0.004214983	0.003893404	0.004572448	0.289663362	0.270926901	0.310106211	0.290000000
Felis bieti	0.001718814	0.001516578	0.001942097	0.130026788	0.115679762	0.145691384	0.130000000
Felis chaus	0.000390147	0.000143070	0.000635468	0.031058572	0.011522607	0.050186127	0.030000000
Felis margarita	0.000369568	0.000169045	0.000586347	0.029451658	0.013600488	0.046397203	0.030000000
Felis nigripes	0.002593070	0.002301150	0.002854640	0.189609939	0.170231031	0.206702153	0.190000000
Felis silvestris	0.000099111	0.000000635	0.000249664	0.007978815	0.000051459	0.020022188	0.000000000
Fossa fossana	0.001556068	0.001276301	0.001785088	0.118452541	0.098275630	0.134736636	0.120000000
Galictis cuja	0.000093024	0.000000681	0.000236426	0.007488278	0.000055190	0.018970497	0.000000000
Galictis vittata	0.000490684	0.000273342	0.000733091	0.038926787	0.021900320	0.057672226	0.040000000
Galidia elegans	0.000153971	0.000002322	0.000336172	0.012366628	0.000188037	0.026867002	0.010000000
Galidictis fasciata	0.002011940	0.001784724	0.002296200	0.150465138	0.134711045	0.169897511	0.150000000
Galidictis grandidieri	0.004562272	0.004148101	0.004807239	0.309465550	0.294701952	0.331618919	0.310000000
Genetta abyssinica	0.001306620	0.001049123	0.001546549	0.100441863	0.081509398	0.117827308	0.100000000
Genetta angolensis	0.000179884	0.000018123	0.000344589	0.014437410	0.001466859	0.027530482	0.010000000
Genetta bourloni	0.001586649	0.001213923	0.001830147	0.120621496	0.093702349	0.137894617	0.120000000
Genetta cristata	0.001854982	0.001623829	0.002110410	0.139581239	0.123340865	0.157282807	0.140000000
Genetta genetta	0.000164352	0.000017459	0.000309253	0.013198359	0.001413219	0.024742138	0.010000000
Genetta johnstoni	0.001032211	0.000746549	0.001207511	0.080199297	0.058699678	0.093230949	0.080000000
Genetta maculata	0.000163506	0.000000604	0.000341682	0.013124315	0.000048907	0.027301403	0.010000000
Genetta pardina	0.000164874	0.000004238	0.000385306	0.013227529	0.000343183	0.030733581	0.010000000
Genetta piscivora	0.000766279	0.000537374	0.001033693	0.060144720	0.042604757	0.080359487	0.060000000
Genetta poensis	0.002774370	0.002499491	0.003050169	0.201452622	0.183486837	0.219203902	0.200000000
Genetta servalina	0.000164989	0.000007477	0.000373407	0.013236906	0.000605483	0.029798609	0.010000000
Genetta thierryi	0.000095002	0.000000023	0.000228394	0.007649153	0.000001826	0.018331892	0.000000000
Genetta tigrina	0.000084043	0.000000703	0.000189512	0.006772207	0.000056955	0.015234679	0.000000000
Genetta victoriae	0.000148293	0.000000029	0.000338852	0.011908584	0.000002336	0.027078275	0.010000000
Gulo gulo	0.000166019	0.000001795	0.000396869	0.013314372	0.000145425	0.031641349	0.010000000
Halichoerus grypus	0.000093761	0.000001128	0.000230862	0.007548713	0.000091374	0.018528222	0.000000000
Halichoerus grypus	0.000170203	0.000000134	0.000314744	0.013665863	0.000010864	0.025175976	0.010000000
Helarctos malayanus	0.001019020	0.000770968	0.001262652	0.079210886	0.060561079	0.097276948	0.080000000
Helogale hirtula	0.000165485	0.000001562	0.000309548	0.013286723	0.000126484	0.024765475	0.010000000
Helogale parvula	0.000263621	0.000020896	0.000438888	0.021083566	0.001691140	0.034933020	0.020000000
Hemigalus derbyanus	0.000773345	0.000570430	0.000981710	0.060699852	0.045166216	0.076475143	0.060000000
Herpailurus yagouaroundi	0.000156127	0.000014706	0.000313388	0.012540539	0.001190460	0.025068794	0.010000000
Herpestes auropunctatus	0.000266543	0.000002637	0.000447965	0.021313019	0.000213602	0.035642625	0.020000000
Herpestes brachyurus	0.001562012	0.001245845	0.001786898	0.118875908	0.096045606	0.134863668	0.120000000
Herpestes edwardsii	0.000167110	0.000001646	0.000325524	0.013411885	0.000133305	0.026027034	0.010000000
Herpestes flavescens	0.000155064	0.000002491	0.000347370	0.012451105	0.000201754	0.027749557	0.010000000
Herpestes fuscus	0.000247441	0.000045650	0.000478138	0.019799660	0.003690923	0.037997668	0.020000000
Herpestes ichneumon	0.000156017	0.000004148	0.000295106	0.012531825	0.000335892	0.023623613	0.010000000
Herpestes javanicus	0.000169884	0.000025598	0.000392402	0.013636578	0.002071292	0.031290799	0.010000000
Herpestes naso	0.000166465	0.000000770	0.000331031	0.013367024	0.000062345	0.026461543	0.010000000
Herpestes ochraceus	0.000152243	0.000000403	0.000394249	0.012220921	0.000032680	0.031435791	0.010000000
Herpestes pulverulentus	0.000268294	0.000048134	0.000490789	0.021444318	0.003891384	0.038983490	0.020000000
Herpestes sanguineus	0.000262878	0.000038017	0.000481575	0.021020202	0.003074686	0.038265584	0.020000000
Herpestes semitorquatus	0.000636734	0.000472280	0.000872313	0.050241750	0.037540941	0.068247659	0.050000000
Herpestes smithii	0.000155545	0.000013472	0.000310242	0.012490583	0.001090630	0.024820274	0.010000000
Herpestes urva	0.000368809	0.000185838	0.000579829	0.029402502	0.014941531	0.045893292	0.030000000
Herpestes vitticollis	0.000358207	0.000081842	0.000593361	0.028542497	0.006607553	0.046939131	0.030000000
Histriophoca fasciata	0.000278706	0.000046771	0.000463555	0.022282289	0.003781361	0.036860151	0.020000000
Hyaena hyaena	0.000647694	0.000438498	0.000846088	0.051089762	0.034902459	0.066264590	0.050000000
Hydrictis maculicollis	0.000768501	0.000540679	0.001015440	0.060323006	0.042861188	0.078997436	0.060000000
Hydrurga leptonyx	0.000250698	0.000077312	0.000499667	0.020062689	0.006242938	0.039674667	0.020000000
Ichneumia albicauda	0.000153176	0.000002638	0.000339567	0.012291490	0.000213646	0.027134677	0.010000000
Ictonyx libycus	0.000164515	0.000009871	0.000337161	0.013206223	0.000799222	0.026944988	0.010000000
Ictonyx striatus	0.000254118	0.000040437	0.000427462	0.020341595	0.003270074	0.034038992	0.020000000
Leopardus colocolo	0.001152545	0.000915990	0.001433434	0.089117689	0.071541104	0.109695268	0.090000000
Leopardus geoffroyi	0.000380137	0.000203615	0.000599613	0.030284424	0.016359244	0.047421925	0.030000000
Leopardus guigna	0.001568541	0.001330055	0.001809939	0.119345488	0.102198398	0.136479709	0.120000000
Leopardus guttulus	0.001990694	0.001630899	0.002212531	0.148993755	0.123843590	0.164239832	0.150000000
Leopardus jacobita	0.006730123	0.006152434	0.007087824	0.421209642	0.393400473	0.437946381	0.420000000
Leopardus pardalis	0.000150581	0.000003879	0.000281336	0.012097367	0.000314139	0.022533666	0.010000000
Leopardus tigrinus	0.001144995	0.000915830	0.001366454	0.088574626	0.071529059	0.104845081	0.090000000
Leopardus wiedii	0.000379054	0.000140153	0.000607616	0.030189167	0.011288970	0.048039634	0.030000000
Leptailurus serval	0.000388907	0.000145334	0.000595064	0.030967641	0.011703884	0.047070683	0.030000000
Leptonychotes weddellii	0.000097912	0.000001525	0.000210621	0.007885554	0.000123506	0.016917349	0.000000000
Liberiictis kuhni	0.002741749	0.002462530	0.003027131	0.199321952	0.181032571	0.217741076	0.200000000
Lobodon carcinophaga	0.000279593	0.000027637	0.000467336	0.022345755	0.002236133	0.037155219	0.020000000
Lontra canadensis	0.000162071	0.000000189	0.000312981	0.013009419	0.000015315	0.025036683	0.010000000
Lontra felina	0.007356102	0.006919601	0.007727496	0.450029735	0.430180606	0.466533057	0.450000000
Lontra longicaudis	0.000506205	0.000279203	0.000767897	0.040126392	0.022364731	0.060327168	0.040000000
Lontra provocax	0.004933799	0.004570927	0.005273445	0.330016732	0.310020830	0.348370611	0.330000000
Lutra lutra	0.000750125	0.000568504	0.000966159	0.058937599	0.045017188	0.075310001	0.060000000
Lutra sumatrana	0.006081632	0.005731661	0.006551379	0.389800238	0.372241762	0.412810462	0.390000000
Lutrogale perspicillata	0.002109573	0.001788439	0.002364728	0.157158441	0.134971848	0.174503131	0.160000000
Lycalopex culpaeus	0.000087638	0.000000045	0.000239407	0.007056204	0.000003665	0.019207436	0.000000000
Lycalopex fulvipes	0.005865209	0.005402222	0.006209050	0.378931068	0.355168456	0.396193163	0.380000000
Lycalopex griseus	0.000259601	0.000048816	0.000475052	0.020763153	0.003946363	0.037757075	0.020000000
Lycalopex gymnocercus	0.000103088	0.000000943	0.000246420	0.008296117	0.000076417	0.019764549	0.000000000
Lycalopex sechurae	0.001147991	0.000884816	0.001351443	0.088794467	0.069191635	0.103754528	0.090000000
Lycalopex vetulus	0.000253431	0.000070966	0.000467831	0.020274904	0.005731945	0.037193823	0.020000000
Lycaon pictus	0.005306676	0.004960415	0.005642350	0.350062129	0.331549837	0.367657805	0.350000000
Lycaon pictus	0.004389877	0.004120304	0.004710003	0.299724447	0.284256972	0.317785781	0.300000000
Lycaon pictus	0.005482963	0.005155250	0.005823316	0.359326006	0.342069058	0.376911909	0.360000000
Lyncodon patagonicus	0.000244338	0.000016110	0.000453270	0.019554778	0.001304047	0.036057065	0.020000000
Lynx canadensis	0.000093882	0.000002658	0.000264287	0.007555954	0.000215247	0.021182482	0.000000000
Lynx lynx	0.000161686	0.000013878	0.000346840	0.012981975	0.001123524	0.027707818	0.010000000
Lynx pardinus	0.006721349	0.006311580	0.007153985	0.420806957	0.401218264	0.440971854	0.420000000
Lynx rufus	0.000090996	0.000000176	0.000218207	0.007329999	0.000014277	0.017521403	0.000000000
Macrogalidia musschenbroekii	0.002296294	0.002042113	0.002568071	0.169843819	0.152598140	0.188021380	0.170000000
Martes americana	0.000244802	0.000006573	0.000428040	0.019593458	0.000532256	0.034084246	0.020000000
Martes flavigula	0.000264338	0.000038383	0.000448570	0.021143963	0.003104284	0.035689839	0.020000000
Martes foina	0.000166574	0.000002184	0.000382154	0.013368880	0.000176858	0.030486054	0.010000000
Martes gwatkinsii	0.002151386	0.001923036	0.002427813	0.160030037	0.144368845	0.178720623	0.160000000
Martes martes	0.000152338	0.000003685	0.000351567	0.012226193	0.000298462	0.028080109	0.010000000
Martes melampus	0.000086344	0.000002146	0.000224316	0.006953819	0.000173848	0.018007548	0.000000000
Martes pennanti	0.000494716	0.000252188	0.000732102	0.039239191	0.020222517	0.057596747	0.040000000
Martes zibellina	0.000163233	0.000002590	0.000367313	0.013099284	0.000209795	0.029319452	0.010000000
Meles anakuma	0.000156170	0.000010726	0.000342983	0.012533217	0.000868396	0.027403911	0.010000000
Meles leucurus	0.000259802	0.000068308	0.000471239	0.020780719	0.005517858	0.037459712	0.020000000
Meles meles	0.000511788	0.000328110	0.000774376	0.040574175	0.026231123	0.060820559	0.040000000
Mellivora capensis	0.000167081	0.000010617	0.000348093	0.013415257	0.000859651	0.027806483	0.010000000
Melogale cucphuongensis	0.002602338	0.002275359	0.002820202	0.190219004	0.168491754	0.204479845	0.190000000
