species	yearly_extinction_rate_mean	yearly_extinction_rate_lower	yearly_extinction_rate_upper	extinct_by_2100AD_mean	extinct_by_2100AD_lower	extinct_by_2100AD_upper	extinct_by_2100AD_sim_frequency
Spilogale angustifrons	0.000505347	0.000258964	0.000753130	0.040054406	0.020760245	0.059201723	0.040000000
Spilogale gracilis	0.000093293	0.000000235	0.000219293	0.007512332	0.000019040	0.017607800	0.000000000
Spilogale putorius	0.001885596	0.001554771	0.002178339	0.141693506	0.118415534	0.161916848	0.140000000
Spilogale pygmaea	0.002313140	0.002011599	0.002548204	0.170979655	0.150496854	0.186710348	0.170000000
Suricata suricatta	0.000147127	0.000029984	0.000280567	0.011829614	0.002425774	0.022472721	0.010000000
Taxidea taxus	0.000166561	0.000006758	0.000345501	0.013369757	0.000547226	0.027602340	0.010000000
Tremarctos ornatus	0.001023408	0.000804646	0.001277777	0.079541002	0.063122318	0.098383591	0.080000000
Urocyon cinereoargenteus	0.000161781	0.000000704	0.000336770	0.012991938	0.000057038	0.026914149	0.010000000
Urocyon littoralis	0.001332558	0.001156080	0.001597340	0.102329138	0.089441093	0.121454823	0.100000000
Ursus americanus	0.000100415	0.000002145	0.000230858	0.008083178	0.000173748	0.018527864	0.000000000
Ursus arctos	0.000264395	0.000061466	0.000455233	0.021157878	0.004966525	0.036210442	0.020000000
Ursus maritimus	0.001031174	0.000825268	0.001252745	0.080126581	0.064687238	0.096551313	0.080000000
Ursus thibetanus	0.001564375	0.001320546	0.001871440	0.119042107	0.101505725	0.140778603	0.120000000
Viverra civettina	0.014783396	0.014171642	0.015872640	0.700546136	0.685293404	0.726374987	0.700000000
Viverra megaspila	0.005113888	0.004847833	0.005485127	0.339785124	0.325395954	0.359507734	0.340000000
Viverra tangalunga	0.000095588	0.000001184	0.000248078	0.007693373	0.000095898	0.019896217	0.000000000
Viverra zibetha	0.000155771	0.000002259	0.000355012	0.012504112	0.000182986	0.028351377	0.010000000
Viverricula indica	0.000369118	0.000175110	0.000617676	0.029412275	0.014085006	0.048815490	0.030000000
Vormela peregusna	0.001599861	0.001381507	0.001923102	0.121574882	0.105937320	0.144373426	0.120000000
Vulpes bengalensis	0.000267888	0.000045383	0.000506119	0.021416440	0.003669328	0.040176661	0.020000000
Vulpes cana	0.000500379	0.000265958	0.000742451	0.039684191	0.021315026	0.058386956	0.040000000
Vulpes chama	0.000093444	0.000000622	0.000213700	0.007527070	0.000050385	0.017162532	0.000000000
Vulpes corsac	0.000371381	0.000112293	0.000584851	0.029588444	0.009055014	0.046281577	0.030000000
Vulpes ferrilata	0.000245548	0.000046727	0.000447608	0.019648637	0.003777812	0.035614678	0.020000000
Vulpes lagopus	0.000154158	0.000002161	0.000320790	0.012382399	0.000175019	0.025653385	0.010000000
Vulpes macrotis	0.000087180	0.000001332	0.000214224	0.007021861	0.000107884	0.017204264	0.000000000
Vulpes pallida	0.000164660	0.000019405	0.000342626	0.013220643	0.001570548	0.027375752	0.010000000
Vulpes rueppellii	0.000770685	0.000525888	0.000974443	0.060492151	0.041713135	0.075930858	0.060000000
Vulpes velox	0.000160748	0.000007271	0.000312270	0.012906779	0.000588740	0.024980495	0.010000000
Vulpes vulpes	0.000234308	0.000030597	0.000430050	0.018757719	0.002475291	0.034241554	0.020000000
Vulpes zerda	0.000163492	0.000004810	0.000338381	0.013120793	0.000389575	0.027041144	0.010000000
Zalophus californianus	0.000098280	0.000000417	0.000231765	0.007911517	0.000033782	0.018599970	0.000000000
Zalophus wollebaeki	0.002166905	0.001895668	0.002412384	0.161082017	0.142466336	0.177691127	0.160000000
