species	rate_e_mean	rate_e_lower	rate_e_upper	simulated_p_e_in_10000_years
Genetta tigrina	0.004828466	0.000044854	0.018256567	1.000000000
Genetta victoriae	0.004280277	0.000131050	0.013164425	1.000000000
Gulo gulo	0.004691276	0.000078531	0.015576808	1.000000000
Halichoerus grypus	0.003385319	0.000052182	0.011899549	1.000000000
Halichoerus grypus	0.003462432	0.000023511	0.010858070	1.000000000
Helarctos malayanus	0.010063003	0.000045795	0.040814956	1.000000000
Helogale hirtula	0.004875863	0.000081668	0.018630985	1.000000000
Helogale parvula	0.004797189	0.000056423	0.017588201	1.000000000
Hemigalus derbyanus	0.011386983	0.000023724	0.047536574	1.000000000
Herpailurus yagouaroundi	0.004685715	0.000017269	0.014840200	1.000000000
Herpestes auropunctatus	0.004709464	0.000052560	0.015786147	1.000000000
Herpestes brachyurus	0.008587335	0.000019074	0.032754065	1.000000000
Herpestes edwardsii	0.003885125	0.000390006	0.012528297	1.000000000
Herpestes flavescens	0.003995592	0.000083361	0.013941567	1.000000000
Herpestes fuscus	0.004984954	0.000036638	0.019245436	1.000000000
Herpestes ichneumon	0.004520807	0.000031830	0.016932557	1.000000000
Herpestes javanicus	0.005099349	0.000005706	0.018520015	1.000000000
Herpestes naso	0.004312149	0.000002283	0.015233605	1.000000000
Herpestes ochraceus	0.004622709	0.000075869	0.015440474	1.000000000
Herpestes pulverulentus	0.005684944	0.000616295	0.020748143	1.000000000
Herpestes sanguineus	0.004751933	0.000489662	0.016462568	1.000000000
Herpestes semitorquatus	0.011500372	0.000663736	0.045961431	1.000000000
Herpestes smithii	0.004784766	0.000239028	0.015905560	1.000000000
Herpestes urva	0.005444682	0.000161204	0.016032690	1.000000000
Herpestes vitticollis	0.005251888	0.000031595	0.019027257	1.000000000
Histriophoca fasciata	0.005200239	0.000020242	0.015624413	1.000000000
Hyaena hyaena	0.008038727	0.000136909	0.033326627	1.000000000
Hydrictis maculicollis	0.006688776	0.000079652	0.024162044	1.000000000
Hydrurga leptonyx	0.004174819	0.000010749	0.014627401	1.000000000
Ichneumia albicauda	0.005438822	0.000014820	0.019227601	1.000000000
Ictonyx libycus	0.004383066	0.000019571	0.016006481	1.000000000
Ictonyx striatus	0.004355199	0.000185890	0.014948497	1.000000000
Leopardus colocolo	0.007691477	0.000004587	0.026871996	1.000000000
Leopardus geoffroyi	0.004369183	0.000080526	0.015191707	1.000000000
Leopardus guigna	0.021871479	0.000003602	0.086525274	1.000000000
Leopardus guttulus	0.012697092	0.000042069	0.053175423	1.000000000
Leopardus jacobita	0.051873220	0.000034203	0.217290429	1.000000000
Leopardus pardalis	0.004148745	0.000213325	0.014254641	1.000000000
Leopardus tigrinus	0.017781852	0.000141340	0.053153029	1.000000000
Leopardus wiedii	0.007856985	0.000151598	0.027856542	1.000000000
Leptailurus serval	0.003960483	0.000031850	0.013475086	1.000000000
Leptonychotes weddellii	0.004402582	0.000011557	0.014439991	1.000000000
Liberiictis kuhni	0.015248353	0.000102924	0.055789763	1.000000000
Lobodon carcinophaga	0.003329443	0.000099840	0.011671036	1.000000000
Lontra canadensis	0.004261602	0.000032188	0.014885102	1.000000000
Lontra felina	0.058334085	0.000025168	0.230138834	1.000000000
Lontra longicaudis	0.010947120	0.000026928	0.037731074	1.000000000
Lontra provocax	0.047446545	0.000229241	0.246101042	1.000000000
Lutra lutra	0.010497817	0.000052045	0.032936811	1.000000000
Lutra sumatrana	0.048913337	0.000007218	0.240778883	1.000000000
Lutrogale perspicillata	0.015852151	0.000110589	0.059588837	1.000000000
Lycalopex culpaeus	0.004544382	0.000079623	0.015367553	1.000000000
Lycalopex fulvipes	0.042646250	0.000028315	0.178617390	1.000000000
Lycalopex griseus	0.005985768	0.000149943	0.017065901	1.000000000
Lycalopex gymnocercus	0.005237934	0.000128873	0.018803746	1.000000000
Lycalopex sechurae	0.011906339	0.000133665	0.038828973	1.000000000
Lycalopex vetulus	0.005815179	0.000029446	0.019637809	1.000000000
Lycaon pictus	0.026872469	0.000137225	0.100998479	1.000000000
Lycaon pictus	0.030537381	0.000175075	0.127774276	1.000000000
Lycaon pictus	0.044195371	0.000049652	0.196730020	1.000000000
Lyncodon patagonicus	0.005106446	0.000013112	0.017436446	1.000000000
Lynx canadensis	0.004209525	0.000043646	0.014795585	1.000000000
Lynx lynx	0.003522313	0.000064534	0.012357311	1.000000000
Lynx pardinus	0.042353416	0.000047263	0.167875373	1.000000000
Lynx rufus	0.003953020	0.000062570	0.013313745	1.000000000
Macrogalidia musschenbroekii	0.013913447	0.000030290	0.050965910	1.000000000
Martes americana	0.005425927	0.000018631	0.017227593	1.000000000
Martes flavigula	0.004320125	0.000030847	0.015513023	1.000000000
Martes foina	0.004769697	0.000124229	0.017903556	1.000000000
Martes gwatkinsii	0.013754912	0.000079134	0.053680684	1.000000000
Martes martes	0.005455119	0.000142840	0.018081628	1.000000000
Martes melampus	0.005101072	0.000119105	0.017638470	1.000000000
Martes pennanti	0.004092514	0.000016427	0.015532096	1.000000000
Martes zibellina	0.004032340	0.000034394	0.013346304	1.000000000
Meles anakuma	0.004663910	0.000012167	0.016803900	1.000000000
Meles leucurus	0.004625388	0.000081588	0.016252438	1.000000000
Meles meles	0.005528457	0.000091411	0.018896185	1.000000000
Mellivora capensis	0.004822943	0.000010547	0.018481988	1.000000000
Melogale cucphuongensis	0.013578341	0.000016239	0.037150215	1.000000000
Melogale everetti	0.042183827	0.000002834	0.186819138	1.000000000
Melogale moschata	0.006844615	0.000080502	0.018450324	1.000000000
Melogale orientalis	0.004709736	0.000135312	0.015480485	1.000000000
