status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
VU->NT	0.00603119	0.00402728	0.00496168	0.00612517	0.00518686	0.00620650	0.00535736	0.00490833	0.00551707	0.00605439	0.00749282	0.00450537	0.00761529	0.00443926	0.00728809	0.00510823	0.00462398	0.00532785	0.00642292	0.00770555	0.00593632	0.00452696	0.00599861	0.00599786	0.00594307	0.00601852	0.00592303	0.00487417	0.00636294	0.00599747	0.00527354	0.00629082	0.00499446	0.00633997	0.00570453	0.00499273	0.00593993	0.00699823	0.00633195	0.00566304	0.00723686	0.00593589	0.00783696	0.00571866	0.00504733	0.00553868	0.00510072	0.00563243	0.00662522	0.00620397	0.00680088	0.00549673	0.00467375	0.00603431	0.00629361	0.00507822	0.00551409	0.00684441	0.00610833	0.00520268	0.00539131	0.00654761	0.00609618	0.00450167	0.00594736	0.00582629	0.00815506	0.00516290	0.00621692	0.00477831	0.00624291	0.00611262	0.00695747	0.00720957	0.00461507	0.00604804	0.00636950	0.00572127	0.00559975	0.00620337	0.00510441	0.00468410	0.00567061	0.00489521	0.00692626	0.00589507	0.00660531	0.00510395	0.00622798	0.00416074	0.00574881	0.00682907	0.00446009	0.00622274	0.00421906	0.00563349	0.00716552	0.00630838	0.00618154	0.00529428
VU->EN	0.01278327	0.01057173	0.00969802	0.00908499	0.01051020	0.01175110	0.00976734	0.00914391	0.01004449	0.00897164	0.01208820	0.01055275	0.01173492	0.00812531	0.01237277	0.01000726	0.01004781	0.00986405	0.01175888	0.01092771	0.00910897	0.00987377	0.01239570	0.00902309	0.00780546	0.00980312	0.00958313	0.01309971	0.00955526	0.00987230	0.01147425	0.00867285	0.00913867	0.00950841	0.00944802	0.01207080	0.01006435	0.01212210	0.01243763	0.01134508	0.01051269	0.01271784	0.00982038	0.01087132	0.01067188	0.01086315	0.01113965	0.00917381	0.01107921	0.01060857	0.00778483	0.00869464	0.00962934	0.01030126	0.01126398	0.01178486	0.00956856	0.01091791	0.01070550	0.01161688	0.00986247	0.00971322	0.00952516	0.00971753	0.00962764	0.00981362	0.01044250	0.01179224	0.00916743	0.00986372	0.00953251	0.00894277	0.00839101	0.01088446	0.01019859	0.00933008	0.00953395	0.00943943	0.01050083	0.01121898	0.00950758	0.00872296	0.00981162	0.01228576	0.00917967	0.00945905	0.01151099	0.00988297	0.01118236	0.01092736	0.00988858	0.01114545	0.00910769	0.00938609	0.01153980	0.00984552	0.00919494	0.00877833	0.01062194	0.00982507
VU->CR	0.00069447	0.00064459	0.00140225	0.00106754	0.00114061	0.00210910	0.00116973	0.00102252	0.00084433	0.00116411	0.00104693	0.00066866	0.00092129	0.00046630	0.00197189	0.00187938	0.00082203	0.00039016	0.00129698	0.00128886	0.00094038	0.00075337	0.00145739	0.00166673	0.00094812	0.00068638	0.00156882	0.00062702	0.00072466	0.00103467	0.00130423	0.00150113	0.00037638	0.00102160	0.00164243	0.00067204	0.00148508	0.00134914	0.00166787	0.00147250	0.00100875	0.00118295	0.00137887	0.00223290	0.00103940	0.00100607	0.00047951	0.00164928	0.00095898	0.00163735	0.00127512	0.00100497	0.00041535	0.00093999	0.00092470	0.00058260	0.00061753	0.00087495	0.00084561	0.00128312	0.00138176	0.00120294	0.00101409	0.00106579	0.00081613	0.00087956	0.00159454	0.00095304	0.00092848	0.00123479	0.00110531	0.00077816	0.00056497	0.00062610	0.00054059	0.00078874	0.00094506	0.00075307	0.00104148	0.00086893	0.00086614	0.00138124	0.00075050	0.00144522	0.00093285	0.00096874	0.00112162	0.00046722	0.00080991	0.00098637	0.00145388	0.00079924	0.00166052	0.00147716	0.00101392	0.00264696	0.00087486	0.00090363	0.00067971	0.00104559
VU->DD	0.00323678	0.00306135	0.00417196	0.00337592	0.00260443	0.00481760	0.00264259	0.00254692	0.00328866	0.00308924	0.00358281	0.00211850	0.00193674	0.00309922	0.00267376	0.00302180	0.00279681	0.00259680	0.00319703	0.00239836	0.00286585	0.00331503	0.00358804	0.00342202	0.00354372	0.00311576	0.00315435	0.00351365	0.00257614	0.00316703	0.00303463	0.00329646	0.00332738	0.00264567	0.00260809	0.00257067	0.00265759	0.00309460	0.00464329	0.00219587	0.00342617	0.00319864	0.00304287	0.00271722	0.00326217	0.00212113	0.00356955	0.00286866	0.00278174	0.00513423	0.00374904	0.00336038	0.00269901	0.00314719	0.00383950	0.00265885	0.00271724	0.00319953	0.00266646	0.00228117	0.00315002	0.00390844	0.00342591	0.00256866	0.00409074	0.00246997	0.00270739	0.00281341	0.00466944	0.00309143	0.00445570	0.00237275	0.00198668	0.00299229	0.00209207	0.00290684	0.00308244	0.00249414	0.00187710	0.00384342	0.00505656	0.00227894	0.00328493	0.00342905	0.00281449	0.00413285	0.00352382	0.00313233	0.00424751	0.00284213	0.00290135	0.00326988	0.00304123	0.00310000	0.00252128	0.00241854	0.00269785	0.00237961	0.00197708	0.00283964
EN->LC	0.00126332	0.00046380	0.00121648	0.00151522	0.00132777	0.00119403	0.00219182	0.00084927	0.00140841	0.00146290	0.00154749	0.00113132	0.00192256	0.00175037	0.00137229	0.00129395	0.00091265	0.00071902	0.00128955	0.00133618	0.00152637	0.00111859	0.00101421	0.00076953	0.00091805	0.00117056	0.00145481	0.00128410	0.00179148	0.00130273	0.00101825	0.00186462	0.00085194	0.00101011	0.00183309	0.00102723	0.00085519	0.00123021	0.00097715	0.00110453	0.00087188	0.00121194	0.00076734	0.00068188	0.00100381	0.00155583	0.00160592	0.00104096	0.00088883	0.00099601	0.00121537	0.00207767	0.00126106	0.00145524	0.00155250	0.00116919	0.00093320	0.00140038	0.00175400	0.00062283	0.00086553	0.00211582	0.00145451	0.00085222	0.00048881	0.00097056	0.00091366	0.00154583	0.00161213	0.00082700	0.00193935	0.00085830	0.00096665	0.00097451	0.00086392	0.00065537	0.00098714	0.00103928	0.00165226	0.00117613	0.00158854	0.00116538	0.00152283	0.00083489	0.00093937	0.00135474	0.00096631	0.00069741	0.00145448	0.00149112	0.00073835	0.00081866	0.00101880	0.00141771	0.00131864	0.00127227	0.00105100	0.00122886	0.00128851	0.00141870
EN->NT	0.00112368	0.00230609	0.00269316	0.00112530	0.00236224	0.00211811	0.00188797	0.00223767	0.00189554	0.00225268	0.00272982	0.00321539	0.00316284	0.00222550	0.00164732	0.00272201	0.00220875	0.00261062	0.00266192	0.00189978	0.00142422	0.00266423	0.00275012	0.00151351	0.00227877	0.00162276	0.00224226	0.00233001	0.00325815	0.00225806	0.00176157	0.00203674	0.00272746	0.00153100	0.00287294	0.00247264	0.00231604	0.00150530	0.00297565	0.00256062	0.00125496	0.00188671	0.00160063	0.00310322	0.00250585	0.00195947	0.00198864	0.00198513	0.00294196	0.00115332	0.00224354	0.00179662	0.00207408	0.00210778	0.00278222	0.00148073	0.00231903	0.00272302	0.00187398	0.00225784	0.00201467	0.00262197	0.00139339	0.00178506	0.00162470	0.00249403	0.00215750	0.00225338	0.00231969	0.00235563	0.00143985	0.00190157	0.00144511	0.00156263	0.00242703	0.00224978	0.00293508	0.00492201	0.00187538	0.00126640	0.00285061	0.00162988	0.00249902	0.00225003	0.00233776	0.00213248	0.00175602	0.00276067	0.00150772	0.00209114	0.00306819	0.00191112	0.00243834	0.00283637	0.00256582	0.00315737	0.00164310	0.00115152	0.00170833	0.00191920
EN->VU	0.01240906	0.00947454	0.00708700	0.01176896	0.00980500	0.01127710	0.01037467	0.00867843	0.00794542	0.00931797	0.00835493	0.00890840	0.01258474	0.01075885	0.00939618	0.01034537	0.01287580	0.00730898	0.01084890	0.00754137	0.00804275	0.01012744	0.00851402	0.00882977	0.00930600	0.00950360	0.00985262	0.00959149	0.01041240	0.00959631	0.00828041	0.01053743	0.01041874	0.01068742	0.00740882	0.00884272	0.00873920	0.01038965	0.01024710	0.01108423	0.00874452	0.00932096	0.01024926	0.01053561	0.00995087	0.01071367	0.00851465	0.00947200	0.00934782	0.00848415	0.00940229	0.00892651	0.01055035	0.01072153	0.01058747	0.00935422	0.01018524	0.00958264	0.01156417	0.01069890	0.01032688	0.01356766	0.00981440	0.01115084	0.01004433	0.00860920	0.00890717	0.00937690	0.00940138	0.01118576	0.00947997	0.00818687	0.00798598	0.01084476	0.00961373	0.00914347	0.00739028	0.01006610	0.00853097	0.00846201	0.01026207	0.01035930	0.01188778	0.00942972	0.00944815	0.00723491	0.00954921	0.00779262	0.00919993	0.00981398	0.01043486	0.01011270	0.00993353	0.00965349	0.00949214	0.00935149	0.01029719	0.00850943	0.01023137	0.00789532
EN->CR	0.00579390	0.00351402	0.00665205	0.00615303	0.00422266	0.00452564	0.00574590	0.00578683	0.00450245	0.00500846	0.00502783	0.00453231	0.00461439	0.00436788	0.00514114	0.00341159	0.00447060	0.00398695	0.00514496	0.00504951	0.00540272	0.00409189	0.00544279	0.00460570	0.00455245	0.00491181	0.00529321	0.00538508	0.00566710	0.00408738	0.00358217	0.00633794	0.00489425	0.00507444	0.00548642	0.00366937	0.00561787	0.00620257	0.00595331	0.00459670	0.00375935	0.00377748	0.00430049	0.00507478	0.00517570	0.00383353	0.00500765	0.00437472	0.00429454	0.00454351	0.00425976	0.00477362	0.00435397	0.00522065	0.00414864	0.00618989	0.00404736	0.00343122	0.00458723	0.00377435	0.00457986	0.00533107	0.00474581	0.00498941	0.00325220	0.00517445	0.00630584	0.00525543	0.00507224	0.00449911	0.00376667	0.00375630	0.00449968	0.00669962	0.00408060	0.00426671	0.00388939	0.00408701	0.00340367	0.00486979	0.00402338	0.00473053	0.00468742	0.00427459	0.00436543	0.00643814	0.00690725	0.00437257	0.00447470	0.00367466	0.00521528	0.00407144	0.00482998	0.00372944	0.00388859	0.00501946	0.00570714	0.00518332	0.00398344	0.00485961
EN->DD	0.00017313	0.00041724	0.00030574	0.00037613	0.00021449	0.00037457	0.00047531	0.00053628	0.00028451	0.00066744	0.00019478	0.00045575	0.00061202	0.00041567	0.00058603	0.00016865	0.00024658	0.00043173	0.00060067	0.00029868	0.00143426	0.00032632	0.00070056	0.00042272	0.00012652	0.00039767	0.00084790	0.00023250	0.00027578	0.00025808	0.00041509	0.00010821	0.00021838	0.00040659	0.00058655	0.00044503	0.00020208	0.00081502	0.00020787	0.00008900	0.00093087	0.00017393	0.00012835	0.00057508	0.00020367	0.00031920	0.00058148	0.00037884	0.00011366	0.00025618	0.00027537	0.00039800	0.00055588	0.00036184	0.00050668	0.00064685	0.00032621	0.00041433	0.00039022	0.00042880	0.00023753	0.00027386	0.00018031	0.00031325	0.00060901	0.00054305	0.00062209	0.00038609	0.00034995	0.00022441	0.00045339	0.00006945	0.00070538	0.00030046	0.00048440	0.00049505	0.00017425	0.00032644	0.00048419	0.00029553	0.00061158	0.00051266	0.00025573	0.00056956	0.00030864	0.00058637	0.00019382	0.00076723	0.00038105	0.00002849	0.00054498	0.00038163	0.00040263	0.00049024	0.00013236	0.00063875	0.00079628	0.00088355	0.00043081	0.00019503
CR->LC	0.00098613	0.00032484	0.00171629	0.00041817	0.00114300	0.00086108	0.00110104	0.00058007	0.00130475	0.00200976	0.00146999	0.00134461	0.00133894	0.00057398	0.00242046	0.00148322	0.00112751	0.00078329	0.00126297	0.00128501	0.00136376	0.00282902	0.00198550	0.00083983	0.00110362	0.00159257	0.00030935	0.00039635	0.00053294	0.00036181	0.00093131	0.00106020	0.00174692	0.00063685	0.00021079	0.00070584	0.00268044	0.00134454	0.00119865	0.00180953	0.00162334	0.00088413	0.00084394	0.00100998	0.00172725	0.00162454	0.00162042	0.00110099	0.00058895	0.00081391	0.00050072	0.00063030	0.00064714	0.00109614	0.00322720	0.00103678	0.00121829	0.00279377	0.00062180	0.00158554	0.00082836	0.00313159	0.00122282	0.00114614	0.00191861	0.00192297	0.00131979	0.00052947	0.00061822	0.00209355	0.00032935	0.00058946	0.00158582	0.00152073	0.00119321	0.00114952	0.00120938	0.00134185	0.00087816	0.00189839	0.00099604	0.00103365	0.00056738	0.00165048	0.00024071	0.00129728	0.00036488	0.00078606	0.00081087	0.00267855	0.00198012	0.00089223	0.00070341	0.00183866	0.00029352	0.00042074	0.00130583	0.00056698	0.00071633	0.00165841
