	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
163	Amblysomus corriae						NT		NT							NT						
164	Amblysomus hottentotus						LC		LC							LC						
165	Amblysomus marleyi						EN		EN							EN						
166	Amblysomus robustus						VU		VU							VU						
167	Amblysomus septentrionalis						NT		NT							NT						
168	Ametrida centurio								LC								LC					
169	Ammodillus imbellis				DD				DD									DD				
170	Ammodorcas clarkei							VU	VU								VU					
171	Ammospermophilus harrisii								LC								LC					
172	Ammospermophilus interpres								LC								LC					
173	Ammospermophilus leucurus								LC								LC					
174	Ammospermophilus nelsoni								EN									EN				
175	Ammotragus lervia								VU													
176	Amorphochilus schnablii								EN							VU						
177	Amphinectomys savamis								DD											DD		
178	Anathana ellioti								LC								LC					
179	Andalgalomys olrogi								LC								LC					
180	Andalgalomys pearsoni								LC								LC					
181	Andinomys edax								LC								LC					
182	Anisomys imitator								LC								LC					
183	Anomalurus beecrofti				LC				LC								LC					
184	Anomalurus derbianus				LC				LC								LC					
185	Anomalurus pelii				NT					DD												
186	Anomalurus pusillus				LC				LC								LC					
187	Anonymomys mindorensis								DD								DD					
188	Anotomys leander								VU		VU								EN			
189	Anoura aequatoris																			LC		
190	Anoura cadenai																	DD				
191	Anoura caudifer																LC					
192	Anoura cultrata								NT								LC					
193	Anoura fistulata								DD										DD			
194	Anoura geoffroyi																LC					
195	Anoura latidens								LC							LC						
196	Anoura luismanueli								LC										LC			
197	Anoura peruana																			LC		
198	Anourosorex assamensis								LC								LC					
199	Anourosorex schmidi								DD								DD					
200	Anourosorex squamipes								LC								LC					
201	Anourosorex yamashinai								LC								LC					
202	Antechinomys laniger								LC								LC					
203	Antechinus adustus								LC								LC					
204	Antechinus agilis								LC								LC					
205	Antechinus bellus								LC								VU					
206	Antechinus flavipes								LC								LC					
207	Antechinus godmani								NT											LC		
208	Antechinus leo								LC								LC					
209	Antechinus minimus								LC								LC					
210	Antechinus stuartii								LC								LC					
211	Antechinus subtropicus								LC								LC					
212	Antechinus swainsonii								LC								LC					
213	Anthops ornatus								DD													
214	Antidorcas marsupialis								LC								LC					
215	Antilocapra americana								LC								LC					
216	Antilope cervicapra			NT					NT									LC				
217	Antrozous pallidus								LC									LC				
218	Aonyx capensis				LC				LC							NT						
219	Aonyx cinereus				NT				VU							VU						
220	Aonyx congicus				DD				LC							NT						
221	Aotus azarae			LC					LC										LC			
222	Aotus brumbacki								VU													
223	Aotus griseimembra								VU											VU		
224	Aotus jorgehernandezi								DD										DD			
225	Aotus lemurinus								VU													
226	Aotus miconax			VU					VU											EN	EN	
227	Aotus nancymaae			LC					LC									VU				
228	Aotus nigriceps			LC					LC										LC			
229	Aotus trivirgatus			LC					LC										LC			
230	Aotus vociferans			LC					LC										LC		LC	
231	Aotus zonalis								DD													
232	Aplodontia rufa								LC								LC					
233	Apodemus agrarius								LC								LC					
234	Apodemus alpicola								LC								LC					
235	Apodemus argenteus								LC								LC					
236	Apodemus avicennicus																DD					
237	Apodemus chevrieri								LC								LC					
238	Apodemus draco								LC								LC					
239	Apodemus epimelas								LC								LC					
240	Apodemus flavicollis								LC								LC					
241	Apodemus gurkha								EN								LC					
242	Apodemus hyrcanicus								NT								NT					
243	Apodemus latronum								LC								LC					
244	Apodemus mystacinus								LC								LC					
245	Apodemus pallipes								LC								LC					
246	Apodemus peninsulae								LC								LC					
247	Apodemus ponticus								LC								LC					
248	Apodemus rusiges								LC								LC					
249	Apodemus semotus								LC								LC					
250	Apodemus speciosus								LC								LC					
251	Apodemus sylvaticus				LC				LC								LC					
252	Apodemus uralensis								LC								LC					
253	Apodemus witherbyi								LC								LC					
254	Apomys abrae								DD								LC					
255	Apomys aurorae																	LC				
256	Apomys banahao																	LC				
257	Apomys brownorum																	DD				
258	Apomys camiguinensis								VU									VU				
259	Apomys datae								LC								LC					
260	Apomys gracilirostris								DD								LC					
