	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
1015	Crocidura munissii																			LC	LC	
1016	Crocidura muricauda				LC				LC								LC					
1017	Crocidura musseri								DD								DD					
1018	Crocidura mutesae				DD				DD								DD					
1019	Crocidura nana				DD				LC											DD		
1020	Crocidura nanilla				LC				LC								LC					
1021	Crocidura negligens								LC								LC					
1022	Crocidura negrina								EN										EN			
1023	Crocidura newmarki																	NT				
1024	Crocidura nicobarica		DD						CR								CR					
1025	Crocidura nigeriae				LC				LC								LC					
1026	Crocidura nigricans				LC				LC								LC					
1027	Crocidura nigripes								LC											LC		
1028	Crocidura nigrofusca				LC				LC								LC					
1029	Crocidura nimbae				VU				NT													
1030	Crocidura nimbasilvanus																			LC		
1031	Crocidura ninoyi																			DD	DD	
1032	Crocidura niobe				LC				NT									LC				
1033	Crocidura obscurior																	LC				
1034	Crocidura olivieri				LC				LC								LC					
1035	Crocidura orientalis								VU								LC					
1036	Crocidura orii								EN								EN					
1037	Crocidura pachyura								LC													
1038	Crocidura palawanensis								LC								LC					
1039	Crocidura panayensis																			DD		
1040	Crocidura paradoxura								LC								LC					
1041	Crocidura parvipes				LC				LC								LC					
1042	Crocidura pasha				LC				LC								LC					
1043	Crocidura pergrisea								DD								DD					
1044	Crocidura phaeura				VU				EN								EN					
1045	Crocidura phanluongi																LC					
1046	Crocidura phuquocensis																DD					
1047	Crocidura picea				EN				EN										EN			
1048	Crocidura pitmani				DD				DD								DD					
1049	Crocidura planiceps				DD				DD								DD					
1050	Crocidura poensis				LC				LC								LC					
1051	Crocidura polia				DD				DD								DD					
1052	Crocidura pullata								DD								DD					
1053	Crocidura raineyi				DD				DD								DD					
1054	Crocidura ramona								LC									LC				
1055	Crocidura rapax								DD								DD					
1056	Crocidura religiosa				DD				DD											DD		
1057	Crocidura rhoditis								LC								LC					
1058	Crocidura roosevelti				LC				LC								LC					
1059	Crocidura russula				LC				LC								LC					
1060	Crocidura sapaensis																			DD		
1061	Crocidura selina				LC				DD								DD					
1062	Crocidura serezkyensis								LC								LC					
1063	Crocidura shantungensis								LC								LC					
1064	Crocidura sibirica								LC								LC					
1065	Crocidura sicula								LC								LC					
1066	Crocidura silacea				LC				LC								LC					
1067	Crocidura smithii				LC				LC								LC					
1068	Crocidura sokolovi																DD					
1069	Crocidura somalica				LC				LC								LC					
1070	Crocidura stenocephala				VU				EN													
1071	Crocidura suaveolens								LC								LC					
1072	Crocidura susiana								DD								DD					
1073	Crocidura tanakae								LC								LC					
1074	Crocidura tansaniana																			NT		
1075	Crocidura tarella				VU				EN								EN					
1076	Crocidura tarfayensis				DD				DD											DD		
1077	Crocidura telfordi				EN				EN								VU					
1078	Crocidura tenuis								DD								DD					
1079	Crocidura thalia				LC				LC								LC					
1080	Crocidura theresae				LC				LC								LC					
1081	Crocidura thomensis				CR				EN								EN					
1082	Crocidura turba				LC				LC								LC					
1083	Crocidura ultima				DD				DD								DD					
1084	Crocidura umbra																		NT			
1085	Crocidura usambarae																	VU				
1086	Crocidura viaria				LC				LC								LC					
1087	Crocidura virgata								DD								LC					
1088	Crocidura voi				LC				LC								LC					
1089	Crocidura vorax								LC								LC					
1090	Crocidura vosmaeri								DD								DD					
1091	Crocidura watasei								LC								LC					
1092	Crocidura whitakeri				LC				LC								LC					
1093	Crocidura wimmeri				CR				CR								CR					
1094	Crocidura wuchihensis								DD								DD					
1095	Crocidura xantippe				LC				LC								LC					
1096	Crocidura yaldeni																			DD		
1097	Crocidura yankariensis				LC				LC								LC					
1098	Crocidura zaitsevi																DD					
1099	Crocidura zaphiri				DD				DD								DD					
1100	Crocidura zarudnyi								LC								LC					
1101	Crocidura zimmeri				DD				DD								DD					
1102	Crocidura zimmermanni								VU											EN		
1103	Crocuta crocuta								LC							LC						
1104	Crossarchus alexandri								LC							LC						
1105	Crossarchus ansorgei								DD							LC						
1106	Crossarchus obscurus								LC							LC						
1107	Crossarchus platycephalus								LC								LC					
1108	Crossomys moncktoni								LC								LC					
1109	Crunomys celebensis								DD								DD					
1110	Crunomys fallax								DD								DD					
1111	Crunomys melanius								VU											LC		
1112	Crunomys suncoides								DD								DD					
1113	Cryptochloris zyli						EN		EN							EN						
1114	Cryptomys hottentotus																			LC		
1115	Cryptomys mahali																			DD		
1116	Cryptomys natalensis																			LC		
1117	Cryptomys pretoriae																			LC		
1118	Cryptonanus agricolai								DD								DD					
1119	Cryptonanus chacoensis								LC			LC					LC					
1120	Cryptonanus guahybae								DD								DD					
1121	Cryptonanus unduaviensis								DD								DD					
1122	Cryptoprocta ferox								VU								VU					
1123	Cryptotis alticola								DD											DD		
1124	Cryptotis aroensis																			EN		
1125	Cryptotis brachyonyx								DD											DD		
1126	Cryptotis cavatorculus																			DD		
1127	Cryptotis celaque																			DD		
1128	Cryptotis colombiana								LC									LC				
1129	Cryptotis dinirensis																			DD		
1130	Cryptotis endersi								EN										EN			
1131	Cryptotis equatoris								LC								LC					
1132	Cryptotis goldmani								LC								LC					
1133	Cryptotis goodwini																	LC				
1134	Cryptotis gracilis								VU													
1135	Cryptotis griseoventris																	EN				
1136	Cryptotis hondurensis								DD											DD		
1137	Cryptotis lacertosus																	DD				
1138	Cryptotis magna								VU										VU			
1139	Cryptotis mam																	DD				
1140	Cryptotis mayensis								LC								LC					
1141	Cryptotis mccarthyi																			DD		
1142	Cryptotis medellinia								LC								LC					
1143	Cryptotis meridensis																	VU				
1144	Cryptotis merriami								LC								LC					
1145	Cryptotis merus								EN										EN			
1146	Cryptotis mexicana								LC								LC					
1147	Cryptotis montivaga								LC								LC					
1148	Cryptotis nelsoni								CR		CR								CR			
1149	Cryptotis niausa																			DD	DD	
1150	Cryptotis nigrescens								LC								LC					
1151	Cryptotis obscura								VU								LC					
1152	Cryptotis oreoryctes																			DD		
1153	Cryptotis orophila								DD											DD		
1154	Cryptotis parva								LC								LC					
1155	Cryptotis peregrina								DD								DD					
1156	Cryptotis perijensis																			DD		
1157	Cryptotis peruviensis								DD											DD		
1158	Cryptotis phillipsii								VU										VU			
1159	Cryptotis squamipes								LC								LC					
1160	Cryptotis tamensis								LC									LC				
1161	Cryptotis thomasi								LC								LC		LC			
1162	Cryptotis tropicalis								DD											DD		
1163	Cryptotis venezuelensis																	DD				
1164	Ctenodactylus gundi				LC				LC													
1165	Ctenodactylus vali				DD				DD								DD					
1166	Ctenomys argentinus								NT											NT		
1167	Ctenomys australis								EN					EN					EN			
1168	Ctenomys azarae								VU											EN		
1169	Ctenomys bergi								VU											EN		
1170	Ctenomys boliviensis								LC								LC					
1171	Ctenomys bonettoi								EN										EN			
1172	Ctenomys brasiliensis								DD											DD		
1173	Ctenomys colburni								DD											DD		
1174	Ctenomys coludo								DD											DD		
1175	Ctenomys conoveri								LC								LC					
1176	Ctenomys coyhaiquensis								DD											DD		
1177	Ctenomys dorbignyi								NT											NT		
1178	Ctenomys dorsalis								DD											DD		
1179	Ctenomys emilianus								NT											LC		
1180	Ctenomys famosus								DD											DD		
1181	Ctenomys flamarioni								EN											EN		
1182	Ctenomys fochi								DD											DD		
1183	Ctenomys fodax								DD											DD		
1184	Ctenomys frater																	LC				
1185	Ctenomys fulvus								LC											DD		
1186	Ctenomys goodfellowi								LC								LC					
1187	Ctenomys haigi								LC								LC					
1188	Ctenomys ibicuiensis																			DD		
1189	Ctenomys johannis								DD											DD		
1190	Ctenomys juris								DD											DD		
1191	Ctenomys knighti								DD											DD		
1192	Ctenomys lami								VU										VU			
1193	Ctenomys latro								VU											EN		
1194	Ctenomys leucodon								LC								LC					
1195	Ctenomys lewisi								LC								LC					
1196	Ctenomys magellanicus								VU											LC		
1197	Ctenomys maulinus								LC								LC					
1198	Ctenomys mendocinus								LC								LC					
1199	Ctenomys minutus								DD											DD		
1200	Ctenomys occultus								EN										EN			
1201	Ctenomys opimus								LC								LC					
1202	Ctenomys osvaldoreigi								CR										CR			
1203	Ctenomys pearsoni								NT											NT		
1204	Ctenomys perrensi								LC								LC					
1205	Ctenomys peruanus								LC								LC					
1206	Ctenomys pilarensis								EN											EN		
1207	Ctenomys pontifex								DD											DD		
1208	Ctenomys porteousi								NT													
1209	Ctenomys pundti								VU											EN		
1210	Ctenomys rionegrensis								EN										EN			
1211	Ctenomys roigi								CR										CR			
1212	Ctenomys saltarius								DD											DD		
1213	Ctenomys scagliai								DD											DD		
1214	Ctenomys sericeus								DD											DD		
1215	Ctenomys sociabilis								CR										CR			
1216	Ctenomys steinbachi								LC								LC					
1217	Ctenomys talarum								LC								LC					
1218	Ctenomys torquatus								LC					LC			LC					
1219	Ctenomys tuconax								DD											DD		
1220	Ctenomys tucumanus								DD											DD		
1221	Ctenomys tulduco								DD											DD		
1222	Ctenomys validus								DD											DD		
1223	Ctenomys viperinus								DD										DD			
1224	Ctenomys yolandae								DD											DD		
1225	Cuniculus paca								LC								LC					
1226	Cuniculus taczanowskii								NT								NT					
1227	Cuon alpinus				EN				EN							EN						
1228	Cuscomys ashaninka								DD								DD					
1229	Cuscomys oblativa																DD					
1230	Cyclopes didactylus						LC		LC			DD			DD							
1231	Cynictis penicillata								LC							LC						
1232	Cynocephalus volans								LC													
1233	Cynogale bennettii								EN							EN						
1234	Cynomops abrasus								DD								DD					
1235	Cynomops greenhalli								LC							LC						
1236	Cynomops mexicanus								LC							LC						
1237	Cynomops milleri																LC					
1238	Cynomops paranus																DD					
1239	Cynomops planirostris								LC							LC						
1240	Cynomys gunnisoni								LC								LC					
1241	Cynomys leucurus								LC								LC					
1242	Cynomys ludovicianus								LC								LC					
1243	Cynomys mexicanus								EN										EN	EN		
1244	Cynomys parvidens								EN										EN			
1245	Cynopterus brachyotis								LC											LC		
1246	Cynopterus horsfieldii								LC											LC		
1247	Cynopterus luzoniensis								LC											LC		
1248	Cynopterus minutus								LC											LC		
1249	Cynopterus nusatenggara								LC											LC		
1250	Cynopterus sphinx								LC											LC		
1251	Cynopterus titthaecheilus								LC								LC					
1252	Cystophora cristata								VU								VU					
1253	Cyttarops alecto								LC								LC					
1254	Dacnomys millardi								DD								DD					
1255	Dactylomys boliviensis								LC								LC					
1256	Dactylomys dactylinus								LC								LC					
1257	Dactylomys peruanus								DD								DD					
1258	Dactylonax palpator								LC								LC					
1259	Dactylopsila megalura								LC								LC					
1260	Dactylopsila tatei								EN								EN					
1261	Dactylopsila trivirgata								LC								LC					
1262	Dama dama								LC													
1263	Dama mesopotamica						VU		EN		EN	EN				EN						
1264	Damaliscus lunatus								LC								LC					
1265	Damaliscus pygargus								LC											LC		
1266	Dasycercus blythi								LC								LC					
1267	Dasycercus cristicauda								LC								NT					
1268	Dasykaluta rosamondae								LC								LC					
1269	Dasymys foxi				VU				DD									DD				
1270	Dasymys incomtus				LC				LC								LC					
1271	Dasymys montanus				VU				EN								EN					
1272	Dasymys nudipes				NT				DD									DD				
1273	Dasymys rufulus				LC				LC								LC					
1274	Dasyprocta azarae								DD								DD					
1275	Dasyprocta coibae								VU											NT		
1276	Dasyprocta croconota																DD					
1277	Dasyprocta fuliginosa								LC								LC					
1278	Dasyprocta guamara								NT										NT			
1279	Dasyprocta iacki																DD					
1280	Dasyprocta kalinowskii								DD								DD					
1281	Dasyprocta leporina																LC					
1282	Dasyprocta mexicana								CR													
1283	Dasyprocta prymnolopha								LC								LC					
1284	Dasyprocta punctata																LC					
1285	Dasyprocta ruatanica								EN								EN					
1286	Dasyprocta variegata																DD					
1287	Dasypus hybridus						NT		NT		NT				NT							
1288	Dasypus kappleri						LC		LC		LC				LC							
1289	Dasypus novemcinctus						LC		LC		LC				LC							
1290	Dasypus pilosus						VU		VU		VU				DD							
1291	Dasypus sabanicola						LC		LC		LC				NT							
1292	Dasypus septemcinctus						LC		LC		LC				LC							
1293	Dasypus yepesi						DD		DD		DD				DD							
1294	Dasyuroides byrnei								VU											VU		
1295	Dasyurus albopunctatus								NT								NT					
1296	Dasyurus geoffroii								NT											NT		
1297	Dasyurus hallucatus								EN								EN					
1298	Dasyurus maculatus								NT										NT			
1299	Dasyurus spartacus								NT								NT					
1300	Dasyurus viverrinus								NT								EN					
1301	Daubentonia madagascariensis								NT						EN							
1302	Delanymys brooksi				EN				VU								VU					
1303	Delomys collinus								LC								LC					
1304	Delomys dorsalis								LC								LC					
1305	Delomys sublineatus								LC								LC					
1306	Delphinapterus leucas						CR		NT				CR					LC		CR		
1307	Delphinus capensis								DD													
1308	Delphinus delphis			EN					LC													
1309	Deltamys kempi								LC								LC					
1310	Dendrogale melanura								DD											DD		
1311	Dendrogale murina								LC								LC					
1312	Dendrohyrax arboreus						LC		LC							LC						
1313	Dendrohyrax dorsalis						LC		LC							LC						
1314	Dendrohyrax validus								LC							NT						
1315	Dendrolagus bennettianus								NT											NT		
1316	Dendrolagus dorianus								VU								VU					
1317	Dendrolagus goodfellowi								EN								EN					
1318	Dendrolagus inustus								VU								VU					
1319	Dendrolagus lumholtzi								LC								NT					
1320	Dendrolagus matschiei								EN								EN					
1321	Dendrolagus mbaiso								CR		EN						EN					
1322	Dendrolagus notatus								EN								EN					
1323	Dendrolagus pulcherrimus								CR								CR					
1324	Dendrolagus scottae								CR											CR		
1325	Dendrolagus spadix								LC								VU					
1326	Dendrolagus stellarum								VU								VU					
1327	Dendrolagus ursinus								VU								VU					
1328	Dendromus insignis				LC				LC								LC					
1329	Dendromus kahuziensis				CR				CR													
1330	Dendromus kivu				LC				LC									LC				
1331	Dendromus lachaisei																DD					
1332	Dendromus lovati				VU				LC								LC					
1333	Dendromus melanotis				LC				LC								LC					
1334	Dendromus mesomelas				LC				LC								LC					
1335	Dendromus messorius				LC				LC								LC					
1336	Dendromus mystacalis				LC				LC								LC					
1337	Dendromus nyikae				LC				LC								LC					
1338	Dendromus oreas				VU				VU								LC					
1339	Dendromus ruppi																DD					
1340	Dendromus vernayi				DD				DD								DD					
1341	Dendroprionomys rousseloti				DD				DD								DD					
1342	Deomys ferrugineus				LC				LC								LC					
1343	Dephomys defua				LC				LC								LC					
1344	Dermanura anderseni								LC								LC					
1345	Dermanura azteca								LC								LC					
1346	Dermanura bogotensis																	LC				
1347	Dermanura cinerea								LC								LC					
1348	Dermanura glauca															LC						
1349	Dermanura gnoma								LC							LC						
1350	Dermanura phaeotis															LC						
1351	Dermanura rava																			LC		
1352	Dermanura rosenbergi								DD								DD					
1353	Dermanura tolteca								LC							LC						
1354	Dermanura watsoni																LC					
1355	Desmalopex microleucopterus																			EN		
1356	Desmana moschata								VU								EN					
1357	Desmodilliscus braueri				LC				LC								LC					
1358	Desmodillus auricularis				LC				LC								LC					
1359	Desmodus rotundus								LC							LC						
1360	Desmomys harringtoni				LC				LC								LC					
1361	Desmomys yaldeni				EN				EN								VU					
1362	Diaemus youngi								LC							LC						
1363	Dicerorhinus sumatrensis								CR													
1364	Diceros bicornis		CR	CR					CR			CR	CR								CR	
1365	Diclidurus albus								LC								LC					
1366	Diclidurus ingens								DD								DD					
1367	Diclidurus isabella								LC								LC					
1368	Diclidurus scutatus								LC								LC					
1369	Dicrostonyx groenlandicus								LC								LC					
1370	Dicrostonyx hudsonius								LC								LC					
1371	Dicrostonyx nelsoni								LC								LC					
1372	Dicrostonyx nunatakensis								LC								LC					
1373	Dicrostonyx richardsoni								LC								LC					
1374	Dicrostonyx torquatus								LC								LC					
1375	Dicrostonyx unalascensis								DD											DD		
1376	Dicrostonyx vinogradovi								DD								DD					
1377	Didelphis albiventris								LC							LC						
1378	Didelphis aurita								LC			LC				LC						
1379	Didelphis imperfecta								LC			LC					LC					
1380	Didelphis marsupialis								LC								LC					
1381	Didelphis pernigra								LC								LC					
1382	Didelphis virginiana								LC								LC					
1383	Dinaromys bogdanovi								VU										VU			
1384	Dinomys branickii								VU									LC				
1385	Diomys crumpi								DD								DD					
1386	Diphylla ecaudata								LC								LC					
1387	Diplogale hosei								VU							VU						
1388	Diplomesodon pulchellum								LC								LC					
1389	Diplomys caniceps								DD								DD					
1390	Diplomys labilis								LC								LC					
1391	Diplothrix legata								EN								EN					
1392	Dipodomys agilis								LC								LC					
1393	Dipodomys californicus								LC								LC					
1394	Dipodomys compactus								LC								LC					
1395	Dipodomys deserti								LC								LC					
1396	Dipodomys elator								VU										VU			
1397	Dipodomys heermanni								LC								LC					
1398	Dipodomys ingens								EN										EN			
1399	Dipodomys merriami																LC					
1400	Dipodomys microps								LC								LC					
1401	Dipodomys nelsoni								LC								LC					
1402	Dipodomys nitratoides								VU										VU			
1403	Dipodomys ordii								LC								LC					
1404	Dipodomys ornatus																			LC		
1405	Dipodomys panamintinus								LC								LC					
1406	Dipodomys phillipsii																LC					
1407	Dipodomys simulans								LC								LC					
1408	Dipodomys spectabilis								NT											NT		
1409	Dipodomys stephensi								EN										VU			
1410	Dipodomys venustus								LC								LC					
1411	Dipus sagitta								LC								LC					
1412	Distoechurus pennatus								LC								LC					
1413	Dobsonia anderseni								LC													
1414	Dobsonia beauforti								LC								LC					
1415	Dobsonia chapmani						CR		CR													
1416	Dobsonia crenulata								LC											LC		
1417	Dobsonia emersa								VU													
1418	Dobsonia exoleta								LC											LC		
1419	Dobsonia inermis								LC								LC					
1420	Dobsonia minor								LC													
1421	Dobsonia moluccensis																LC					
1422	Dobsonia pannietensis								NT													
1423	Dobsonia peronii								LC											LC		
1424	Dobsonia praedatrix								LC													
1425	Dobsonia viridis								LC								LC					
1426	Dolichotis patagonum								NT								NT					
1427	Dolichotis salinicola								LC								LC					
1428	Dologale dybowskii								DD							DD						
1429	Dorcatragus megalotis							VU	VU								VU					
1430	Dorcopsis atrata								CR								CR					
1431	Dorcopsis hageni								LC								LC					
1432	Dorcopsis luctuosa								VU								VU					
1433	Dorcopsis muelleri								LC								LC					
1434	Dorcopsulus macleayi								LC								LC					
1435	Dorcopsulus vanheurni								NT								NT					
1436	Dremomys everetti								LC								LC					
1437	Dremomys gularis								LC											DD		
1438	Dremomys lokriah								LC								LC					
1439	Dremomys pernyi								LC								LC					
1440	Dremomys pyrrhomerus								LC								LC					
1441	Dremomys rufigenis								LC									LC				
1442	Dromiciops gliroides								NT							NT						
1443	Dryadonycteris capixaba																			DD		
1444	Drymoreomys albimaculatus																			NT		
1445	Dryomys laniger								DD											DD		
1446	Dryomys niethammeri		VU						VU									VU				
1447	Dryomys nitedula								LC								LC					
1448	Dugong dugon						VU		VU							VU				CR		
1449	Dyacopterus brooksi								VU													
1450	Dyacopterus spadiceus								NT													
1451	Dymecodon pilirostris								LC								LC					
1452	Echimys chrysurus								LC								LC					
1453	Echimys saturnus								DD								DD					
1454	Echimys vieirai								DD								DD					
1455	Echinops telfairi						LC		LC							LC	LC					
1456	Echinosorex gymnura								LC								LC					
1457	Echiothrix centrosa								VU													
1458	Echiothrix leucura								EN								EN					
1459	Echymipera clara								LC								LC					
1460	Echymipera davidi								EN								EN					
1461	Echymipera echinista								DD								DD					
1462	Echymipera kalubu								LC								LC					
1463	Echymipera rufescens								LC								LC					
1464	Ectophylla alba								NT							NT						
1465	Eidolon dupreanum								VU													
1466	Eidolon helvum				LC				NT													
1467	Eira barbara								LC								LC					
1468	Elaphodus cephalophus								NT							NT						
1469	Elephantulus brachyrhynchus						LC		LC							LC						
1470	Elephantulus edwardii			LC			LC		LC							LC						
1471	Elephantulus fuscipes						DD		DD							DD						
1472	Elephantulus fuscus						DD		DD							DD						
1473	Elephantulus intufi						LC		LC							LC						
1474	Elephantulus myurus						LC		LC							LC						
1475	Elephantulus pilicaudus									DD						DD						
1476	Elephantulus revoilii						DD		DD							DD						
1477	Elephantulus rozeti						LC		LC							LC						
1478	Elephantulus rufescens						LC		LC							LC						
1479	Elephantulus rupestris			LC			LC		LC							LC						
1480	Elephas maximus								EN													
1481	Eligmodontia moreni								LC								LC					
1482	Eligmodontia morgani								LC								LC					
1483	Eligmodontia puerulus								LC								LC					
1484	Eligmodontia typus																LC					
1485	Eliomys melanurus				LC				LC								LC					
1486	Eliomys munbyanus								LC													
1487	Eliomys quercinus								NT													
1488	Eliurus antsingy																DD					
1489	Eliurus carletoni																LC					
1490	Eliurus danieli								DD								LC					
1491	Eliurus ellermani								DD								DD					
1492	Eliurus grandidieri								LC								LC					
1493	Eliurus majori								LC								LC					
1494	Eliurus minor								LC								LC					
1495	Eliurus myoxinus								LC								LC					
1496	Eliurus penicillatus								EN								EN					
1497	Eliurus petteri								VU								EN					
1498	Eliurus tanala								LC								LC					
1499	Eliurus webbi								LC								LC					
1500	Ellobius alaicus								DD								DD					
1501	Ellobius fuscocapillus								LC								LC					
1502	Ellobius lutescens								LC								LC					
1503	Ellobius talpinus								LC							LC	LC					
1504	Ellobius tancrei								LC								LC					
1505	Emballonura alecto								LC											LC		
1506	Emballonura beccarii								LC											LC		
1507	Emballonura dianae								LC											LC		
1508	Emballonura furax								DD									LC				
1509	Emballonura monticola								LC													
1510	Emballonura raffrayana								LC											LC		
1511	Emballonura semicaudata								EN													
1512	Emballonura serii								LC											VU		
1513	Enchisthenes hartii								LC										LC			
1514	Enhydra lutris								EN			EN				EN						
1515	Eoglaucomys fimbriatus								LC								LC					
1516	Eolagurus luteus								LC								LC					
1517	Eolagurus przewalskii								LC								LC					
1518	Eonycteris major								DD													
1519	Eonycteris robusta								NT													
1520	Eonycteris spelaea								LC													
1521	Eospalax fontanierii								LC								LC					
1522	Eospalax rothschildi								LC								LC					
1523	Eospalax smithii								LC								LC					
1524	Eothenomys cachinus								LC								LC					
1525	Eothenomys chinensis								LC								LC					
1526	Eothenomys custos								LC								LC					
1527	Eothenomys melanogaster								LC								LC					
1528	Eothenomys miletus								LC								LC					
1529	Eothenomys olitor								LC								LC					
1530	Eothenomys proditor								LC											DD		
1531	Eothenomys wardi								NT								NT					
1532	Eozapus setchuanus								LC								LC					
1533	Episoriculus caudatus								LC								LC					
1534	Episoriculus fumidus								LC								LC					
1535	Episoriculus leucops								LC								LC					
1536	Episoriculus macrurus								LC								LC					
1537	Epixerus ebii				DD				LC								LC					
1538	Epomophorus angolensis				NT				NT								NT					
1539	Epomophorus anselli								DD								DD					
1540	Epomophorus crypturus				LC				LC								LC					
1541	Epomophorus gambianus				LC				LC								LC					
1542	Epomophorus grandis				DD				DD								DD					
1543	Epomophorus labiatus																LC					
1544	Epomophorus minimus				LC				LC								LC					
1545	Epomophorus minor																LC					
1546	Epomophorus wahlbergi				LC				LC								LC					
1547	Epomops buettikoferi				LC				LC								LC					
1548	Epomops dobsonii				LC				LC								LC					
1549	Epomops franqueti				LC				LC								LC				LC	
1550	Eptesicus andinus								LC								LC					
1551	Eptesicus bobrinskoi								LC											DD		
1552	Eptesicus bottae				LC				LC													
1553	Eptesicus brasiliensis								LC								LC					
1554	Eptesicus chiriquinus								LC											LC		
1555	Eptesicus diminutus								DD								LC					
1556	Eptesicus dimissus								DD								DD					
1557	Eptesicus floweri				VU				LC									LC				
1558	Eptesicus furinalis								LC								LC					
1559	Eptesicus fuscus								LC								LC					
1560	Eptesicus gobiensis								LC											LC		
1561	Eptesicus guadeloupensis								VU								EN					
1562	Eptesicus hottentotus				LC				LC									LC				
1563	Eptesicus innoxius								NT								NT				NT	
1564	Eptesicus isabellinus																LC					
1565	Eptesicus japonensis								EN													
1566	Eptesicus kobayashii								DD											DD		
1567	Eptesicus lobatus																			DD		
1568	Eptesicus nilssonii								LC								LC					
1569	Eptesicus pachyomus																			LC		
1570	Eptesicus pachyotis								LC											LC		
1571	Eptesicus platyops				DD				DD											DD		
1572	Eptesicus serotinus								LC													
1573	Eptesicus taddeii																	DD				
1574	Eptesicus tatei				DD				DD								DD					
1575	Equus africanus								CR							CR						
1576	Equus ferus								CR			EN				EN						
1577	Equus grevyi								EN					EN			EN					
1578	Equus hemionus		VU						EN							NT						
1579	Equus kiang								LC							LC						
1580	Equus quagga		LC						LC								NT					
1581	Equus zebra								VU											VU		
1582	Eremitalpa granti						NT		LC							LC						
1583	Eremodipus lichtensteini								LC								LC					
1584	Eremoryzomys polius								DD											DD		
1585	Erethizon dorsatum								LC								LC					
1586	Erignathus barbatus								LC								LC					
1587	Erinaceus amurensis								LC								LC					
1588	Erinaceus concolor								LC								LC					
1589	Erinaceus europaeus								LC								LC					
1590	Erinaceus roumanicus								LC								LC					
1591	Eropeplus canus								VU								VU					
1592	Erophylla bombifrons								LC											LC		
1593	Erophylla sezekorni								LC											LC		
1594	Erythrocebus patas								LC													
1595	Eschrichtius robustus								CR										EN			
1596	Eubalaena australis								CR					CR					CR			
1597	Eubalaena glacialis								EN				EN						EN			
1598	Eubalaena japonica								CR										CR			
1599	Euchoreutes naso								LC								LC					
1600	Euderma maculatum								LC									LC				
1601	Eudiscoderma thongareeae																	CR				
1602	Eudiscopus denticulus								DD								LC					
1603	Eudorcas albonotata								LC								LC					
1604	Eudorcas rufifrons								VU									VU				
1605	Eudorcas thomsonii								NT										LC			
1606	Eudorcas tilonura								VU									EN				
1607	Eulemur albifrons								VU						EN							
1608	Eulemur cinereiceps								EN						CR							
1609	Eulemur collaris								VU						EN							
1610	Eulemur coronatus								VU						EN							
1611	Eulemur flavifrons								EN			CR			CR							
1612	Eulemur fulvus								NT						NT							
1613	Eulemur macaco								VU			VU			VU							
1614	Eulemur mongoz								VU						CR							
1615	Eulemur rubriventer								VU						VU							
1616	Eulemur rufifrons								NT						NT							
1617	Eulemur rufus								DD						VU							
1618	Eulemur sanfordi								EN						EN							
1619	Eumetopias jubatus								EN				NT				NT					
1620	Eumops auripendulus								LC							LC						
1621	Eumops bonariensis																LC					
1622	Eumops dabbenei								LC							LC						
1623	Eumops delticus																		DD			
1624	Eumops ferox																			LC		
1625	Eumops floridanus								CR								VU					
1626	Eumops glaucinus																LC					
1627	Eumops hansae								LC							LC						
1628	Eumops maurus								DD								DD					
1629	Eumops nanus																	LC				
1630	Eumops patagonicus								LC							LC						
1631	Eumops perotis								LC							LC						
1632	Eumops trumbulli								LC											LC		
1633	Eumops underwoodi								LC								LC					
1634	Eumops wilsoni																DD					
1635	Euneomys chinchilloides								DD											DD		
1636	Euneomys fossor								DD											DD		
1637	Euneomys mordax								LC								LC					
1638	Euneomys petersoni								LC								LC					
1639	Euoticus elegantulus								LC											LC		
1640	Euoticus pallidus								LC													
1641	Eupetaurus cinereus								DD		EN											
1642	Euphractus sexcinctus						LC		LC		LC				LC							
1643	Eupleres goudotii																VU					
1644	Eupleres major																EN					
1645	Euroscaptor grandis								LC								LC					
1646	Euroscaptor klossi								LC								LC					
1647	Euroscaptor longirostris								LC								LC					
1648	Euroscaptor micrura								LC								LC					
1649	Euroscaptor mizura								LC								LC					
1650	Euroscaptor parvidens								DD								DD					
1651	Euroscaptor subanura																DD					
1652	Euryoryzomys emmonsae								DD											DD		
1653	Euryoryzomys lamia								EN										VU			
1654	Euryoryzomys legatus								LC								LC					
1655	Euryoryzomys macconnelli								LC								LC					
1656	Euryoryzomys nitidus								LC								LC					
1657	Euryoryzomys russatus								LC								LC					
1658	Euryzygomatomys spinosus								LC								LC					
1659	Eutamias sibiricus								LC								LC					
1660	Exilisciurus concinnus								LC								LC					
1661	Exilisciurus exilis								DD								DD					
1662	Exilisciurus whiteheadi								LC								LC					
1663	Falsistrellus mackenziei								NT									NT				
1664	Falsistrellus mordax								DD								DD					
1665	Falsistrellus petersi								DD								DD					
1666	Falsistrellus tasmaniensis								LC													
1667	Felis bieti		VU						VU		VU					VU						
1668	Felis chaus		LC						LC								LC					
1669	Felis margarita		NT						NT			NT					LC					
1670	Felis nigripes		VU						VU								VU					
1671	Felis silvestris															LC						
1672	Felovia vae				DD				DD									LC				
1673	Feresa attenuata								DD										LC			
1674	Feroculus feroculus								EN													
1675	Fossa fossana								NT							VU						
1676	Fukomys anselli				NT				NT													
1677	Fukomys bocagei				DD				LC								LC					
